Input	../Output/Countries/IDN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	129
beta0	4.74217	error	0.0286301
beta1	0.0232299	error	0.000362468

X	Y	Error	Weight
0	3.6781	0.197079	1
1	3.75787	0.194976	1
2	3.92338	0.190819	1
3	4.03802	0.18809	1
4	4.15216	0.185487	1
5	4.29632	0.182349	1
6	4.38737	0.180447	1
7	4.42056	0.179768	1
8	4.57176	0.17677	1
9	4.61228	0.175992	1
10	4.70178	0.174309	1
11	4.78152	0.172849	1
12	4.78987	0.172699	1
13	4.84193	0.171768	1
14	4.85315	0.171569	1
15	4.89997	0.170747	1
16	4.89677	0.170803	1
17	4.94977	0.169886	1
18	5.03602	0.168425	1
19	5.15247	0.166511	1
20	5.20792	0.165622	1
21	5.36931	0.163114	1
22	5.3845	0.162884	1
23	5.52146	0.160851	1
24	5.63886	0.159168	1
25	5.68746	0.158486	1
26	5.70426	0.158253	1
27	5.74117	0.157743	1
28	5.7607	0.157476	1
29	5.84189	0.156378	1
30	5.83981	0.156405	1
31	5.80943	0.156814	1
32	5.75166	0.157599	1
33	5.79301	0.157036	1
34	5.7869	0.157119	1
35	5.77677	0.157256	1
36	5.78952	0.157083	1
37	5.82008	0.15667	1
38	5.79779	0.156971	1
39	5.81028	0.156802	1
40	5.82726	0.156574	1
41	5.81754	0.156704	1
42	5.81328	0.156762	1
43	5.812	0.156779	1
44	5.76654	0.157396	1
45	5.79909	0.156953	1
46	5.87453	0.155942	1
47	5.90185	0.155581	1
48	5.9428	0.155044	1
49	5.93942	0.155088	1
50	5.90224	0.155576	1
51	5.99218	0.154404	1
52	6.00565	0.154231	1
53	5.94691	0.154991	1
54	5.94691	0.154991	1
55	6.06046	0.153532	1
56	6.13433	0.152605	1
57	6.1809	0.152028	1
58	6.17972	0.152043	1
59	6.20945	0.151679	1
60	6.28227	0.150797	1
61	6.2828	0.150791	1
62	6.28387	0.150778	1
63	6.3864	0.149563	1
64	6.42046	0.149165	1
65	6.51365	0.148094	1
66	6.52146	0.148006	1
67	6.51788	0.148046	1
68	6.50279	0.148218	1
69	6.50129	0.148235	1
70	6.43798	0.148962	1
71	6.44799	0.148847	1
72	6.35512	0.14993	1
73	6.39741	0.149434	1
74	6.39454	0.149467	1
75	6.43981	0.148941	1
76	6.43935	0.148946	1
77	6.4158	0.14922	1
78	6.42162	0.149152	1
79	6.51809	0.148044	1
80	6.51217	0.148111	1
81	6.58971	0.147237	1
82	6.67149	0.146332	1
83	6.76734	0.145292	1
84	6.8301	0.144623	1
85	6.89119	0.143981	1
86	6.89424	0.143949	1
87	6.92067	0.143674	1
88	6.94436	0.143428	1
89	6.953	0.143339	1
90	6.92405	0.143638	1
91	6.97234	0.14314	1
92	6.96292	0.143237	1
93	6.99118	0.142947	1
94	6.99183	0.142941	1
95	6.98353	0.143026	1
96	6.97621	0.1431	1
97	6.98709	0.142989	1
98	6.9667	0.143198	1
99	6.99315	0.142927	1
100	7.01379	0.142717	1
101	7.05605	0.142289	1
102	7.0717	0.142131	1
103	7.10062	0.141841	1
104	7.13216	0.141527	1
105	7.18181	0.141037	1
106	7.18841	0.140973	1
107	7.19508	0.140907	1
108	7.23798	0.140489	1
109	7.25094	0.140363	1
110	7.2484	0.140388	1
111	7.29486	0.13994	1
112	7.39036	0.139033	1
113	7.41732	0.13878	1
114	7.43636	0.138602	1
115	7.44258	0.138545	1
116	7.44867	0.138488	1
117	7.47518	0.138242	1
118	7.448	0.138494	1
119	7.35354	0.139381	1
120	7.33982	0.139511	1
121	7.3473	0.13944	1
122	7.34343	0.139477	1
123	7.3807	0.139124	1
124	7.38638	0.139071	1
125	7.41775	0.138776	1
126	7.44583	0.138514	1
127	7.47047	0.138286	1
128	7.47986	0.138199	1
129	7.46794	0.138309	1
130	7.45414	0.138437	0
131	7.46181	0.138366	0
132	7.50195	0.137995	0
133	7.50179	0.137997	0
134	7.52356	0.137797	0
135	7.4995	0.138018	0
