Input	../Output/Countries/IND.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	22
beta0	3.55712	error	0.073717
beta1	0.15103	error	0.00530596

X	Y	Error	Weight
0	3.48342	0.202511	1
1	3.69955	0.196506	1
2	3.99427	0.189118	1
3	4.03045	0.188267	1
4	4.27069	0.182895	1
5	4.33261	0.181583	1
6	4.52023	0.177775	1
7	4.54177	0.177353	1
8	4.49663	0.178241	1
9	4.67683	0.174773	1
10	4.81218	0.172298	1
11	5.25526	0.164875	1
12	5.55848	0.160315	1
13	5.48064	0.161449	1
14	5.7014	0.158292	1
15	5.90341	0.155561	1
16	6.22229	0.151522	1
17	6.32641	0.15027	1
18	6.32743	0.150258	1
19	6.39264	0.14949	1
20	6.57746	0.147374	1
21	6.64156	0.146661	1
22	6.68764	0.146155	1
23	6.69792	0.146043	0
24	6.78252	0.145129	0
25	6.81908	0.14474	0
26	6.8647	0.144258	0
27	6.87198	0.144182	0
28	6.94643	0.143407	0
29	7.09127	0.141935	0
30	7.05198	0.14233	0
31	7.11279	0.14172	0
32	7.16439	0.141209	0
33	7.22849	0.140581	0
34	7.28207	0.140063	0
35	7.31901	0.139709	0
36	7.29156	0.139972	0
37	7.35171	0.139398	0
38	7.38168	0.139115	0
39	7.42075	0.138748	0
40	7.42876	0.138673	0
41	7.50557	0.137962	0
42	7.55829	0.13748	0
43	7.64389	0.136708	0
44	7.79423	0.135383	0
45	7.85643	0.134846	0
46	7.95382	0.134018	0
47	8.02934	0.133386	0
48	8.0726	0.133028	0
49	8.10207	0.132786	0
50	8.16686	0.132258	0
51	8.1536	0.132366	0
52	8.17639	0.132181	0
53	8.18344	0.132124	0
54	8.20623	0.131941	0
55	8.22336	0.131803	0
56	8.28832	0.131286	0
57	8.31305	0.13109	0
58	8.34827	0.130814	0
59	8.43328	0.130153	0
60	8.48741	0.129737	0
61	8.55171	0.129248	0
62	8.62566	0.128693	0
63	8.66991	0.128364	0
64	8.71927	0.128	0
65	8.76007	0.127702	0
66	8.75324	0.127752	0
67	8.79175	0.127472	0
68	8.81539	0.127301	0
69	8.84746	0.12707	0
70	8.88192	0.126823	0
71	8.91449	0.126591	0
72	8.94003	0.12641	0
73	8.99428	0.126028	0
74	9.03493	0.125744	0
75	9.07807	0.125445	0
76	9.10009	0.125293	0
77	9.13307	0.125067	0
78	9.1647	0.124851	0
79	9.17483	0.124782	0
80	9.1953	0.124643	0
81	9.20721	0.124562	0
82	9.22202	0.124462	0
83	9.24968	0.124276	0
84	9.26996	0.12414	0
85	9.27851	0.124083	0
86	9.30776	0.123888	0
87	9.31752	0.123823	0
88	9.34812	0.12362	0
89	9.38065	0.123406	0
90	9.41683	0.123168	0
91	9.45641	0.12291	0
92	9.49292	0.122674	0
93	9.53783	0.122384	0
94	9.58797	0.122064	0
95	9.62678	0.121818	0
96	9.66113	0.121601	0
97	9.69721	0.121375	0
98	9.73598	0.121133	0
99	9.77432	0.120895	0
100	9.80307	0.120717	0
101	9.82396	0.120589	0
102	9.84113	0.120484	0
103	9.86818	0.120319	0
104	9.89892	0.120132	0
105	9.93378	0.119921	0
106	9.96643	0.119724	0
107	9.99113	0.119576	0
108	10.0177	0.119417	0
109	10.0535	0.119205	0
110	10.0873	0.119004	0
111	10.1128	0.118854	0
112	10.1344	0.118728	0
113	10.1595	0.118581	0
114	10.1934	0.118383	0
115	10.2285	0.11818	0
116	10.2679	0.117953	0
117	10.3091	0.117717	0
118	10.3471	0.117501	0
119	10.3923	0.117245	0
120	10.4423	0.116964	0
121	10.4776	0.116767	0
122	10.5105	0.116584	0
123	10.56	0.11631	0
124	10.6118	0.116026	0
125	10.6587	0.115771	0
126	10.6915	0.115593	0
127	10.722	0.115428	0
128	10.7449	0.115306	0
129	10.7866	0.115082	0
130	10.8001	0.115011	0
131	10.8101	0.114957	0
132	10.8451	0.114772	0
133	10.862	0.114682	0
134	10.8701	0.114639	0
135	10.8906	0.114532	0
136	10.893	0.114519	0
137	10.9088	0.114436	0
138	10.9339	0.114304	0
139	10.9347	0.1143	0
140	10.959	0.114173	0
141	10.9814	0.114057	0
142	10.9851	0.114038	0
143	11.0054	0.113933	0
144	11.0305	0.113803	0
145	11.0352	0.113779	0
146	11.0425	0.113741	0
147	11.0416	0.113745	0
148	11.0316	0.113797	0
149	11.0349	0.11378	0
150	11.0432	0.113738	0
151	11.0493	0.113706	0
152	11.0591	0.113656	0
153	11.0706	0.113597	0
154	11.0821	0.113538	0
155	11.0902	0.113496	0
156	11.1031	0.11343	0
157	11.0872	0.113512	0
158	11.1216	0.113336	0
159	11.1391	0.113247	0
160	11.1527	0.113178	0
161	11.172	0.11308	0
162	11.2058	0.112909	0
163	11.223	0.112823	0
164	11.2626	0.112624	0
165	11.2593	0.112641	0
166	11.2704	0.112585	0
167	11.2884	0.112496	0
168	11.3094	0.112391	0
169	11.3307	0.112285	0
170	11.3407	0.112236	0
171	11.3598	0.112141	0
172	11.3793	0.112045	0
173	11.4007	0.11194	0
174	11.4183	0.111854	0
175	11.4242	0.111825	0
176	11.4261	0.111815	0
177	11.4385	0.111755	0
178	11.4392	0.111752	0
179	11.4425	0.111735	0
180	11.4423	0.111736	0
181	11.4358	0.111768	0
182	11.4331	0.111781	0
183	11.4251	0.11182	0
184	11.4114	0.111887	0
185	11.4006	0.11194	0
186	11.3823	0.112031	0
187	11.3652	0.112114	0
188	11.3519	0.11218	0
189	11.3452	0.112213	0
190	11.3371	0.112254	0
191	11.3294	0.112292	0
192	11.3244	0.112316	0
193	11.325	0.112314	0
194	11.3171	0.112353	0
195	11.3068	0.112404	0
196	11.2841	0.112517	0
197	11.2701	0.112586	0
198	11.253	0.112672	0
199	11.2373	0.112751	0
200	11.2216	0.11283	0
201	11.2003	0.112937	0
202	11.1881	0.112998	0
203	11.1853	0.113013	0
204	11.1699	0.113091	0
205	11.1579	0.113151	0
206	11.1403	0.113241	0
207	11.1176	0.113356	0
208	11.1024	0.113434	0
209	11.0783	0.113557	0
210	11.0503	0.113701	0
211	11.025	0.113831	0
212	11.0049	0.113935	0
213	10.9822	0.114053	0
214	10.9529	0.114205	0
215	10.9302	0.114324	0
216	10.9073	0.114444	0
217	10.8761	0.114608	0
218	10.8471	0.114761	0
219	10.818	0.114915	0
220	10.7885	0.115072	0
221	10.7708	0.115167	0
222	10.7535	0.11526	0
223	10.7378	0.115344	0
224	10.7279	0.115397	0
225	10.7281	0.115395	0
226	10.7339	0.115365	0
227	10.7412	0.115325	0
228	10.7422	0.11532	0
229	10.7391	0.115337	0
230	10.7455	0.115302	0
231	10.7416	0.115323	0
232	10.7437	0.115312	0
233	10.7429	0.115316	0
234	10.7368	0.115349	0
235	10.7296	0.115387	0
236	10.721	0.115434	0
237	10.7029	0.115531	0
238	10.6881	0.115611	0
239	10.6368	0.11589	0
240	10.6057	0.116059	0
241	10.5855	0.11617	0
242	10.577	0.116217	0
243	10.5807	0.116197	0
244	10.5863	0.116166	0
245	10.601	0.116085	0
246	10.6479	0.115829	0
247	10.6774	0.115669	0
248	10.6962	0.115568	0
249	10.6927	0.115587	0
250	10.6835	0.115636	0
251	10.6673	0.115724	0
252	10.656	0.115786	0
253	10.638	0.115883	0
254	10.6142	0.116013	0
255	10.5866	0.116164	0
256	10.5538	0.116345	0
257	10.5293	0.11648	0
258	10.5113	0.11658	0
259	10.4885	0.116706	0
260	10.4652	0.116836	0
261	10.4465	0.116941	0
