Input	../Output/Countries/IRL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	31
beta0	4.40218	error	0.0589491
beta1	0.0820551	error	0.00309184

X	Y	Error	Weight
0	3.57153	0.199997	1
1	4.29632	0.182349	1
2	4.43928	0.179389	1
3	4.54025	0.177383	1
4	4.70953	0.174166	1
5	4.91685	0.170454	1
6	5.06259	0.167983	1
7	5.20243	0.16571	1
8	5.19454	0.165835	1
9	5.3251	0.16379	1
10	5.45043	0.161896	1
11	5.49775	0.161198	1
12	5.54126	0.160563	1
13	5.60685	0.159622	1
14	5.59471	0.159795	1
15	5.66988	0.158732	1
16	5.72824	0.157921	1
17	5.74529	0.157687	1
18	5.82852	0.156557	1
19	5.85956	0.156142	1
20	5.86768	0.156033	1
21	5.92769	0.155242	1
22	5.96431	0.154764	1
23	6.30105	0.150572	1
24	6.42603	0.149101	1
25	6.50108	0.148238	1
26	6.62634	0.14683	1
27	6.71452	0.145862	1
28	6.82949	0.14463	1
29	6.8635	0.144271	1
30	6.73527	0.145638	1
31	6.72486	0.14575	1
32	6.6839	0.146196	0
33	6.57228	0.147432	0
34	6.47939	0.148485	0
35	6.37867	0.149653	0
36	6.4288	0.149069	0
37	6.39788	0.149428	0
38	6.29764	0.150613	0
39	6.35089	0.14998	0
40	6.34714	0.150024	0
41	6.30654	0.150507	0
42	6.23777	0.151334	0
43	6.06212	0.153511	0
44	5.93603	0.155133	0
45	5.92311	0.155302	0
46	5.7701	0.157347	0
47	5.71515	0.158102	0
48	5.70664	0.15822	0
49	5.65249	0.158976	0
50	5.53452	0.160661	0
51	5.49717	0.161206	0
52	5.4218	0.162323	0
53	5.36062	0.163246	0
54	5.27153	0.16462	0
55	5.19216	0.165873	0
56	5.10421	0.167296	0
57	5.32788	0.163747	0
58	5.30898	0.164038	0
59	5.21494	0.165511	0
60	5.0716	0.167833	0
61	5.02482	0.168613	0
62	4.97081	0.169526	0
63	4.87192	0.171238	0
64	4.38914	0.18041	0
65	4.364	0.180929	0
66	4.33449	0.181544	0
67	4.32129	0.181821	0
68	4.26469	0.183024	0
69	4.23618	0.183639	0
70	4.2444	0.183461	0
71	4.16334	0.185238	0
72	3.96759	0.189753	0
73	3.90341	0.191306	0
74	3.91488	0.191026	0
75	3.95124	0.190145	0
76	3.85621	0.192473	0
77	3.78419	0.194296	0
78	3.7612	0.194889	0
79	3.71357	0.196135	0
80	3.59143	0.199442	0
81	3.40595	0.204801	0
82	3.03081	0.217106	0
83	3.05805	0.216137	0
84	2.84159	0.224218	0
85	2.61842	0.233578	0
86	2.52003	0.238094	0
87	2.77259	0.226991	0
88	2.67903	0.23092	0
89	2.79031	0.226269	0
90	2.83321	0.224549	0
91	2.75455	0.227733	0
92	2.81625	0.225225	0
