Input	../Output/Countries/ISL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	20
beta0	3.92461	error	0.0805946
beta1	0.0193022	error	0.00683175

X	Y	Error	Weight
0	3.47905	0.202638	1
1	3.67087	0.197273	1
2	3.813	0.193561	1
3	4.03802	0.18809	1
4	4.06536	0.187457	1
5	4.11322	0.186363	1
6	4.24235	0.183505	1
7	4.21108	0.184185	1
8	4.22995	0.183774	1
9	4.2485	0.183372	1
10	4.16777	0.18514	1
11	4.26469	0.183024	1
12	4.24235	0.183505	1
13	4.23411	0.183683	1
14	4.30213	0.182226	1
15	4.21529	0.184093	1
16	4.17218	0.185042	1
17	4.19827	0.184466	1
18	4.21951	0.184001	1
19	4.16556	0.185189	1
20	4.0355	0.188149	1
21	3.85015	0.192625	0
22	3.79389	0.194048	0
23	3.65989	0.197568	0
24	3.42472	0.204239	0
25	3.05805	0.216137	0
26	2.95194	0.219987	0
27	2.76361	0.227359	0
28	2.56495	0.236	0
29	2.42356	0.242786	0
30	2.31678	0.248318	0
31	2.30259	0.249082	0
32	2.18121	0.255919	0
33	2.11457	0.25992	0
34	2.11457	0.25992	0
35	1.96613	0.269553	0
36	1.60944	0.29793	0
37	1.45535	0.313305	0
38	1.09861	0.360603	0
39	0.998424	0.378263	0
40	0.88748	0.40121	0
41	0.53883	0.514903	0
42	0.133656	1.03385	0
43	0.251537	0.753616	0
44	0.133656	1.03385	0
