Input	../Output/Countries/ISR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	13
beta0	3.91805	error	0.0914135
beta1	0.210749	error	0.0111862

X	Y	Error	Weight
0	3.79389	0.194048	1
1	3.77439	0.194548	1
2	4.30019	0.182267	1
3	4.61228	0.175992	1
4	4.85981	0.171451	1
5	4.95984	0.169714	1
6	5.01633	0.168755	1
7	5.70235	0.158279	1
8	5.91812	0.155367	1
9	5.98896	0.154445	1
10	6.07961	0.15329	1
11	6.1717	0.152142	1
12	6.27825	0.150845	1
13	6.43569	0.148989	1
14	6.33429	0.150176	0
15	6.38351	0.149596	0
16	6.42232	0.149144	0
17	6.41017	0.149285	0
18	6.42209	0.149146	0
19	6.39978	0.149406	0
20	6.31018	0.150463	0
21	6.21261	0.15164	0
22	6.09872	0.153049	0
23	6.01894	0.15406	0
24	5.98968	0.154436	0
25	5.97852	0.15458	0
26	5.97381	0.154641	0
27	5.98177	0.154538	0
28	5.97199	0.154665	0
29	5.95472	0.154889	0
30	5.93224	0.155182	0
31	5.91157	0.155453	0
32	5.79866	0.156959	0
33	5.73657	0.157806	0
34	5.68115	0.158574	0
35	5.63835	0.159175	0
36	5.62814	0.159319	0
37	5.60212	0.159689	0
38	5.53	0.160727	0
39	5.41419	0.162437	0
40	5.29903	0.164192	0
41	5.20714	0.165635	0
42	5.08848	0.167555	0
43	4.96284	0.169662	0
44	4.82143	0.172132	0
45	4.69657	0.174406	0
46	4.62076	0.175831	0
47	4.50929	0.177991	0
48	4.28653	0.182557	0
49	4.25257	0.183284	0
50	4.07268	0.187288	0
51	3.8471	0.192701	0
52	3.72398	0.195861	0
53	3.73084	0.195681	0
54	3.6817	0.196982	0
55	3.64881	0.197868	0
56	3.54714	0.200683	0
57	3.37222	0.205823	0
58	3.26358	0.20922	0
59	3.18399	0.211819	0
60	3.09752	0.214755	0
61	3.01695	0.217604	0
62	3.00993	0.217858	0
63	2.82477	0.224885	0
64	2.78149	0.226627	0
65	2.84159	0.224218	0
66	2.84159	0.224218	0
67	2.82477	0.224885	0
68	2.78149	0.226627	0
69	3.00286	0.218114	0
70	3.16607	0.212418	0
71	3.47463	0.202767	0
72	3.8224	0.193323	0
73	3.89473	0.191519	0
74	4.08957	0.186901	0
75	4.26066	0.18311	0
76	4.39445	0.180301	0
77	4.49024	0.178368	0
78	4.58934	0.176431	0
79	4.60945	0.176046	0
80	4.67683	0.174773	0
81	4.74493	0.173515	0
82	4.83855	0.171828	0
83	4.8957	0.170822	0
84	5.03788	0.168394	0
85	5.08229	0.167657	0
86	5.13159	0.16685	0
87	5.18978	0.165912	0
88	5.18659	0.165963	0
89	5.20165	0.165722	0
90	5.29689	0.164226	0
91	5.31882	0.163887	0
92	5.39363	0.162746	0
93	5.47227	0.161572	0
94	5.47826	0.161484	0
95	5.50009	0.161163	0
96	5.58242	0.15997	0
97	5.66048	0.158864	0
98	5.7625	0.157451	0
99	5.85425	0.156212	0
100	5.91543	0.155402	0
101	6.00353	0.154258	0
102	6.07568	0.153339	0
103	6.20254	0.151763	0
104	6.295	0.150644	0
105	6.41533	0.149225	0
106	6.55271	0.147652	0
107	6.64509	0.146622	0
108	6.72074	0.145795	0
109	6.79475	0.144999	0
110	6.8533	0.144378	0
111	6.9405	0.143468	0
112	6.98841	0.142976	0
113	7.03715	0.14248	0
114	7.09447	0.141903	0
115	7.13478	0.141501	0
116	7.18007	0.141054	0
117	7.24188	0.140451	0
118	7.26353	0.140242	0
119	7.31712	0.139727	0
120	7.35564	0.139361	0
121	7.37337	0.139193	0
122	7.39817	0.13896	0
123	7.37856	0.139144	0
124	7.39335	0.139005	0
125	7.42808	0.13868	0
126	7.44216	0.138548	0
127	7.44642	0.138509	0
128	7.465	0.138336	0
129	7.43712	0.138595	0
130	7.43931	0.138575	0
131	7.45273	0.13845	0
132	7.46254	0.138359	0
133	7.45513	0.138428	0
134	7.43821	0.138585	0
135	7.39809	0.13896	0
136	7.35454	0.139371	0
137	7.32355	0.139666	0
138	7.29989	0.139892	0
139	7.26092	0.140267	0
140	7.23407	0.140527	0
141	7.22267	0.140638	0
142	7.26373	0.14024	0
143	7.27656	0.140116	0
144	7.29767	0.139913	0
145	7.28834	0.140003	0
146	7.29748	0.139915	0
147	7.29088	0.139978	0
148	7.28756	0.14001	0
149	7.25013	0.140371	0
150	7.25043	0.140368	0
151	7.26493	0.140228	0
