Input	../Output/Countries/ITA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	20
beta0	3.96822	error	0.0733073
beta1	0.202664	error	0.00577078

X	Y	Error	Weight
0	3.47463	0.202767	1
1	3.81927	0.193402	1
2	4.16334	0.185238	1
3	4.53414	0.177502	1
4	4.82028	0.172153	1
5	5.02576	0.168597	1
6	5.39298	0.162756	1
7	5.55351	0.160386	1
8	5.74117	0.157743	1
9	5.93111	0.155197	1
10	6.12593	0.152709	1
11	6.28307	0.150787	1
12	6.52104	0.14801	1
13	6.69897	0.146032	1
14	6.927	0.143608	1
15	6.99616	0.142896	1
16	7.19968	0.140862	1
17	7.38266	0.139106	1
18	7.52864	0.13775	1
19	7.688	0.136315	1
20	7.8167	0.135188	1
21	7.89613	0.134507	0
22	8.02323	0.133437	0
23	8.10819	0.132736	0
24	8.21694	0.131855	0
25	8.34151	0.130867	0
26	8.44065	0.130096	0
27	8.49964	0.129643	0
28	8.54389	0.129307	0
29	8.59071	0.128954	0
30	8.61699	0.128758	0
31	8.63951	0.12859	0
32	8.63756	0.128604	0
33	8.62269	0.128715	0
34	8.61383	0.128781	0
35	8.59447	0.128926	0
36	8.56233	0.129168	0
37	8.55057	0.129257	0
38	8.50723	0.129586	0
39	8.46827	0.129883	0
40	8.43257	0.130158	0
41	8.40415	0.130378	0
42	8.38962	0.130491	0
43	8.35615	0.130752	0
44	8.32389	0.131005	0
45	8.30767	0.131133	0
46	8.28508	0.131311	0
47	8.28107	0.131343	0
48	8.27294	0.131408	0
49	8.25653	0.131538	0
50	8.25405	0.131558	0
51	8.20962	0.131914	0
52	8.19324	0.132045	0
53	8.17498	0.132193	0
54	8.12538	0.132596	0
55	8.08019	0.132966	0
56	8.03971	0.1333	0
57	8.02845	0.133394	0
58	8.06067	0.133127	0
59	8.00789	0.133565	0
60	7.98519	0.133754	0
61	7.92846	0.134232	0
62	7.89053	0.134554	0
63	7.8625	0.134794	0
64	7.82679	0.135101	0
65	7.7508	0.135762	0
66	7.70204	0.136191	0
67	7.63143	0.136819	0
68	7.59926	0.137109	0
69	7.53002	0.137738	0
70	7.48949	0.13811	0
71	7.40489	0.138897	0
72	7.34748	0.139438	0
73	7.30317	0.139861	0
74	7.23983	0.140471	0
75	7.15238	0.141327	0
76	7.08447	0.142003	0
77	7.02567	0.142596	0
78	7.06635	0.142185	0
79	6.99616	0.142896	0
80	6.94119	0.143461	0
81	6.86395	0.144266	0
82	6.83242	0.144599	0
83	6.81266	0.144808	0
84	6.76553	0.145311	0
85	6.6635	0.14642	0
86	6.62198	0.146878	0
87	6.55312	0.147648	0
88	6.52482	0.147968	0
89	6.4807	0.14847	0
90	6.44866	0.148839	0
91	6.41393	0.149241	0
92	6.31147	0.150448	0
93	6.29025	0.150701	0
94	6.27718	0.150858	0
95	6.24	0.151307	0
96	6.16692	0.152201	0
97	6.10575	0.152961	0
98	6.07337	0.153368	0
99	6.04703	0.153702	0
100	5.95399	0.154898	0
101	5.78646	0.157125	0
102	5.78734	0.157113	0
103	5.72125	0.158018	0
104	5.65549	0.158934	0
105	5.6947	0.158386	0
106	5.67773	0.158622	0
107	5.61781	0.159466	0
108	5.7175	0.158069	0
109	5.53508	0.160653	0
110	5.57703	0.160048	0
111	5.65048	0.159004	0
112	5.66098	0.158857	0
113	5.62402	0.159378	0
114	5.68698	0.158493	0
115	5.66346	0.158822	0
116	5.49599	0.161223	0
117	5.44674	0.161951	0
118	5.37395	0.163044	0
119	5.31952	0.163876	0
120	5.24928	0.164969	0
121	5.42054	0.162342	0
122	5.39816	0.162678	0
123	5.62967	0.159298	0
124	5.58296	0.159963	0
125	5.55572	0.160354	0
126	5.50184	0.161138	0
127	5.5186	0.160893	0
128	5.26195	0.16477	0
129	5.18898	0.165924	0
130	5.16315	0.166339	0
131	5.21105	0.165573	0
132	5.22498	0.165352	0
133	5.2861	0.164393	0
134	5.28248	0.164449	0
135	5.29043	0.164326	0
136	5.29975	0.164181	0
137	5.33685	0.163609	0
138	5.30402	0.164115	0
139	5.33341	0.163662	0
140	5.30614	0.164082	0
141	5.28971	0.164337	0
142	5.26712	0.164689	0
143	5.27884	0.164506	0
144	5.24552	0.165028	0
145	5.29043	0.164326	0
146	5.27884	0.164506	0
147	5.29402	0.16427	0
148	5.30402	0.164115	0
149	5.3845	0.162884	0
150	5.4331	0.162154	0
151	5.44612	0.16196	0
152	5.46141	0.161733	0
153	5.48301	0.161414	0
154	5.46987	0.161608	0
155	5.51343	0.160968	0
156	5.51803	0.160901	0
157	5.56068	0.160283	0
158	5.62814	0.159319	0
159	5.63886	0.159168	0
160	5.6307	0.159283	0
161	5.62608	0.159349	0
162	5.61988	0.159436	0
163	5.6684	0.158753	0
164	5.67773	0.158622	0
165	5.7589	0.1575	0
166	5.78207	0.157184	0
167	5.87653	0.155916	0
168	5.91582	0.155397	0
169	5.99787	0.154331	0
170	6.03	0.153919	0
171	6.07074	0.153402	0
172	6.07797	0.15331	0
173	6.16632	0.152208	0
174	6.17051	0.152157	0
175	6.18856	0.151934	0
176	6.18533	0.151974	0
177	6.23301	0.151392	0
178	6.31845	0.150365	0
179	6.41017	0.149285	0
180	6.50898	0.148148	0
181	6.65378	0.146527	0
182	6.76405	0.145327	0
183	6.83948	0.144524	0
184	6.9445	0.143427	0
185	7.01994	0.142654	0
186	7.08339	0.142014	0
187	7.12712	0.141577	0
188	7.14486	0.141402	0
189	7.14969	0.141354	0
190	7.16073	0.141245	0
191	7.15629	0.141289	0
192	7.15495	0.141302	0
193	7.18485	0.141008	0
194	7.21156	0.140746	0
195	7.20426	0.140817	0
196	7.22048	0.140659	0
197	7.26082	0.140268	0
198	7.27121	0.140168	0
199	7.29088	0.139978	0
200	7.27952	0.140088	0
201	7.26032	0.140273	0
202	7.27626	0.140119	0
203	7.26213	0.140255	0
204	7.248	0.140392	0
205	7.25023	0.14037	0
206	7.24881	0.140384	0
207	7.27794	0.140103	0
208	7.29127	0.139975	0
209	7.30394	0.139853	0
210	7.33629	0.139545	0
211	7.35125	0.139402	0
212	7.36834	0.139241	0
213	7.38647	0.13907	0
214	7.38691	0.139066	0
215	7.40723	0.138875	0
216	7.42263	0.138731	0
217	7.43485	0.138617	0
218	7.45621	0.138418	0
219	7.47339	0.138259	0
220	7.53339	0.137707	0
221	7.57727	0.137308	0
222	7.64608	0.136688	0
223	7.70004	0.136209	0
224	7.74821	0.135784	0
225	7.80977	0.135248	0
226	7.91043	0.134385	0
227	8.00584	0.133582	0
228	8.13413	0.132524	0
229	8.24812	0.131605	0
230	8.35033	0.130797	0
231	8.42705	0.130201	0
232	8.523	0.129466	0
233	8.62178	0.128722	0
234	8.72778	0.127938	0
235	8.82973	0.127197	0
236	8.93293	0.12646	0
237	9.0443	0.125679	0
238	9.12087	0.125151	0
239	9.19569	0.12464	0
240	9.30369	0.123915	0
241	9.39414	0.123317	0
242	9.49722	0.122646	0
243	9.58655	0.122073	0
244	9.67624	0.121506	0
245	9.74274	0.121091	0
246	9.83191	0.12054	0
247	9.90433	0.120099	0
248	9.97826	0.119653	0
249	10.0544	0.119199	0
250	10.1262	0.118776	0
251	10.1743	0.118494	0
252	10.2025	0.118331	0
253	10.2351	0.118142	0
254	10.2632	0.11798	0
255	10.3007	0.117765	0
256	10.3325	0.117584	0
257	10.3693	0.117375	0
258	10.3814	0.117307	0
259	10.3946	0.117232	0
260	10.4241	0.117066	0
261	10.4343	0.117009	0
262	10.4488	0.116928	0
263	10.4616	0.116856	0
