Input	../Output/Countries/JOR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	50
beta0	3.10764	error	0.0510204
beta1	0.0855854	error	0.00159766

X	Y	Error	Weight
0	3.52215	0.201394	1
1	3.49651	0.202131	1
2	3.5389	0.200917	1
3	3.6817	0.196982	1
4	3.66722	0.197371	1
5	3.76783	0.194718	1
6	3.87418	0.192027	1
7	3.813	0.193561	1
8	3.93183	0.190614	1
9	4.03298	0.188208	1
10	3.9969	0.189056	1
11	4.05797	0.187627	1
12	4.12251	0.186153	1
13	4.12251	0.186153	1
14	4.18531	0.184751	1
15	4.15216	0.185487	1
16	4.14992	0.185537	1
17	4.23618	0.183639	1
18	4.26469	0.183024	1
19	4.28063	0.182683	1
20	4.52179	0.177744	1
21	4.61795	0.175884	1
22	4.85981	0.171451	1
23	5.01063	0.168851	1
24	5.05351	0.168134	1
25	5.13832	0.16674	1
26	5.29259	0.164292	1
27	5.2976	0.164214	1
28	5.35254	0.16337	1
29	5.3437	0.163505	1
30	5.37858	0.162974	1
31	5.65599	0.158927	1
32	5.74575	0.15768	1
33	5.86201	0.156109	1
34	6.01511	0.154109	1
35	6.22059	0.151543	1
36	6.27369	0.1509	1
37	6.3924	0.149492	1
38	6.43661	0.148978	1
39	6.71677	0.145838	1
40	6.83519	0.144569	1
41	6.82422	0.144685	1
42	6.86216	0.144285	1
43	6.92868	0.143591	1
44	7.0706	0.142142	1
45	7.15372	0.141314	1
46	7.0871	0.141977	1
47	7.09198	0.141928	1
48	7.17155	0.141138	1
49	7.18636	0.140993	1
50	7.19035	0.140954	1
51	7.11465	0.141701	0
52	7.17297	0.141124	0
53	7.29883	0.139902	0
54	7.4035	0.13891	0
55	7.42867	0.138674	0
56	7.45132	0.138463	0
57	7.49927	0.13802	0
58	7.51628	0.137864	0
59	7.5148	0.137877	0
60	7.53216	0.137718	0
61	7.55948	0.137469	0
62	7.62782	0.136852	0
63	7.64949	0.136658	0
64	7.70359	0.136177	0
65	7.74178	0.135841	0
66	7.8457	0.134938	0
67	7.86995	0.13473	0
68	7.90333	0.134445	0
69	7.9762	0.13383	0
70	8.04637	0.133245	0
71	8.08768	0.132904	0
72	8.24606	0.131622	0
73	8.28403	0.13132	0
74	8.33916	0.130885	0
75	8.37888	0.130574	0
76	8.42577	0.130211	0
77	8.43366	0.13015	0
78	8.47205	0.129854	0
79	8.46569	0.129903	0
80	8.50008	0.12964	0
81	8.52195	0.129474	0
82	8.55151	0.12925	0
83	8.52593	0.129443	0
84	8.55924	0.129191	0
85	8.49865	0.129651	0
86	8.50434	0.129608	0
87	8.51751	0.129507	0
88	8.58685	0.128983	0
89	8.58108	0.129027	0
90	8.59362	0.128933	0
91	8.56886	0.129119	0
92	8.64448	0.128553	0
93	8.62209	0.12872	0
94	8.57284	0.129089	0
95	8.491	0.129709	0
96	8.47715	0.129815	0
97	8.46638	0.129898	0
98	8.44456	0.130066	0
99	8.39189	0.130473	0
100	8.39648	0.130437	0
101	8.38353	0.130538	0
102	8.33557	0.130913	0
103	8.30173	0.13118	0
104	8.24845	0.131603	0
105	8.2504	0.131587	0
106	8.21152	0.131898	0
107	8.16618	0.132264	0
