Input	../Output/Countries/JPN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	20
beta0	3.57794	error	0.0828452
beta1	0.0210821	error	0.00697861

X	Y	Error	Weight
0	3.45224	0.203423	1
1	3.53474	0.201035	1
2	3.57153	0.199997	1
3	3.71357	0.196135	1
4	3.78093	0.19438	1
5	3.85621	0.192473	1
6	3.80029	0.193884	1
7	3.85015	0.192625	1
8	3.84404	0.192778	1
9	3.80984	0.193641	1
10	3.78419	0.194296	1
11	3.71705	0.196043	1
12	3.65989	0.197568	1
13	3.72052	0.195952	1
14	3.63003	0.198379	1
15	3.6817	0.196982	1
16	3.7612	0.194889	1
17	3.83484	0.193009	1
18	4.00993	0.188748	1
19	4.15888	0.185337	1
20	4.28456	0.182599	1
21	4.55987	0.177001	0
22	4.74244	0.17356	0
23	4.80753	0.172381	0
24	4.99914	0.169045	0
25	5.16152	0.166365	0
26	5.29975	0.164181	0
27	5.44674	0.161951	0
28	5.54796	0.160466	0
29	5.63937	0.159161	0
30	5.70806	0.1582	0
31	5.76384	0.157433	0
32	5.87212	0.155974	0
33	5.99004	0.154432	0
34	6.09196	0.153134	0
35	6.19324	0.151877	0
36	6.24195	0.151283	0
37	6.26013	0.151063	0
38	6.29474	0.150648	0
39	6.30079	0.150575	0
40	6.29263	0.150673	0
41	6.27234	0.150916	0
42	6.24195	0.151283	0
43	6.19761	0.151823	0
44	6.21031	0.151668	0
45	6.17497	0.152101	0
46	6.12562	0.152713	0
47	6.08385	0.153236	0
48	6.02517	0.153981	0
49	5.93187	0.155187	0
50	5.87453	0.155942	0
51	5.80255	0.156907	0
52	5.7589	0.1575	0
53	5.67431	0.15867	0
54	5.55793	0.160322	0
55	5.49482	0.16124	0
56	5.47766	0.161493	0
57	5.46625	0.161661	0
58	5.46444	0.161688	0
59	5.3633	0.163205	0
60	5.2832	0.164438	0
61	5.20008	0.165747	0
62	5.04065	0.168348	0
63	4.84979	0.171628	0
64	4.69135	0.174503	0
65	4.50298	0.178115	0
66	4.44097	0.179354	0
67	4.35119	0.181195	0
68	4.35119	0.181195	0
69	4.28456	0.182599	0
70	4.15665	0.185387	0
71	4.05055	0.187799	0
72	4.04054	0.188032	0
73	3.8801	0.19188	0
74	3.83175	0.193087	0
75	3.63759	0.198173	0
76	3.52215	0.201394	0
77	3.39162	0.205233	0
78	3.47019	0.202896	0
79	3.4154	0.204517	0
80	3.42472	0.204239	0
81	3.38679	0.205379	0
82	3.51791	0.201515	0
83	3.71705	0.196043	0
84	3.77767	0.194464	0
85	3.75787	0.194976	0
86	3.80666	0.193722	0
87	3.86822	0.192174	0
88	3.8801	0.19188	0
89	3.80029	0.193884	0
90	3.70657	0.19632	0
91	3.70305	0.196413	0
92	3.71705	0.196043	0
93	3.66356	0.197469	0
94	3.66722	0.197371	0
95	3.6853	0.196886	0
96	3.6745	0.197175	0
97	3.73084	0.195681	0
98	3.73426	0.195591	0
99	3.85319	0.192549	0
100	3.99163	0.18918	0
101	3.97567	0.18956	0
102	4.00473	0.188871	0
103	4.04806	0.187857	0
104	4.06536	0.187457	0
105	4.12251	0.186153	0
106	4.07268	0.187288	0
107	3.9969	0.189056	0
108	4.03298	0.188208	0
109	4.12483	0.186101	0
110	4.20041	0.184419	0
111	4.27667	0.182767	0
112	4.32507	0.181742	0
113	4.42741	0.179629	0
114	4.54025	0.177383	0
115	4.65532	0.175177	0
116	4.82831	0.17201	0
117	4.96184	0.16968	0
118	4.98459	0.169292	0
119	5.14999	0.166551	0
120	5.22575	0.16534	0
121	5.27811	0.164517	0
122	5.32649	0.163769	0
123	5.31461	0.163951	0
124	5.40781	0.162532	0
125	5.58188	0.159978	0
126	5.63937	0.159161	0
127	5.73796	0.157787	0
128	5.7847	0.157149	0
129	5.82979	0.15654	0
130	6.03034	0.153915	0
131	6.02414	0.153994	0
132	6.08026	0.153282	0
133	6.21917	0.15156	0
134	6.24417	0.151256	0
135	6.23749	0.151337	0
136	6.35462	0.149936	0
137	6.3391	0.15012	0
138	6.48877	0.148378	0
139	6.52608	0.147953	0
140	6.51746	0.148051	0
141	6.59148	0.147218	0
142	6.65489	0.146514	0
143	6.69403	0.146086	0
144	6.79379	0.145009	0
145	6.91203	0.143763	0
146	6.95668	0.143301	0
147	7.05617	0.142287	0
148	7.10988	0.141749	0
149	7.15428	0.141308	0
150	7.18441	0.141012	0
151	7.19229	0.140935	0
152	7.16162	0.141236	0
153	7.21629	0.1407	0
154	7.21713	0.140692	0
155	7.23046	0.140562	0
156	7.21503	0.140712	0
157	7.15406	0.141311	0
158	7.11384	0.141709	0
159	7.07858	0.142062	0
160	7.04801	0.14237	0
161	7.00423	0.142814	0
162	6.94862	0.143384	0
163	6.92194	0.14366	0
164	6.95437	0.143325	0
165	6.96872	0.143177	0
166	6.96724	0.143193	0
167	6.9263	0.143615	0
168	6.88828	0.144011	0
169	6.84649	0.14445	0
170	6.82453	0.144682	0
171	6.79475	0.144999	0
172	6.76207	0.145349	0
173	6.71157	0.145895	0
174	6.67564	0.146287	0
175	6.65507	0.146512	0
176	6.62955	0.146794	0
177	6.61778	0.146925	0
178	6.59792	0.147146	0
179	6.53876	0.14781	0
180	6.49332	0.148326	0
181	6.43592	0.148986	0
182	6.37624	0.149682	0
183	6.33809	0.150132	0
184	6.30131	0.150569	0
185	6.27045	0.150939	0
186	6.2552	0.151123	0
187	6.25328	0.151146	0
188	6.26801	0.150968	0
189	6.28066	0.150816	0
190	6.27772	0.150852	0
191	6.27045	0.150939	0
192	6.27611	0.150871	0
193	6.27906	0.150836	0
194	6.23497	0.151368	0
195	6.21547	0.151605	0
196	6.20196	0.15177	0
197	6.21347	0.15163	0
198	6.22823	0.15145	0
199	6.16392	0.152238	0
200	6.06445	0.153481	0
201	6.06112	0.153523	0
202	6.05812	0.153561	0
203	6.07403	0.15336	0
204	6.07502	0.153348	0
205	6.06776	0.153439	0
206	6.14019	0.152532	0
207	6.23777	0.151334	0
208	6.28467	0.150768	0
209	6.27395	0.150897	0
210	6.25438	0.151133	0
211	6.23161	0.151409	0
212	6.22682	0.151467	0
213	6.21974	0.151553	0
214	6.19964	0.151799	0
215	6.19586	0.151845	0
216	6.21432	0.151619	0
217	6.24749	0.151216	0
218	6.25767	0.151093	0
219	6.2497	0.151189	0
220	6.24638	0.15123	0
221	6.25794	0.15109	0
222	6.27637	0.150868	0
223	6.29077	0.150695	0
224	6.27234	0.150916	0
225	6.26964	0.150949	0
226	6.2852	0.150762	0
227	6.28146	0.150807	0
228	6.30236	0.150556	0
229	6.27879	0.150839	0
230	6.30314	0.150547	0
231	6.33023	0.150225	0
232	6.34739	0.150021	0
233	6.37161	0.149736	0
234	6.409	0.149299	0
235	6.43478	0.148999	0
236	6.47477	0.148538	0
237	6.48398	0.148433	0
238	6.51535	0.148075	0
239	6.54041	0.147791	0
240	6.55678	0.147607	0
241	6.60336	0.147085	0
242	6.58143	0.14733	0
243	6.62766	0.146815	0
244	6.69985	0.146022	0
245	6.7721	0.145241	0
246	6.82608	0.144666	0
247	6.87287	0.144172	0
248	6.93287	0.143547	0
249	7.05161	0.142333	0
250	7.12413	0.141607	0
251	7.18365	0.141019	0
252	7.23129	0.140554	0
253	7.2859	0.140026	0
254	7.30038	0.139887	0
255	7.33768	0.139531	0
256	7.40123	0.138931	0
257	7.46361	0.138349	0
258	7.52101	0.13782	0
259	7.58347	0.137252	0
260	7.63067	0.136826	0
261	7.6697	0.136478	0
262	7.63868	0.136755	0
263	7.61916	0.13693	0
