Input	../Output/Countries/KAZ.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	68
beta0	3.7627	error	0.0438288
beta1	0.0332808	error	0.00105263

X	Y	Error	Weight
0	3.46126	0.203158	1
1	3.53474	0.201035	1
2	3.6562	0.197668	1
3	3.75453	0.195062	1
4	3.83484	0.193009	1
5	3.80348	0.193803	1
6	3.76783	0.194718	1
7	3.75787	0.194976	1
8	3.9402	0.190411	1
9	3.92338	0.190819	1
10	3.90341	0.191306	1
11	3.90054	0.191377	1
12	3.90629	0.191236	1
13	3.86523	0.192249	1
14	3.95946	0.189947	1
15	4.11555	0.18631	1
16	4.33636	0.181505	1
17	4.39621	0.180265	1
18	4.48542	0.178464	1
19	4.6526	0.175228	1
20	4.67416	0.174823	1
21	4.64026	0.175461	1
22	4.68872	0.174552	1
23	4.69135	0.174503	1
24	4.78749	0.172742	1
25	4.84193	0.171768	1
26	4.8957	0.170822	1
27	4.94775	0.169921	1
28	5.00202	0.168997	1
29	4.9447	0.169973	1
30	4.99335	0.169143	1
31	4.96484	0.169628	1
32	5.0689	0.167878	1
33	5.0707	0.167848	1
34	5.18978	0.165912	1
35	5.14666	0.166605	1
36	5.15577	0.166458	1
37	5.12566	0.166946	1
38	5.21183	0.16556	1
39	5.12396	0.166974	1
40	5.17453	0.166156	1
41	5.07339	0.167804	1
42	5.11885	0.167057	1
43	5.10854	0.167225	1
44	5.03324	0.168472	1
45	4.95683	0.169765	1
46	4.95482	0.1698	1
47	4.80519	0.172423	1
48	4.82831	0.17201	1
49	5.0267	0.168581	1
50	5.39622	0.162707	1
51	5.34847	0.163432	1
52	5.40139	0.162629	1
53	5.47047	0.161599	1
54	5.76384	0.157433	1
55	5.68891	0.158466	1
56	5.82642	0.156585	1
57	5.75845	0.157506	1
58	5.75845	0.157506	1
59	5.80986	0.156808	1
60	5.81285	0.156768	1
61	5.66147	0.15885	1
62	5.86322	0.156093	1
63	5.80643	0.156854	1
64	5.81157	0.156785	1
65	5.91812	0.155367	1
66	5.97816	0.154585	1
67	5.87453	0.155942	1
68	5.82895	0.156551	1
69	5.7175	0.158069	0
70	5.56944	0.160157	0
71	5.40074	0.162639	0
72	5.36931	0.163114	0
73	5.18659	0.165963	0
74	5.55241	0.160402	0
75	5.40653	0.162552	0
76	5.50823	0.161044	0
77	5.55074	0.160426	0
78	5.809	0.15682	0
79	5.86525	0.156066	0
80	5.90107	0.155591	0
81	5.65749	0.158906	0
82	6.02897	0.153932	0
83	6.05611	0.153587	0
84	6.13618	0.152581	0
85	6.07337	0.153368	0
86	6.13216	0.152632	0
87	6.18797	0.151942	0
88	6.31588	0.150395	0
89	6.22597	0.151477	0
90	6.09131	0.153142	0
91	6.24139	0.15129	0
92	6.23944	0.151314	0
93	6.22682	0.151467	0
94	8.04284	0.133274	0
95	8.08966	0.132888	0
96	8.19659	0.132018	0
97	8.25219	0.131573	0
98	8.26679	0.131457	0
99	8.28918	0.131279	0
100	8.32052	0.131032	0
101	7.26383	0.140239	0
102	7.46107	0.138373	0
103	7.33545	0.139553	0
104	7.36717	0.139252	0
105	7.2318	0.140549	0
106	7.45273	0.13845	0
107	7.48397	0.138161	0
108	7.61008	0.137011	0
109	7.45901	0.138392	0
110	7.46721	0.138316	0
111	7.30845	0.13981	0
112	7.57081	0.137366	0
113	7.42255	0.138731	0
114	7.41621	0.138791	0
115	7.26092	0.140267	0
116	7.41207	0.138829	0
117	7.40619	0.138884	0
118	7.5281	0.137755	0
119	7.38523	0.139081	0
120	7.37597	0.139169	0
121	7.36328	0.139289	0
122	7.48845	0.138119	0
123	7.32194	0.139681	0
124	7.27843	0.140098	0
125	7.11906	0.141658	0
126	7.57573	0.137322	0
127	7.6004	0.137098	0
128	7.59251	0.13717	0
129	7.68787	0.136316	0
130	7.76205	0.135663	0
131	7.82764	0.135094	0
132	7.93595	0.134169	0
133	7.67309	0.136448	0
134	7.60667	0.137042	0
135	7.55904	0.137473	0
136	7.50179	0.137997	0
137	7.41095	0.13884	0
138	7.32119	0.139688	0
139	7.2485	0.140387	0
140	7.19604	0.140898	0
141	7.1498	0.141353	0
142	7.09861	0.141861	0
143	7.00436	0.142813	0
144	6.94312	0.143441	0
145	6.88185	0.144078	0
146	6.82778	0.144648	0
147	6.76058	0.145365	0
148	6.72366	0.145763	0
149	6.66459	0.146408	0
150	6.38182	0.149616	0
151	6.15819	0.152309	0
152	6.1506	0.152403	0
153	6.29606	0.150632	0
154	6.206	0.151721	0
155	6.12843	0.152678	0
156	6.38109	0.149625	0
157	6.40476	0.149348	0
158	6.50728	0.148167	0
159	6.42185	0.149149	0
160	6.05645	0.153583	0
161	6.14081	0.152524	0
162	6.20022	0.151792	0
163	5.92005	0.155342	0
164	6.07074	0.153402	0
165	5.99325	0.15439	0
166	5.94205	0.155054	0
167	6.03889	0.153806	0
168	5.86201	0.156109	0
169	5.83314	0.156495	0
170	5.83021	0.156534	0
171	5.80857	0.156825	0
172	5.76564	0.157408	0
173	5.71515	0.158102	0
174	5.6792	0.158602	0
175	5.63683	0.159197	0
176	5.62556	0.159356	0
177	5.63275	0.159254	0
178	5.61625	0.159488	0
179	5.60159	0.159696	0
180	5.58671	0.159909	0
181	5.58725	0.159901	0
182	5.56452	0.160228	0
183	5.55517	0.160362	0
184	5.54462	0.160515	0
185	5.50707	0.161061	0
186	5.47407	0.161546	0
187	5.47766	0.161493	0
188	5.4331	0.162154	0
189	5.41483	0.162427	0
190	5.41864	0.16237	0
191	5.41356	0.162446	0
192	5.38842	0.162825	0
193	5.45593	0.161814	0
194	5.48598	0.16137	0
