Input	../Output/Countries/KGZ.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	63
beta0	2.98805	error	0.0522398
beta1	0.0115097	error	0.00138831

X	Y	Error	Weight
0	3.49216	0.202257	1
1	3.3673	0.205973	1
2	3.36235	0.206124	1
3	3.24146	0.209933	1
4	3.27982	0.208702	1
5	3.30637	0.207862	1
6	3.17208	0.212216	1
7	3.23025	0.210297	1
8	3.05805	0.216137	1
9	3.12926	0.213663	1
10	3.14785	0.213031	1
11	3.16002	0.212621	1
12	3.22458	0.210482	1
13	3.12298	0.213878	1
14	2.90614	0.221714	1
15	2.89829	0.222014	1
16	2.82477	0.224885	1
17	2.81625	0.225225	1
18	2.79905	0.225915	1
19	2.56495	0.236	1
20	2.69847	0.230087	1
21	2.78149	0.226627	1
22	2.95938	0.21971	1
23	2.95938	0.21971	1
24	3.00993	0.217858	1
25	3.05805	0.216137	1
26	3.06474	0.215901	1
27	3.14169	0.21324	1
28	3.38679	0.205379	1
29	3.27982	0.208702	1
30	3.32194	0.207374	1
31	3.20737	0.211046	1
32	3.28519	0.208531	1
33	3.37711	0.205674	1
34	3.27982	0.208702	1
35	2.96677	0.219437	1
36	3.35239	0.20643	1
37	3.38198	0.205525	1
38	3.47463	0.202767	1
39	3.49651	0.202131	1
40	3.53056	0.201154	1
41	3.56753	0.200109	1
42	3.63382	0.198276	1
43	3.43399	0.203963	1
44	3.47019	0.202896	1
45	3.57554	0.199885	1
46	3.69245	0.196695	1
47	3.79708	0.193966	1
48	3.93183	0.190614	1
49	3.89764	0.191448	1
50	4.00473	0.188871	1
51	3.98633	0.189306	1
52	3.91488	0.191026	1
53	3.77439	0.194548	1
54	3.66722	0.197371	1
55	3.58352	0.199662	1
56	3.61092	0.198903	1
57	3.42472	0.204239	1
58	3.4012	0.204944	1
59	3.45676	0.20329	1
60	3.64134	0.198071	1
61	3.49216	0.202257	1
62	3.50514	0.201882	1
63	3.6817	0.196982	1
64	4.14086	0.18574	0
65	4.28261	0.18264	0
66	4.38914	0.18041	0
67	4.25054	0.183328	0
68	4.48864	0.1784	0
69	4.70566	0.174237	0
70	5.03044	0.168519	0
71	4.83855	0.171828	0
72	5.11371	0.167141	0
73	5.2219	0.1654	0
74	5.39816	0.162678	0
75	5.46685	0.161652	0
76	5.38842	0.162825	0
77	5.46927	0.161617	0
78	5.62453	0.15937	0
79	5.53846	0.160604	0
80	5.79779	0.156971	0
81	5.90302	0.155566	0
82	5.85056	0.156262	0
83	5.91002	0.155474	0
84	5.82051	0.156664	0
85	6.00741	0.154208	0
86	5.98177	0.154538	0
87	5.91196	0.155448	0
88	5.91389	0.155423	0
89	6.07107	0.153398	0
90	6.1606	0.152279	0
91	6.28093	0.150813	0
92	6.15668	0.152327	0
93	6.114	0.152858	0
94	6.19586	0.151845	0
95	6.10607	0.152957	0
96	6.12218	0.152756	0
97	7.6148	0.136969	0
98	7.73606	0.135891	0
99	7.71544	0.136073	0
100	7.78364	0.135475	0
101	7.77713	0.135532	0
102	7.89299	0.134533	0
103	7.86029	0.134813	0
104	6.97914	0.14307	0
105	6.69703	0.146053	0
106	6.77879	0.145169	0
107	6.68336	0.146202	0
108	6.68675	0.146165	0
109	6.34212	0.150084	0
110	6.47873	0.148493	0
111	6.39096	0.149509	0
112	6.32436	0.150294	0
113	6.30549	0.150519	0
114	6.26937	0.150952	0
115	6.21974	0.151553	0
116	6.19615	0.151841	0
117	6.17289	0.152127	0
118	6.14725	0.152444	0
119	6.125	0.152721	0
120	6.04568	0.153719	0
121	6.03137	0.153902	0
122	5.93603	0.155133	0
123	5.84147	0.156383	0
124	5.75529	0.15755	0
125	5.69132	0.158433	0
126	5.62298	0.159392	0
127	5.60685	0.159622	0
128	5.48716	0.161353	0
129	5.41037	0.162494	0
130	5.3251	0.16379	0
131	5.24702	0.165004	0
132	5.18018	0.166065	0
133	5.11628	0.167099	0
134	5.08848	0.167555	0
135	5.05625	0.168088	0
136	4.99431	0.169127	0
137	4.91265	0.170527	0
138	4.83855	0.171828	0
139	4.76704	0.173112	0
140	4.73494	0.173698	0
141	4.70308	0.174285	0
142	4.62357	0.175777	0
143	4.57324	0.176742	0
144	4.57028	0.176799	0
145	4.47083	0.178755	0
146	4.41884	0.179803	0
147	4.42228	0.179733	0
148	4.38203	0.180557	0
149	4.32507	0.181742	0
150	4.41194	0.179944	0
151	4.36219	0.180967	0
152	4.3856	0.180483	0
153	4.33636	0.181505	0
154	4.2237	0.18391	0
155	4.20683	0.184278	0
156	4.29242	0.182432	0
157	4.18313	0.184799	0
158	4.20469	0.184325	0
159	4.23411	0.183683	0
160	4.28261	0.18264	0
161	4.17218	0.185042	0
162	4.35119	0.181195	0
163	4.35119	0.181195	0
164	4.37845	0.18063	0
165	4.45767	0.179018	0
166	4.58788	0.176459	0
167	4.68081	0.174699	0
168	4.87411	0.1712	0
169	4.83855	0.171828	0
170	4.94164	0.170026	0
171	5.00011	0.169029	0
172	5.0425	0.168317	0
173	5.07874	0.167715	0
174	5.05169	0.168164	0
175	5.12481	0.16696	0
176	5.2087	0.16561	0
177	5.20636	0.165647	0
178	5.31812	0.163897	0
179	5.36798	0.163134	0
180	5.40717	0.162542	0
181	5.51573	0.160935	0
182	5.55074	0.160426	0
183	5.60001	0.159719	0
184	5.69036	0.158446	0
185	5.70568	0.158233	0
186	5.77144	0.157329	0
187	5.83856	0.156422	0
188	5.90419	0.15555	0
189	5.99645	0.154349	0
190	6.05979	0.15354	0
191	6.07337	0.153368	0
192	6.14296	0.152497	0
193	6.19061	0.151909	0
194	6.23385	0.151382	0
195	6.25767	0.151093	0
196	6.2718	0.150923	0
197	6.25493	0.151126	0
198	6.30419	0.150535	0
199	6.30131	0.150569	0
200	6.29474	0.150648	0
201	6.29842	0.150603	0
202	6.27933	0.150832	0
203	6.10224	0.153005	0
204	6.27261	0.150913	0
205	6.3571	0.149907	0
206	6.35636	0.149916	0
207	6.21774	0.151577	0
208	6.172	0.152138	0
209	6.19324	0.151877	0
210	6.33328	0.150188	0
211	6.21774	0.151577	0
212	6.23888	0.15132	0
213	6.07731	0.153319	0
214	6.23665	0.151348	0
215	6.2718	0.150923	0
216	6.2563	0.15111	0
217	6.38832	0.14954	0
218	6.24083	0.151297	0
219	6.09615	0.153082	0
220	6.22427	0.151498	0
221	6.19411	0.151866	0
222	6.13988	0.152535	0
223	6.12374	0.152736	0
224	5.91659	0.155387	0
225	6.02724	0.153954	0
226	6.02552	0.153976	0
227	6.14877	0.152425	0
228	6.13495	0.152597	0
229	6.00776	0.154204	0
230	5.99929	0.154312	0
231	6.13309	0.15262	0
232	6.15365	0.152365	0
233	5.99574	0.154358	0
234	5.81285	0.156768	0
235	5.83104	0.156523	0
236	6.00035	0.154299	0
237	5.99254	0.154399	0
238	5.91273	0.155438	0
239	5.758	0.157513	0
