Input	../Output/Countries/KOR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	11
beta0	4.28104	error	0.0947269
beta1	0.216182	error	0.0137836

X	Y	Error	Weight
0	4.05797	0.187627	1
1	4.40497	0.180086	1
2	4.74244	0.17356	1
3	4.90633	0.170637	1
4	5.16886	0.166247	1
5	5.46987	0.161608	1
6	5.71937	0.158044	1
7	5.96137	0.154802	1
8	6.10416	0.152981	1
9	6.21518	0.151609	1
10	6.39907	0.149414	1
11	6.43432	0.149005	1
12	6.42556	0.149106	0
13	6.41017	0.149285	0
14	6.32051	0.15034	0
15	6.23665	0.151348	0
16	6.10702	0.152945	0
17	5.80643	0.156854	0
18	5.71984	0.158037	0
19	5.53902	0.160596	0
20	5.28827	0.164359	0
21	5.00586	0.168932	0
22	4.79697	0.172571	0
23	4.68478	0.174625	0
24	4.74742	0.173469	0
25	4.54329	0.177323	0
26	4.59944	0.176237	0
27	4.56584	0.176885	0
28	4.62357	0.175777	0
29	4.73745	0.173652	0
30	4.64026	0.175461	0
31	4.62917	0.175671	0
32	4.63889	0.175487	0
33	4.57028	0.176799	0
34	4.57618	0.176685	0
35	4.57471	0.176713	0
36	4.48703	0.178432	0
37	4.60517	0.176128	0
38	4.67283	0.174848	0
39	4.67416	0.174823	0
40	4.65396	0.175202	0
41	4.64714	0.175331	0
42	4.57324	0.176742	0
43	4.5372	0.177442	0
44	4.48864	0.1784	0
45	4.35487	0.181119	0
46	4.26268	0.183067	0
47	4.15665	0.185387	0
48	4.0151	0.188626	0
49	3.83484	0.193009	0
50	3.67087	0.197273	0
51	3.58748	0.199552	0
52	3.50514	0.201882	0
53	3.38679	0.205379	0
54	3.30112	0.208027	0
55	3.27446	0.208872	0
56	3.20737	0.211046	0
57	3.05805	0.216137	0
58	2.97405	0.219168	0
59	2.83321	0.224549	0
60	2.6888	0.2305	0
61	2.60793	0.234047	0
62	2.47292	0.240351	0
63	2.37155	0.245434	0
64	2.3979	0.244082	0
65	2.41081	0.243427	0
66	2.41081	0.243427	0
67	2.31678	0.248318	0
68	2.24379	0.252325	0
69	2.18121	0.255919	0
70	2.22851	0.253188	0
71	2.19722	0.254984	0
72	2.00539	0.266902	0
73	1.86082	0.277076	0
74	1.86082	0.277076	0
75	1.92527	0.272399	0
76	2.14838	0.257867	0
77	2.4485	0.241547	0
78	2.73625	0.228493	0
79	2.93688	0.22055	0
80	3.10396	0.214532	0
81	3.25258	0.209574	0
82	3.33221	0.207055	0
83	3.3373	0.206897	0
84	3.22458	0.210482	0
85	3.10396	0.214532	0
86	3.00993	0.217858	0
87	3.05131	0.216375	0
88	2.92927	0.220837	0
89	2.87435	0.222936	0
90	2.90614	0.221714	0
91	2.99573	0.218373	0
92	3.00286	0.218114	0
93	3.04452	0.216616	0
94	3.09752	0.214755	0
95	3.45676	0.20329	0
96	3.61477	0.198797	0
97	3.6745	0.197175	0
98	3.6817	0.196982	0
99	3.74783	0.195236	0
100	3.80984	0.193641	0
101	3.83792	0.192931	0
102	3.70657	0.19632	0
103	3.63759	0.198173	0
104	3.6817	0.196982	0
105	3.78419	0.194296	0
106	3.79389	0.194048	0
107	3.79389	0.194048	0
108	3.79708	0.193966	0
109	3.81615	0.193481	0
110	3.86822	0.192174	0
111	3.85923	0.192398	0
112	3.78743	0.194213	0
113	3.78093	0.19438	0
114	3.76783	0.194718	0
115	3.74446	0.195324	0
116	3.79067	0.19413	0
117	3.76783	0.194718	0
118	3.82864	0.193165	0
119	3.8712	0.1921	0
120	3.813	0.193561	0
121	3.85015	0.192625	0
122	3.87418	0.192027	0
123	3.77767	0.194464	0
124	3.74446	0.195324	0
125	3.68888	0.19679	0
126	3.73767	0.195502	0
127	3.81927	0.193402	0
128	3.80984	0.193641	0
129	3.80666	0.193722	0
130	3.88597	0.191735	0
131	3.95399	0.190079	0
132	3.98633	0.189306	0
133	3.98367	0.189369	0
134	3.99427	0.189118	0
135	3.9969	0.189056	0
136	4.03045	0.188267	0
137	4.01766	0.188566	0
138	3.97029	0.189688	0
139	3.89182	0.191591	0
140	3.84098	0.192855	0
141	3.8889	0.191663	0
142	3.85621	0.192473	0
143	3.78093	0.19438	0
144	3.81927	0.193402	0
145	3.86523	0.192249	0
146	3.87714	0.191953	0
147	3.8471	0.192701	0
148	3.73084	0.195681	0
149	3.77113	0.194633	0
150	3.8471	0.192701	0
151	3.84098	0.192855	0
152	3.78093	0.19438	0
153	3.9969	0.189056	0
154	4.05797	0.187627	0
155	4.0555	0.187685	0
156	4.01252	0.188687	0
157	3.97299	0.189624	0
158	3.85621	0.192473	0
159	3.84098	0.192855	0
160	3.55125	0.200567	0
161	3.42936	0.204101	0
162	3.42005	0.204378	0
163	3.44773	0.203556	0
164	3.37711	0.205674	0
165	3.49216	0.202257	0
166	3.42005	0.204378	0
167	3.47463	0.202767	0
