Input	../Output/Countries/KWT.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	50
beta0	3.77576	error	0.0487793
beta1	0.066279	error	0.00156225

X	Y	Error	Weight
0	3.55125	0.200567	1
1	3.7612	0.194889	1
2	4.04305	0.187973	1
3	4.17218	0.185042	1
4	4.34195	0.181388	1
5	4.39621	0.180265	1
6	4.4102	0.179979	1
7	4.56881	0.176827	1
8	4.57324	0.176742	1
9	4.50771	0.178022	1
10	4.47083	0.178755	1
11	4.364	0.180929	1
12	4.47408	0.178689	1
13	4.55388	0.177117	1
14	4.44601	0.179253	1
15	4.57766	0.176656	1
16	4.598	0.176265	1
17	4.64026	0.175461	1
18	4.79106	0.172677	1
19	4.82831	0.17201	1
20	4.91685	0.170454	1
21	5.09375	0.167468	1
22	5.11026	0.167197	1
23	5.21881	0.165449	1
24	5.26933	0.164654	1
25	5.36196	0.163226	1
26	5.44735	0.161942	1
27	5.52886	0.160743	1
28	5.50823	0.161044	1
29	5.6079	0.159607	1
30	5.64998	0.159011	1
31	5.8222	0.156642	1
32	5.89755	0.155638	1
33	5.89519	0.155669	1
34	6.00248	0.154272	1
35	6.06179	0.153515	1
36	6.27153	0.150926	1
37	6.35014	0.149989	1
38	6.4599	0.148709	1
39	6.51767	0.148049	1
40	6.64972	0.146571	1
41	6.69386	0.146087	1
42	6.783	0.145124	1
43	6.78025	0.145154	1
44	6.81892	0.144741	1
45	6.83164	0.144607	1
46	6.83978	0.144521	1
47	6.85405	0.14437	1
48	6.86455	0.14426	1
49	6.85827	0.144326	1
50	6.82623	0.144664	1
51	6.79858	0.144958	0
52	6.7216	0.145786	0
53	6.70214	0.145997	0
54	6.66714	0.14638	0
55	6.68818	0.146149	0
56	6.70721	0.145942	0
57	6.70948	0.145917	0
58	6.71884	0.145816	0
59	6.76586	0.145308	0
60	6.76882	0.145276	0
61	6.72125	0.145789	0
62	6.65929	0.146466	0
63	6.55901	0.147581	0
64	6.5315	0.147892	0
65	6.51957	0.148027	0
66	6.46392	0.148663	0
67	6.45789	0.148732	0
68	6.46837	0.148612	0
69	6.42232	0.149144	0
70	6.42857	0.149071	0
71	6.36598	0.149802	0
72	6.32819	0.150249	0
73	6.30157	0.150566	0
74	6.27288	0.15091	0
75	6.25438	0.151133	0
76	6.27718	0.150858	0
77	6.26448	0.151011	0
78	6.27825	0.150845	0
79	6.31251	0.150435	0
80	6.36672	0.149794	0
81	6.4311	0.149042	0
82	6.51238	0.148109	0
83	6.57627	0.147388	0
84	6.61931	0.146908	0
85	6.62804	0.146811	0
86	6.61683	0.146935	0
87	6.60317	0.147087	0
88	6.58341	0.147308	0
89	6.58538	0.147286	0
90	6.56506	0.147513	0
91	6.55353	0.147643	0
92	6.57108	0.147446	0
93	6.595	0.147178	0
94	6.58123	0.147332	0
95	6.58459	0.147294	0
96	6.56747	0.147486	0
97	6.55271	0.147652	0
98	6.52104	0.14801	0
99	6.56184	0.14755	0
100	6.54371	0.147754	0
101	6.55698	0.147604	0
102	6.54494	0.14774	0
103	6.53628	0.147838	0
104	6.49678	0.148287	0
