Input	../Output/Countries/LBN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	41
beta0	3.37555	error	0.0682898
beta1	-0.0546154	error	0.00330581

X	Y	Error	Weight
0	3.40595	0.204801	1
1	3.48342	0.202511	1
2	3.47019	0.202896	1
3	3.30112	0.208027	1
4	3.24146	0.209933	1
5	3.07796	0.215437	1
6	3.03769	0.21686	1
7	2.89037	0.222318	1
8	2.81625	0.225225	1
9	2.73625	0.228493	1
10	2.5427	0.23703	1
11	2.60793	0.234047	1
12	2.41081	0.243427	1
13	2.62879	0.233116	1
14	2.53139	0.237559	1
15	2.66924	0.231343	1
16	2.64922	0.232216	1
17	2.6888	0.2305	1
18	2.56495	0.236	1
19	2.58671	0.235005	1
20	2.46079	0.240943	1
21	2.4485	0.241547	1
22	2.13168	0.258875	1
23	2.02433	0.265651	1
24	1.81531	0.280527	1
25	1.86082	0.277076	1
26	1.63764	0.295354	1
27	1.23227	0.340485	1
28	1.27285	0.335014	1
29	1.38629	0.321013	1
30	1.51973	0.306597	1
31	1.58042	0.300652	1
32	1.55054	0.303536	1
33	1.74292	0.286294	1
34	1.71758	0.288399	1
35	1.66506	0.292911	1
36	1.55054	0.303536	1
37	1.42142	0.317022	1
38	1.45535	0.313305	1
39	1.45535	0.313305	1
40	1.23227	0.340485	1
41	1.42142	0.317022	1
42	2.13168	0.258875	0
43	2.25874	0.251488	0
44	2.38481	0.244751	0
45	2.73625	0.228493	0
46	2.83321	0.224549	0
47	2.91393	0.221417	0
48	2.90614	0.221714	0
49	2.67903	0.23092	0
50	2.60793	0.234047	0
51	2.58671	0.235005	0
52	2.24379	0.252325	0
53	2.33078	0.247571	0
54	2.48491	0.239771	0
55	2.47292	0.240351	0
56	2.98133	0.2189	0
57	3.32708	0.207214	0
58	3.32708	0.207214	0
59	3.3673	0.205973	0
60	3.29053	0.208362	0
61	3.27982	0.208702	0
62	3.35239	0.20643	0
63	3.02388	0.217354	0
64	2.50846	0.238642	0
65	2.59742	0.23452	0
66	2.71754	0.229278	0
67	2.79031	0.226269	0
68	2.67903	0.23092	0
69	2.60793	0.234047	0
70	2.98133	0.2189	0
71	2.99573	0.218373	0
72	2.91393	0.221417	0
73	2.76361	0.227359	0
74	2.81625	0.225225	0
75	2.89037	0.222318	0
76	2.93688	0.22055	0
77	2.61842	0.233578	0
78	2.75455	0.227733	0
79	2.85813	0.223568	0
80	2.79905	0.225915	0
81	2.79031	0.226269	0
82	2.70805	0.22968	0
