Input	../Output/Countries/LBY.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	71
beta0	3.79047	error	0.041987
beta1	0.0421273	error	0.000954525

X	Y	Error	Weight
0	3.62245	0.198587	1
1	3.70305	0.196413	1
2	3.80666	0.193722	1
3	3.93463	0.190546	1
4	4.03045	0.188267	1
5	4.16556	0.185189	1
6	4.10382	0.186577	1
7	4.04556	0.187915	1
8	4.01252	0.188687	1
9	4.03298	0.188208	1
10	3.9969	0.189056	1
11	3.82553	0.193244	1
12	3.79067	0.19413	1
13	3.94573	0.190277	1
14	4.05055	0.187799	1
15	4.12483	0.186101	1
16	4.20256	0.184372	1
17	4.31749	0.181901	1
18	4.42911	0.179594	1
19	4.54935	0.177205	1
20	4.63334	0.175592	1
21	4.68213	0.174674	1
22	4.74244	0.17356	1
23	4.79579	0.172592	1
24	4.8882	0.170953	1
25	5.00682	0.168916	1
26	5.07874	0.167715	1
27	5.14166	0.166686	1
28	5.09638	0.167425	1
29	5.11714	0.167085	1
30	5.17372	0.166169	1
31	5.14999	0.166551	1
32	5.18739	0.16595	1
33	5.32718	0.163758	1
34	5.33891	0.163578	1
35	5.39428	0.162736	1
36	5.44056	0.162043	1
37	5.58564	0.159924	1
38	5.69325	0.158406	1
39	5.72078	0.158024	1
40	5.73703	0.1578	1
41	5.77189	0.157323	1
42	5.88053	0.155863	1
43	5.96284	0.154783	1
44	5.9364	0.155128	1
45	5.97925	0.154571	1
46	6.00987	0.154177	1
47	5.93904	0.155093	1
48	5.98932	0.154441	1
49	5.95472	0.154889	1
50	5.77942	0.15722	1
51	5.84974	0.156273	1
52	5.75619	0.157537	1
53	5.82516	0.156602	1
54	5.90458	0.155545	1
55	5.88133	0.155852	1
56	5.8865	0.155784	1
57	6.05578	0.153591	1
58	6.04602	0.153715	1
59	6.16871	0.152179	1
60	6.16241	0.152256	1
61	6.21432	0.151619	1
62	6.30105	0.150572	1
63	6.38157	0.149619	1
64	6.42649	0.149095	1
65	6.54453	0.147745	1
66	6.56305	0.147536	1
67	6.63068	0.146782	1
68	6.60394	0.147079	1
69	6.65984	0.14646	1
70	6.62083	0.146891	1
71	6.57766	0.147372	1
72	6.50536	0.148189	0
73	6.47939	0.148485	0
74	6.46013	0.148707	0
75	6.5476	0.14771	0
76	6.47257	0.148564	0
77	6.54822	0.147703	0
78	6.60433	0.147074	0
79	6.62596	0.146834	0
80	6.62993	0.14679	0
81	6.60298	0.147089	0
82	6.53254	0.14788	0
83	6.54124	0.147782	0
84	6.4866	0.148403	0
85	6.44685	0.14886	0
86	6.44731	0.148854	0
87	6.48092	0.148468	0
88	6.44979	0.148826	0
89	6.48267	0.148448	0
90	6.44957	0.148828	0
91	6.41088	0.149277	0
92	6.45362	0.148782	0
93	6.40263	0.149373	0
94	6.45565	0.148758	0
95	6.56888	0.147471	0
96	6.58794	0.147257	0
97	6.69368	0.146089	0
98	6.68443	0.14619	0
99	6.73731	0.145616	0
100	6.81564	0.144776	0
101	6.83626	0.144558	0
102	6.80366	0.144904	0
103	6.81564	0.144776	0
104	6.8301	0.144623	0
105	6.77976	0.145159	0
106	6.76652	0.145301	0
107	6.77471	0.145213	0
108	6.74035	0.145583	0
109	6.72039	0.145799	0
110	6.74423	0.145541	0
111	6.67366	0.146308	0
112	6.8381	0.144538	0
113	6.93912	0.143482	0
114	6.94615	0.14341	0
115	6.91756	0.143706	0
116	6.94271	0.143445	0
117	6.91289	0.143754	0
118	6.94202	0.143452	0
119	6.86708	0.144233	0
120	6.75892	0.145383	0
121	6.6995	0.146026	0
122	6.70459	0.14597	0
123	6.70459	0.14597	0
124	6.71694	0.145836	0
125	6.72246	0.145776	0
126	6.74423	0.145541	0
127	6.76553	0.145311	0
128	6.77553	0.145204	0
129	6.80588	0.14488	0
130	6.80208	0.144921	0
131	6.8125	0.14481	0
132	6.78381	0.145116	0
133	6.68265	0.14621	0
134	6.66386	0.146416	0
135	6.62653	0.146828	0
136	6.55637	0.147611	0
137	6.48355	0.148438	0
138	6.39741	0.149434	0
139	6.39216	0.149495	0
140	6.39216	0.149495	0
141	6.40192	0.149381	0
142	6.38471	0.149582	0
143	6.40735	0.149318	0
144	6.42787	0.149079	0
145	6.44368	0.148896	0
146	6.45811	0.14873	0
147	6.45811	0.14873	0
148	6.48942	0.148371	0
149	6.4288	0.149069	0
150	6.4057	0.149337	0
151	6.41813	0.149192	0
152	6.45295	0.148789	0
153	6.41017	0.149285	0
154	6.41017	0.149285	0
155	6.38495	0.14958	0
156	6.41767	0.149198	0
