Input	../Output/Countries/LIE.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	32
beta0	3.49332	error	0.0703229
beta1	-0.0215635	error	0.00388388

X	Y	Error	Weight
0	3.42936	0.204101	1
1	3.48342	0.202511	1
2	3.50083	0.202007	1
3	3.52215	0.201394	1
4	3.3673	0.205973	1
5	3.42472	0.204239	1
6	3.43859	0.203827	1
7	3.4154	0.204517	1
8	3.28519	0.208531	1
9	3.37711	0.205674	1
10	3.3373	0.206897	1
11	3.29053	0.208362	1
12	3.10396	0.214532	1
13	3.21314	0.210856	1
14	3.17208	0.212216	1
15	3.16607	0.212418	1
16	2.98856	0.218635	1
17	2.89829	0.222014	1
18	3.17208	0.212216	1
19	3.10396	0.214532	1
20	2.93688	0.22055	1
21	2.96677	0.219437	1
22	2.97405	0.219168	1
23	3.02388	0.217354	1
24	3.00286	0.218114	1
25	2.79031	0.226269	1
26	2.90614	0.221714	1
27	2.95938	0.21971	1
28	2.92927	0.220837	1
29	2.84159	0.224218	1
30	2.8824	0.222625	1
31	3.01695	0.217604	1
32	2.89829	0.222014	1
