Input	../Output/Countries/LSO.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	9
beta0	3.66263	error	0.119382
beta1	-0.0668803	error	0.0230788

X	Y	Error	Weight
0	3.43399	0.203963	1
1	3.55535	0.200452	1
2	3.55535	0.200452	1
3	3.69955	0.196506	1
4	3.4154	0.204517	1
5	3.4154	0.204517	1
6	3.45224	0.203423	1
7	3.06474	0.215901	1
8	2.98133	0.2189	1
9	2.98133	0.2189	1
10	1.74292	0.286294	0
11	1.23227	0.340485	0
12	2.19722	0.254984	0
13	2.06141	0.263251	0
14	2.33078	0.247571	0
15	3.00993	0.217858	0
16	3.00993	0.217858	0
17	3.13549	0.213451	0
18	3.13549	0.213451	0
19	3.16002	0.212621	0
20	3.16002	0.212621	0
21	3.05131	0.216375	0
22	2.77259	0.226991	0
23	2.92927	0.220837	0
24	2.77259	0.226991	0
25	2.77259	0.226991	0
26	2.28818	0.249865	0
27	2.6888	0.2305	0
28	2.70805	0.22968	0
29	2.06141	0.263251	0
30	1.63764	0.295354	0
31	1.63764	0.295354	0
32	2.30259	0.249082	0
33	2.30259	0.249082	0
34	1.63764	0.295354	0
35	1.58042	0.300652	0
36	1.58042	0.300652	0
37	2.62879	0.233116	0
38	2.62879	0.233116	0
39	2.19722	0.254984	0
40	2.19722	0.254984	0
41	2.19722	0.254984	0
42	2.42356	0.242786	0
43	2.42356	0.242786	0
44	2.62879	0.233116	0
45	2.62879	0.233116	0
46	2.62879	0.233116	0
47	2.62879	0.233116	0
48	3.24146	0.209933	0
49	3.14785	0.213031	0
50	3.14785	0.213031	0
51	3.03081	0.217106	0
52	3.03081	0.217106	0
53	3.24146	0.209933	0
54	3.24146	0.209933	0
55	2.62879	0.233116	0
56	3.24704	0.209753	0
57	3.47905	0.202638	0
58	3.17805	0.212017	0
59	3.17805	0.212017	0
60	2.95194	0.219987	0
61	3.00286	0.218114	0
62	3.07796	0.215437	0
63	2.53139	0.237559	0
64	2.49675	0.239201	0
65	2.85813	0.223568	0
66	2.85813	0.223568	0
67	2.8824	0.222625	0
68	2.82477	0.224885	0
69	2.72694	0.228883	0
70	3.20157	0.211237	0
71	3.04452	0.216616	0
72	2.84159	0.224218	0
73	2.84159	0.224218	0
74	2.85813	0.223568	0
75	2.85813	0.223568	0
76	2.98856	0.218635	0
77	2.24379	0.252325	0
78	1.9042	0.273902	0
79	1.55054	0.303536	0
80	1.55054	0.303536	0
81	1.38629	0.321013	0
82	1.38629	0.321013	0
83	2.61842	0.233578	0
84	2.49675	0.239201	0
85	2.55389	0.23651	0
86	2.66924	0.231343	0
87	2.72694	0.228883	0
88	2.72694	0.228883	0
89	2.75455	0.227733	0
90	1.42142	0.317022	0
91	1.42142	0.317022	0
92	1.23227	0.340485	0
93	0.998424	0.378263	0
94	0.618962	0.480418	0
95	0.618962	0.480418	0
96	0.944295	0.388953	0
97	0.693147	0.453982	0
98	0.826804	0.415671	0
99	0.826804	0.415671	0
100	0.693147	0.453982	0
101	0.693147	0.453982	0
102	0.693147	0.453982	0
