Input	../Output/Countries/LTU.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	32
beta0	3.88772	error	0.0666086
beta1	-0.0152768	error	0.0036508

X	Y	Error	Weight
0	3.56349	0.200223	1
1	3.62623	0.198483	1
2	3.78743	0.194213	1
3	3.79389	0.194048	1
4	3.813	0.193561	1
5	3.79708	0.193966	1
6	3.8471	0.192701	1
7	3.78093	0.19438	1
8	3.91202	0.191095	1
9	3.87714	0.191953	1
10	3.98633	0.189306	1
11	3.91488	0.191026	1
12	3.91773	0.190956	1
13	3.89182	0.191591	1
14	3.85621	0.192473	1
15	3.77767	0.194464	1
16	3.76783	0.194718	1
17	3.59537	0.199333	1
18	3.54302	0.2008	1
19	3.44317	0.203691	1
20	3.30112	0.208027	1
21	3.24146	0.209933	1
22	3.20737	0.211046	1
23	3.06474	0.215901	1
24	3.4154	0.204517	1
25	3.55535	0.200452	1
26	3.63003	0.198379	1
27	3.68888	0.19679	1
28	3.6853	0.196886	1
29	3.6525	0.197768	1
30	3.61862	0.198692	1
31	3.28519	0.208531	1
32	2.99573	0.218373	1
33	2.86625	0.223251	0
