Input	../Output/Countries/LUX.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	85
beta0	5.32456	error	0.0406487
beta1	-0.053403	error	0.00104514

X	Y	Error	Weight
0	3.80984	0.193641	1
1	4.16334	0.185238	1
2	4.4822	0.178528	1
3	4.65938	0.1751	1
4	4.7362	0.173674	1
5	4.91998	0.1704	1
6	5.08406	0.167628	1
7	5.07339	0.167804	1
8	5.07607	0.16776	1
9	5.11113	0.167183	1
10	5.10334	0.167311	1
11	5.0689	0.167878	1
12	5.03788	0.168394	1
13	4.94775	0.169921	1
14	4.99528	0.169111	1
15	4.96882	0.16956	1
16	4.85426	0.171549	1
17	4.80402	0.172444	1
18	4.80519	0.172423	1
19	4.72865	0.173813	1
20	4.62637	0.175724	1
21	4.49663	0.178241	1
22	4.46919	0.178787	1
23	4.34751	0.181272	1
24	4.22161	0.183955	1
25	4.16111	0.185288	1
26	3.87418	0.192027	1
27	3.8801	0.19188	1
28	3.85015	0.192625	1
29	3.60316	0.199117	1
30	3.64134	0.198071	1
31	3.64881	0.197868	1
32	3.63759	0.198173	1
33	3.79389	0.194048	1
34	3.69245	0.196695	1
35	3.45224	0.203423	1
36	3.42472	0.204239	1
37	3.21314	0.210856	1
38	3.20737	0.211046	1
39	3.19577	0.211428	1
40	2.86625	0.223251	1
41	2.79905	0.225915	1
42	2.83321	0.224549	1
43	2.72694	0.228883	1
44	2.66924	0.231343	1
45	2.66924	0.231343	1
46	2.64922	0.232216	1
47	2.64922	0.232216	1
48	2.46079	0.240943	1
49	2.37155	0.245434	1
50	2.28818	0.249865	1
51	2.22851	0.253188	1
52	2.18121	0.255919	1
53	2.14838	0.257867	1
54	2.04304	0.264431	1
55	2.02433	0.265651	1
56	2.07944	0.262106	1
57	2.00539	0.266902	1
58	2.02433	0.265651	1
59	2.13168	0.258875	1
60	2.13168	0.258875	1
61	2.21299	0.254075	1
62	2.25874	0.251488	1
63	2.22851	0.253188	1
64	2.11457	0.25992	1
65	2.14838	0.257867	1
66	1.9042	0.273902	1
67	1.88267	0.275464	1
68	1.66506	0.292911	1
69	1.45535	0.313305	1
70	1.38629	0.321013	1
71	1.48817	0.30983	1
72	1.31211	0.329964	1
73	1.31211	0.329964	1
74	1.31211	0.329964	1
75	1.27285	0.335014	1
76	1.18967	0.346527	1
77	0.998424	0.378263	1
78	1.04977	0.368896	1
79	0.998424	0.378263	1
80	1.09861	0.360603	1
81	1.09861	0.360603	1
82	1.31211	0.329964	1
83	1.27285	0.335014	1
84	1.27285	0.335014	1
85	1.18967	0.346527	1
86	1.38629	0.321013	0
87	1.48817	0.30983	0
88	1.51973	0.306597	0
89	1.42142	0.317022	0
90	1.63764	0.295354	0
91	1.71758	0.288399	0
92	1.83832	0.278766	0
93	1.79176	0.282365	0
94	1.96613	0.269553	0
95	1.94591	0.27095	0
96	2.11457	0.25992	0
97	2.06141	0.263251	0
98	2.14838	0.257867	0
99	2.35811	0.246132	0
100	2.77259	0.226991	0
101	2.85813	0.223568	0
102	2.95938	0.21971	0
103	3.16607	0.212418	0
104	3.37711	0.205674	0
105	3.55125	0.200567	0
106	3.66722	0.197371	0
107	3.61092	0.198903	0
108	3.68888	0.19679	0
109	3.71008	0.196227	0
110	3.77113	0.194633	0
111	3.77439	0.194548	0
112	3.83484	0.193009	0
113	3.85319	0.192549	0
114	3.95673	0.190013	0
115	4.05302	0.187742	0
116	4.07996	0.187121	0
117	4.16998	0.18509	0
118	4.21108	0.184185	0
119	4.39268	0.180338	0
120	4.50298	0.178115	0
121	4.51712	0.177836	0
122	4.57618	0.176685	0
123	4.58058	0.1766	0
124	4.55987	0.177001	0
125	4.64987	0.175279	0
126	4.55688	0.177059	0
127	4.52644	0.177653	0
128	4.6137	0.175965	0
129	4.55688	0.177059	0
130	4.57912	0.176628	0
131	4.53106	0.177562	0
132	4.57471	0.176713	0
133	4.55237	0.177146	0
134	4.514	0.177898	0
135	4.45767	0.179018	0
136	4.42228	0.179733	0
137	4.35119	0.181195	0
138	4.34936	0.181233	0
139	4.21529	0.184093	0
140	4.17878	0.184896	0
141	4.08957	0.186901	0
142	3.98367	0.189369	0
143	3.91202	0.191095	0
144	3.91773	0.190956	0
145	3.83792	0.192931	0
146	3.73426	0.195591	0
147	3.74107	0.195413	0
148	3.73084	0.195681	0
149	3.6525	0.197768	0
150	3.58748	0.199552	0
151	3.58748	0.199552	0
152	3.60316	0.199117	0
153	3.63759	0.198173	0
154	3.64881	0.197868	0
155	3.75453	0.195062	0
156	3.83175	0.193087	0
157	3.813	0.193561	0
158	3.83792	0.192931	0
159	3.8801	0.19188	0
160	3.94573	0.190277	0
161	3.7274	0.195771	0
