Input	../Output/Countries/LVA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	83
beta0	3.27779	error	0.0525015
beta1	-0.0309562	error	0.00139363

X	Y	Error	Weight
0	3.47019	0.202896	1
1	3.42005	0.204378	1
2	3.4154	0.204517	1
3	3.37222	0.205823	1
4	3.27982	0.208702	1
5	3.16607	0.212418	1
6	3.06474	0.215901	1
7	2.92927	0.220837	1
8	2.92927	0.220837	1
9	2.83321	0.224549	1
10	2.8499	0.223891	1
11	2.82477	0.224885	1
12	2.78149	0.226627	1
13	2.74541	0.228112	1
14	2.5427	0.23703	1
15	2.50846	0.238642	1
16	2.30259	0.249082	1
17	2.46079	0.240943	1
18	2.38481	0.244751	1
19	2.48491	0.239771	1
20	2.56495	0.236	1
21	2.60793	0.234047	1
22	2.6888	0.2305	1
23	2.67903	0.23092	1
24	2.57589	0.235498	1
25	2.49675	0.239201	1
26	2.42356	0.242786	1
27	2.53139	0.237559	1
28	2.53139	0.237559	1
29	2.43615	0.242158	1
30	2.50846	0.238642	1
31	2.25874	0.251488	1
32	2.25874	0.251488	1
33	2.41081	0.243427	1
34	2.14838	0.257867	1
35	1.98595	0.268205	1
36	1.98595	0.268205	1
37	2.11457	0.25992	1
38	2.13168	0.258875	1
39	2.14838	0.257867	1
40	1.96613	0.269553	1
41	2.04304	0.264431	1
42	1.98595	0.268205	1
43	2.02433	0.265651	1
44	1.79176	0.282365	1
45	2.25874	0.251488	1
46	2.28818	0.249865	1
47	2.19722	0.254984	1
48	2.18121	0.255919	1
49	2.22851	0.253188	1
50	2.19722	0.254984	1
51	2.14838	0.257867	1
52	1.94591	0.27095	1
53	1.71758	0.288399	1
54	1.74292	0.286294	1
55	1.76764	0.284285	1
56	1.76764	0.284285	1
57	1.63764	0.295354	1
58	1.58042	0.300652	1
59	0.998424	0.378263	1
60	0.998424	0.378263	1
61	0.88748	0.40121	1
62	0.944295	0.388953	1
63	1.14518	0.353195	1
64	1.09861	0.360603	1
65	1.09861	0.360603	1
66	1.09861	0.360603	1
67	1.14518	0.353195	1
68	1.14518	0.353195	1
69	0.944295	0.388953	1
70	0.618962	0.480418	1
71	0.53883	0.514903	1
72	0.451712	0.562367	1
73	0.451712	0.562367	1
74	0.251537	0.753616	1
75	0.251537	0.753616	1
76	0.251537	0.753616	1
77	0.53883	0.514903	1
78	0.693147	0.453982	1
79	0.693147	0.453982	1
80	0.693147	0.453982	1
81	0.693147	0.453982	1
82	0.693147	0.453982	1
83	0.618962	0.480418	1
