Input	../Output/Countries/MAR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	31
beta0	3.74806	error	0.0645752
beta1	0.0524797	error	0.00342505

X	Y	Error	Weight
0	3.41069	0.204659	1
1	3.64508	0.197969	1
2	3.77767	0.194464	1
3	3.95124	0.190145	1
4	4.07754	0.187177	1
5	4.15665	0.185387	1
6	4.11555	0.18631	1
7	4.12483	0.186101	1
8	4.1544	0.185437	1
9	4.30213	0.182226	1
10	4.34936	0.181233	1
11	4.38914	0.18041	1
12	4.39445	0.180301	1
13	4.48542	0.178464	1
14	4.55538	0.177088	1
15	4.54177	0.177353	1
16	4.49345	0.178304	1
17	4.51556	0.177867	1
18	4.52023	0.177775	1
19	4.61086	0.176019	1
20	4.67283	0.174848	1
21	4.86643	0.171335	1
22	5.0716	0.167833	1
23	5.09287	0.167483	1
24	5.13915	0.166727	1
25	5.21105	0.165573	1
26	5.24023	0.165111	1
27	5.31391	0.163962	1
28	5.2126	0.165548	1
29	5.13915	0.166727	1
30	5.15412	0.166485	1
31	5.15247	0.166511	1
32	5.03324	0.168472	0
33	5.00395	0.168964	0
34	4.82831	0.17201	0
35	4.80519	0.172423	0
36	4.75236	0.173379	0
37	4.77792	0.172915	0
38	4.78511	0.172785	0
39	4.8925	0.170878	0
40	4.92829	0.170256	0
41	5.04527	0.168271	0
42	5.07963	0.167701	0
43	5.09463	0.167454	0
44	5.12821	0.166905	0
45	5.11026	0.167197	0
46	5.16723	0.166273	0
47	5.14334	0.166659	0
48	5.06078	0.168013	0
49	5.01917	0.168708	0
50	4.90104	0.170729	0
51	4.77672	0.172936	0
52	4.74742	0.173469	0
53	4.56286	0.176943	0
54	4.45932	0.178985	0
55	4.48542	0.178464	0
56	4.45767	0.179018	0
57	4.57618	0.176685	0
58	4.55388	0.177117	0
59	4.38737	0.180447	0
60	4.41712	0.179838	0
61	4.37126	0.180779	0
62	4.20256	0.184372	0
63	4.12251	0.186153	0
64	3.9995	0.188994	0
65	3.97835	0.189496	0
66	3.97835	0.189496	0
67	3.7612	0.194889	0
68	3.72052	0.195952	0
69	3.82553	0.193244	0
70	3.9402	0.190411	0
71	3.93183	0.190614	0
72	3.97029	0.189688	0
73	4.08717	0.186956	0
74	4.20469	0.184325	0
75	4.40147	0.180157	0
76	4.42741	0.179629	0
77	4.33449	0.181544	0
78	4.3438	0.181349	0
79	4.34751	0.181272	0
80	4.39797	0.180229	0
81	4.42228	0.179733	0
82	4.25662	0.183197	0
83	4.24645	0.183416	0
84	4.34008	0.181427	0
85	4.96484	0.169628	0
86	5.09899	0.167382	0
87	5.13075	0.166863	0
88	5.21416	0.165523	0
89	5.30756	0.16406	0
90	5.60895	0.159592	0
91	5.77898	0.157226	0
92	5.66494	0.158801	0
