Input	../Output/Countries/MDA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	251
beta0	4.50839	error	0.0209952
beta1	0.010488	error	0.000137122

X	Y	Error	Weight
0	3.48342	0.202511	1
1	3.66722	0.197371	1
2	3.8471	0.192701	1
3	4.02535	0.188386	1
4	4.30985	0.182062	1
5	4.45268	0.179118	1
6	4.55688	0.177059	1
7	4.60945	0.176046	1
8	4.6755	0.174798	1
9	4.7185	0.174	1
10	4.79579	0.172592	1
11	4.74866	0.173447	1
12	4.7362	0.173674	1
13	4.67015	0.174898	1
14	4.83174	0.171949	1
15	4.82831	0.17201	1
16	4.81682	0.172215	1
17	4.77069	0.173046	1
18	4.76095	0.173222	1
19	4.75112	0.173402	1
20	4.78272	0.172828	1
21	4.57618	0.176685	1
22	4.64576	0.175357	1
23	4.70308	0.174285	1
24	4.79461	0.172613	1
25	4.88497	0.171009	1
26	4.8957	0.170822	1
27	4.8925	0.170878	1
28	4.98556	0.169275	1
29	4.95482	0.1698	1
30	4.93241	0.170185	1
31	4.82259	0.172112	1
32	4.67149	0.174873	1
33	4.62357	0.175777	1
34	4.69657	0.174406	1
35	4.64026	0.175461	1
36	4.61228	0.175992	1
37	4.61653	0.175911	1
38	4.67149	0.174873	1
39	4.75728	0.173289	1
40	4.74618	0.173492	1
41	4.67015	0.174898	1
42	4.72739	0.173836	1
43	4.88927	0.170934	1
44	4.90845	0.1706	1
45	4.9787	0.169392	1
46	5.0267	0.168581	1
47	5.08671	0.167584	1
48	5.0955	0.167439	1
49	5.13243	0.166836	1
50	5.09899	0.167382	1
51	5.10248	0.167325	1
52	5.05898	0.168043	1
53	5.02012	0.168692	1
54	4.99431	0.169127	1
55	4.97081	0.169526	1
56	4.92622	0.170292	1
57	4.94571	0.169956	1
58	4.98263	0.169325	1
59	5.00968	0.168867	1
60	5.06078	0.168013	1
61	5.10854	0.167225	1
62	5.15494	0.166471	1
63	5.17937	0.166078	1
64	5.19137	0.165886	1
65	5.21881	0.165449	1
66	5.26269	0.164758	1
67	5.30756	0.16406	1
68	5.33272	0.163673	1
69	5.33134	0.163694	1
70	5.35186	0.16338	1
71	5.3845	0.162884	1
72	5.49775	0.161198	1
73	5.57486	0.160079	1
74	5.62865	0.159312	1
75	5.6748	0.158663	1
76	5.69036	0.158446	1
77	5.7634	0.157439	1
78	5.84189	0.156378	1
79	5.82852	0.156557	1
80	5.86322	0.156093	1
81	5.87573	0.155926	1
82	5.86201	0.156109	1
83	5.87172	0.15598	1
84	5.86201	0.156109	1
85	5.81456	0.156745	1
86	5.81498	0.156739	1
87	5.75935	0.157494	1
88	5.71656	0.158082	1
89	5.67968	0.158595	1
90	5.65199	0.158983	1
91	5.60317	0.159674	1
92	5.56068	0.160283	1
93	5.49071	0.161301	1
94	5.47407	0.161546	1
95	5.42684	0.162247	1
96	5.40909	0.162513	1
97	5.39946	0.162658	1
98	5.38581	0.162864	1
99	5.41483	0.162427	1
100	5.37792	0.162984	1
101	5.35321	0.163359	1
102	5.39103	0.162785	1
103	5.41165	0.162475	1
104	5.38907	0.162815	1
105	5.41101	0.162484	1
106	5.41228	0.162465	1
107	5.4306	0.162191	1
108	5.41292	0.162456	1
109	5.42306	0.162304	1
110	5.4306	0.162191	1
111	5.47826	0.161484	1
112	5.51227	0.160985	1
113	5.52602	0.160785	1
114	5.57215	0.160118	1
115	5.64948	0.159018	1
116	5.67185	0.158704	1
117	5.68164	0.158568	1
118	5.67431	0.15867	1
119	5.69373	0.158399	1
120	5.72685	0.15794	1
121	5.76743	0.157384	1
122	5.77278	0.157311	1
123	5.78821	0.157101	1
124	5.80685	0.156849	1
125	5.80685	0.156849	1
126	5.79171	0.157054	1
127	5.78383	0.15716	1
128	5.78821	0.157101	1
129	5.77588	0.157269	1
130	5.80771	0.156837	1
131	5.79389	0.157024	1
132	5.82008	0.15667	1
133	5.84106	0.156389	1
134	5.86808	0.156028	1
135	5.8616	0.156114	1
136	5.87533	0.155932	1
137	5.86282	0.156098	1
138	5.88729	0.155773	1
139	5.89243	0.155705	1
140	5.90419	0.15555	1
141	5.96174	0.154798	1
142	6.00916	0.154186	1
143	6.06079	0.153528	1
144	6.11463	0.15285	1
145	6.15425	0.152357	1
146	6.20051	0.151788	1
147	6.23413	0.151378	1
148	6.23357	0.151385	1
149	6.24528	0.151243	1
150	6.19149	0.151899	1
151	6.16542	0.152219	1
152	6.13185	0.152635	1
153	6.09066	0.153151	1
154	6.00916	0.154186	1
155	5.97635	0.154608	1
156	6.00071	0.154294	1
157	6.06112	0.153523	1
158	6.0832	0.153245	1
159	6.09228	0.15313	1
160	6.10447	0.152977	1
161	6.17021	0.15216	1
162	6.1868	0.151956	1
163	6.16542	0.152219	1
164	6.14877	0.152425	1
165	6.13773	0.152562	1
166	6.11904	0.152795	1
167	6.10988	0.15291	1
168	6.1181	0.152807	1
169	6.13029	0.152655	1
170	6.14938	0.152418	1
171	6.20456	0.151738	1
172	6.24887	0.151199	1
173	6.24777	0.151213	1
174	6.23972	0.15131	1
175	6.27342	0.150903	1
176	6.31536	0.150401	1
177	6.34061	0.150102	1
178	6.35263	0.14996	1
179	6.39645	0.149445	1
180	6.41556	0.149222	1
181	6.44299	0.148904	1
182	6.4842	0.14843	1
183	6.53254	0.14788	1
184	6.59324	0.147198	1
185	6.63894	0.14669	1
186	6.63969	0.146682	1
187	6.70301	0.145988	1
188	6.70354	0.145982	1
189	6.70284	0.14599	1
190	6.71139	0.145896	1
191	6.72846	0.145711	1
192	6.72263	0.145774	1
193	6.73238	0.145669	1
194	6.6796	0.146243	1
195	6.70529	0.145963	1
196	6.67438	0.1463	1
197	6.68996	0.14613	1
198	6.60298	0.147089	1
199	6.57667	0.147383	1
200	6.54904	0.147694	1
201	6.55088	0.147673	1
202	6.506	0.148182	1
203	6.50578	0.148184	1
204	6.43592	0.148986	1
205	6.46414	0.14866	1
206	6.44254	0.14891	1
207	6.45182	0.148802	1
208	6.45542	0.148761	1
209	6.46792	0.148617	1
210	6.46637	0.148635	1
211	6.47257	0.148564	1
212	6.50193	0.148228	1
213	6.56022	0.147568	1
214	6.56144	0.147554	1
215	6.58696	0.147268	1
216	6.56446	0.14752	1
217	6.57667	0.147383	1
218	6.60781	0.147036	1
219	6.63576	0.146726	1
220	6.62955	0.146794	1
221	6.69084	0.14612	1
222	6.71348	0.145874	1
223	6.7368	0.145621	1
224	6.77095	0.145253	1
225	6.78639	0.145088	1
226	6.82933	0.144631	1
227	6.88755	0.144019	1
228	6.92152	0.143665	1
229	6.89814	0.143908	1
230	6.93119	0.143564	1
231	6.95245	0.143345	1
232	7.01751	0.142679	1
233	7.03162	0.142536	1
234	7.04403	0.14241	1
235	7.03086	0.142543	1
236	7.12079	0.14164	1
237	7.1107	0.141741	1
238	7.12758	0.141573	1
239	7.12333	0.141615	1
240	7.1516	0.141335	1
241	7.1317	0.141532	1
242	7.17702	0.141084	1
243	7.16748	0.141178	1
244	7.15305	0.141321	1
245	7.1843	0.141013	1
246	7.2001	0.140858	1
247	7.20394	0.140821	1
248	7.23284	0.140539	1
249	7.23449	0.140523	1
250	7.19701	0.140888	1
251	7.27745	0.140108	1
