Input	../Output/Countries/MDG.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	42
beta0	3.33635	error	0.0595343
beta1	0.0198187	error	0.00236694

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.37711	0.205674	1
2	3.46126	0.203158	1
3	3.44773	0.203556	1
4	3.61477	0.198797	1
5	3.5389	0.200917	1
6	3.57954	0.199773	1
7	3.57554	0.199885	1
8	3.6525	0.197768	1
9	3.55125	0.200567	1
10	3.70305	0.196413	1
11	3.61092	0.198903	1
12	3.74446	0.195324	1
13	3.7612	0.194889	1
14	3.6781	0.197079	1
15	3.64508	0.197969	1
16	3.69245	0.196695	1
17	3.64508	0.197969	1
18	3.73426	0.195591	1
19	3.59143	0.199442	1
20	3.55943	0.200337	1
21	3.63382	0.198276	1
22	3.47463	0.202767	1
23	3.44773	0.203556	1
24	3.33221	0.207055	1
25	3.24146	0.209933	1
26	3.42936	0.204101	1
27	3.35239	0.20643	1
28	3.3673	0.205973	1
29	3.57954	0.199773	1
30	3.83484	0.193009	1
31	3.91202	0.191095	1
32	4.0629	0.187514	1
33	4.06781	0.1874	1
34	4.10853	0.18647	1
35	4.2258	0.183864	1
36	4.27269	0.182852	1
37	4.23203	0.183728	1
38	4.26469	0.183024	1
39	4.2485	0.183372	1
40	4.30019	0.182267	1
41	4.40672	0.18005	1
42	4.43422	0.179491	1
43	4.6375	0.175513	0
44	4.81451	0.172256	0
45	5.068	0.167893	0
46	5.19137	0.165886	0
47	5.20086	0.165735	0
48	5.2832	0.164438	0
49	5.45104	0.161887	0
50	5.57703	0.160048	0
51	5.61729	0.159473	0
52	5.56616	0.160204	0
53	5.58832	0.159886	0
54	5.67087	0.158718	0
55	5.79779	0.156971	0
56	5.80513	0.156872	0
57	5.78207	0.157184	0
58	5.74209	0.157731	0
59	5.69084	0.158439	0
60	5.75257	0.157587	0
61	5.90068	0.155597	0
62	5.79127	0.157059	0
63	5.78338	0.157166	0
64	5.66346	0.158822	0
65	5.771	0.157335	0
66	5.89283	0.1557	0
67	5.90029	0.155602	0
68	5.72964	0.157902	0
69	5.82347	0.156625	0
70	5.71656	0.158082	0
71	5.84023	0.1564	0
72	5.76519	0.157414	0
73	5.63988	0.159153	0
74	5.54462	0.160515	0
75	5.60633	0.159629	0
76	5.53733	0.16062	0
77	5.57161	0.160126	0
78	5.46201	0.161724	0
79	5.40525	0.162571	0
80	5.39493	0.162726	0
81	5.31391	0.163962	0
82	5.12311	0.166988	0
83	4.95784	0.169748	0
84	4.89463	0.170841	0
85	4.7412	0.173583	0
86	4.66209	0.175049	0
87	4.58204	0.176572	0
88	4.59367	0.176348	0
89	4.57176	0.17677	0
90	4.50298	0.178115	0
91	4.40846	0.180014	0
92	4.36945	0.180816	0
93	4.2687	0.182938	0
94	4.30019	0.182267	0
95	4.19827	0.184466	0
96	4.22787	0.183819	0
97	4.1363	0.185842	0
98	4.2237	0.18391	0
99	4.29632	0.182349	0
100	4.30019	0.182267	0
101	4.18749	0.184703	0
102	4.23203	0.183728	0
103	4.20469	0.184325	0
104	4.29632	0.182349	0
105	4.25054	0.183328	0
106	4.2237	0.18391	0
107	4.21951	0.184001	0
108	4.24645	0.183416	0
109	4.2237	0.18391	0
110	4.26268	0.183067	0
111	4.30406	0.182185	0
112	4.23203	0.183728	0
113	4.20256	0.184372	0
114	4.1363	0.185842	0
115	4.08717	0.186956	0
116	3.96217	0.189882	0
117	3.91488	0.191026	0
118	3.7612	0.194889	0
119	3.76452	0.194803	0
120	3.69955	0.196506	0
121	3.74446	0.195324	0
122	3.77113	0.194633	0
123	3.86222	0.192323	0
124	3.74446	0.195324	0
125	3.63759	0.198173	0
126	3.57554	0.199885	0
127	3.52215	0.201394	0
128	3.50083	0.202007	0
129	3.67087	0.197273	0
130	3.5389	0.200917	0
131	3.5389	0.200917	0
132	3.62623	0.198483	0
133	3.65989	0.197568	0
134	3.65989	0.197568	0
135	3.66356	0.197469	0
136	3.45676	0.20329	0
137	3.46126	0.203158	0
138	3.47019	0.202896	0
139	3.35239	0.20643	0
140	3.26358	0.20922	0
141	3.20737	0.211046	0
142	3.12926	0.213663	0
143	3.10396	0.214532	0
144	3.09104	0.21498	0
145	2.8499	0.223891	0
146	2.65928	0.231776	0
147	2.41081	0.243427	0
148	2.73625	0.228493	0
149	2.57589	0.235498	0
150	2.48491	0.239771	0
151	2.07944	0.262106	0
152	2.07944	0.262106	0
153	2.07944	0.262106	0
154	2.07944	0.262106	0
155	3.11667	0.214095	0
156	3.11667	0.214095	0
157	3.11667	0.214095	0
158	3.11667	0.214095	0
159	3.11667	0.214095	0
160	3.11667	0.214095	0
161	3.11667	0.214095	0
162	3.01695	0.217604	0
163	3.01695	0.217604	0
164	3.01695	0.217604	0
165	3.01695	0.217604	0
166	3.01695	0.217604	0
167	3.01695	0.217604	0
168	3.01695	0.217604	0
