Input	../Output/Countries/MEX.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	44
beta0	3.87418	error	0.0518538
beta1	0.0808596	error	0.00188334

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.62623	0.198483	1
2	3.70657	0.19632	1
3	3.79708	0.193966	1
4	3.93183	0.190614	1
5	4.09673	0.186738	1
6	4.29632	0.182349	1
7	4.44601	0.179253	1
8	4.57176	0.17677	1
9	4.64302	0.175409	1
10	4.75112	0.173402	1
11	4.85981	0.171451	1
12	4.88389	0.171028	1
13	4.93241	0.170185	1
14	5.00299	0.16898	1
15	5.10161	0.167339	1
16	5.25824	0.164828	1
17	5.41292	0.162456	1
18	5.55129	0.160418	1
19	5.61988	0.159436	1
20	5.7301	0.157896	1
21	5.80728	0.156843	1
22	5.88531	0.1558	1
23	5.90769	0.155504	1
24	5.92273	0.155307	1
25	5.94242	0.155049	1
26	6.01127	0.154159	1
27	6.07074	0.153402	1
28	6.14908	0.152421	1
29	6.24278	0.151273	1
30	6.28573	0.150755	1
31	6.37332	0.149716	1
32	6.50877	0.14815	1
33	6.63632	0.146719	1
34	6.7531	0.145445	1
35	6.80951	0.144841	1
36	6.82064	0.144723	1
37	6.87242	0.144177	1
38	6.94298	0.143443	1
39	6.94354	0.143437	1
40	6.98881	0.142971	1
41	7.02452	0.142608	1
42	7.07157	0.142132	1
43	7.13591	0.14149	1
44	7.2	0.140859	1
45	7.18895	0.140967	0
46	7.24779	0.140394	0
47	7.30288	0.139863	0
48	7.33982	0.139511	0
49	7.393	0.139008	0
50	7.40862	0.138862	0
51	7.39739	0.138967	0
52	7.47136	0.138277	0
53	7.49172	0.138089	0
54	7.52518	0.137782	0
55	7.56527	0.137416	0
56	7.57807	0.1373	0
57	7.61488	0.136968	0
58	7.69009	0.136297	0
59	7.73581	0.135893	0
60	7.75961	0.135685	0
61	7.79341	0.13539	0
62	7.82376	0.135127	0
63	7.89101	0.13455	0
64	7.92717	0.134243	0
65	7.93082	0.134212	0
66	7.96822	0.133897	0
67	8.02659	0.133409	0
68	8.04527	0.133254	0
69	8.05742	0.133154	0
70	8.03713	0.133322	0
71	8.05489	0.133175	0
72	8.06778	0.133068	0
73	8.08711	0.132909	0
74	8.10664	0.132749	0
75	8.1515	0.132383	0
76	8.19656	0.132019	0
77	8.22405	0.131798	0
78	8.23668	0.131697	0
79	8.24527	0.131628	0
80	8.25676	0.131536	0
81	8.29212	0.131256	0
82	8.30449	0.131158	0
83	8.33499	0.130918	0
84	8.33159	0.130944	0
85	8.35414	0.130768	0
86	8.36843	0.130656	0
87	8.3816	0.130553	0
88	8.38314	0.130541	0
89	8.41123	0.130323	0
90	8.40511	0.13037	0
91	8.44345	0.130074	0
92	8.47958	0.129797	0
93	8.51313	0.129541	0
94	8.56044	0.129182	0
95	8.57422	0.129078	0
96	8.58608	0.128989	0
97	8.59698	0.128907	0
98	8.58885	0.128968	0
99	8.55386	0.129232	0
100	8.53236	0.129395	0
101	8.50798	0.12958	0
102	8.51499	0.129527	0
103	8.53307	0.129389	0
104	8.56894	0.129118	0
105	8.63467	0.128626	0
106	8.65062	0.128507	0
107	8.67768	0.128307	0
108	8.69758	0.12816	0
109	8.72845	0.127933	0
110	8.74084	0.127842	0
111	8.74428	0.127817	0
112	8.72544	0.127955	0
113	8.72076	0.127989	0
114	8.71569	0.128027	0
115	8.7341	0.127892	0
116	8.71445	0.128036	0
117	8.69374	0.128188	0
118	8.70246	0.128124	0
119	8.73793	0.127864	0
120	8.75675	0.127726	0
121	8.76764	0.127647	0
122	8.76336	0.127678	0
123	8.76045	0.127699	0
124	8.80497	0.127376	0
125	8.81172	0.127327	0
126	8.79316	0.127461	0
127	8.79681	0.127435	0
128	8.79251	0.127466	0
129	8.80005	0.127411	0
130	8.79428	0.127453	0
131	8.77883	0.127565	0
132	8.79811	0.127425	0
133	8.85686	0.127002	0
134	8.84403	0.127094	0
135	8.83977	0.127125	0
136	8.81759	0.127285	0
137	8.82575	0.127226	0
138	8.80153	0.127401	0
139	8.76338	0.127678	0
140	8.69256	0.128197	0
141	8.68106	0.128282	0
142	8.70006	0.128141	0
143	8.71278	0.128048	0
144	8.70616	0.128097	0
145	8.72446	0.127962	0
146	8.69861	0.128152	0
147	8.69503	0.128179	0
148	8.69675	0.128166	0
149	8.64815	0.128526	0
150	8.61812	0.128749	0
151	8.61642	0.128762	0
152	8.60088	0.128878	0
153	8.60899	0.128817	0
154	8.61256	0.128791	0
155	8.59948	0.128889	0
156	8.59869	0.128895	0
157	8.58303	0.129012	0
158	8.56889	0.129119	0
159	8.54836	0.129274	0
160	8.54547	0.129295	0
161	8.53126	0.129403	0
162	8.53635	0.129364	0
163	8.54133	0.129327	0
164	8.58392	0.129006	0
165	8.57463	0.129075	0
166	8.57222	0.129093	0
167	8.58223	0.129018	0
168	8.59143	0.128949	0
169	8.60421	0.128853	0
170	8.59809	0.128899	0
171	8.56799	0.129125	0
172	8.55542	0.12922	0
173	8.53053	0.129409	0
174	8.52315	0.129465	0
175	8.50466	0.129605	0
176	8.49868	0.129651	0
177	8.49428	0.129684	0
178	8.47717	0.129815	0
179	8.47667	0.129819	0
180	8.41971	0.130257	0
181	8.38464	0.13053	0
182	8.36796	0.13066	0
183	8.33882	0.130888	0
184	8.32444	0.131001	0
185	8.32139	0.131025	0
186	8.3332	0.130932	0
187	8.40687	0.130357	0
188	8.42458	0.13022	0
189	8.43722	0.130122	0
190	8.44781	0.130041	0
191	8.4625	0.129928	0
192	8.45532	0.129983	0
193	8.4634	0.129921	0
194	8.45404	0.129993	0
195	8.43481	0.130141	0
196	8.41253	0.130313	0
197	8.407	0.130356	0
198	8.98832	0.12607	0
199	8.99511	0.126022	0
200	8.9867	0.126081	0
201	8.99028	0.126056	0
202	9.00367	0.125962	0
203	8.99387	0.126031	0
204	8.9843	0.126098	0
205	8.40434	0.130376	0
206	8.38715	0.13051	0
207	8.36995	0.130644	0
208	8.37701	0.130589	0
209	8.4163	0.130284	0
210	8.45166	0.130011	0
211	8.48006	0.129793	0
212	8.4847	0.129758	0
213	8.52782	0.129429	0
214	8.60371	0.128857	0
215	8.63208	0.128645	0
216	8.62833	0.128673	0
217	8.643	0.128564	0
218	8.64905	0.128519	0
219	8.66067	0.128433	0
220	8.66448	0.128404	0
221	8.63317	0.128637	0
222	8.61613	0.128764	0
223	8.60038	0.128882	0
224	8.60369	0.128857	0
225	8.60552	0.128843	0
226	8.59492	0.128923	0
227	8.57646	0.129062	0
228	8.56645	0.129137	0
229	8.55603	0.129216	0
230	8.55413	0.12923	0
231	8.57211	0.129094	0
232	8.61076	0.128804	0
233	8.64143	0.128575	0
234	8.65387	0.128483	0
235	8.71246	0.12805	0
236	8.71459	0.128035	0
237	8.7058	0.128099	0
238	8.68307	0.128267	0
239	8.61761	0.128753	0
240	8.56219	0.129169	0
241	8.44683	0.130048	0
242	8.32548	0.130992	0
243	8.28357	0.131323	0
244	8.31441	0.13108	0
245	8.34403	0.130847	0
246	8.52723	0.129434	0
247	8.64977	0.128513	0
248	8.85365	0.127025	0
249	8.97671	0.126151	0
250	9.04025	0.125707	0
251	8.92504	0.126516	0
252	9.19181	0.124667	0
253	9.13924	0.125025	0
254	9.12361	0.125132	0
255	9.09236	0.125347	0
256	9.10698	0.125246	0
257	9.15224	0.124936	0
258	9.32081	0.123801	0
259	9.16642	0.124839	0
260	9.19274	0.12466	0
261	9.19168	0.124668	0
