Input	../Output/Countries/MKD.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	55
beta0	3.79601	error	0.0523578
beta1	-0.0157419	error	0.00169145

X	Y	Error	Weight
0	3.40595	0.204801	1
1	3.54302	0.2008	1
2	3.74446	0.195324	1
3	3.70657	0.19632	1
4	3.6525	0.197768	1
5	3.62623	0.198483	1
6	3.6853	0.196886	1
7	3.69245	0.196695	1
8	3.6781	0.197079	1
9	3.66356	0.197469	1
10	3.70305	0.196413	1
11	3.78743	0.194213	1
12	3.93183	0.190614	1
13	4.08957	0.186901	1
14	4.06044	0.18757	1
15	4.07024	0.187345	1
16	3.99163	0.18918	1
17	3.97029	0.189688	1
18	3.83175	0.193087	1
19	3.70657	0.19632	1
20	3.44317	0.203691	1
21	3.39642	0.205088	1
22	3.3373	0.206897	1
23	3.24146	0.209933	1
24	3.21314	0.210856	1
25	3.30112	0.208027	1
26	3.26358	0.20922	1
27	3.16002	0.212621	1
28	3.17805	0.212017	1
29	2.98856	0.218635	1
30	2.8824	0.222625	1
31	2.83321	0.224549	1
32	2.70805	0.22968	1
33	2.62879	0.233116	1
34	2.72694	0.228883	1
35	2.57589	0.235498	1
36	2.80765	0.225569	1
37	2.92927	0.220837	1
38	3.03769	0.21686	1
39	3.05131	0.216375	1
40	3.09752	0.214755	1
41	3.07135	0.215668	1
42	3.09104	0.21498	1
43	2.99573	0.218373	1
44	3.06474	0.215901	1
45	3.08452	0.215207	1
46	3.16002	0.212621	1
47	3.15397	0.212825	1
48	3.21888	0.210668	1
49	3.25258	0.209574	1
50	3.24146	0.209933	1
51	3.27982	0.208702	1
52	3.2581	0.209396	1
53	3.21888	0.210668	1
54	3.25258	0.209574	1
55	3.24146	0.209933	1
56	3.39162	0.205233	0
57	3.46126	0.203158	0
58	3.56753	0.200109	0
59	3.80984	0.193641	0
60	3.98633	0.189306	0
61	4.16998	0.18509	0
62	4.33449	0.181544	0
63	4.54785	0.177234	0
64	4.6755	0.174798	0
65	4.73745	0.173652	0
66	4.78391	0.172806	0
67	4.79697	0.172571	0
68	4.82488	0.172071	0
69	4.88605	0.170991	0
70	4.86863	0.171296	0
71	4.94164	0.170026	0
72	4.99335	0.169143	0
73	4.96683	0.169594	0
74	5.02012	0.168692	0
75	5.07339	0.167804	0
76	5.08052	0.167686	0
77	5.07428	0.167789	0
78	5.0662	0.167923	0
79	5.00968	0.168867	0
80	5.00011	0.169029	0
81	4.97377	0.169476	0
82	4.92414	0.170328	0
83	4.89035	0.170915	0
84	4.89784	0.170785	0
85	4.85759	0.171491	0
86	4.9355	0.170132	0
87	4.97476	0.169459	0
88	4.98459	0.169292	0
89	4.97081	0.169526	0
90	4.99141	0.169176	0
91	4.99043	0.169193	0
92	4.98751	0.169242	0
93	4.92725	0.170274	0
94	4.87301	0.171219	0
95	4.86753	0.171315	0
96	4.91265	0.170527	0
97	4.90739	0.170618	0
98	4.9518	0.169852	0
99	5.00395	0.168964	0
100	5.02482	0.168613	0
101	5.03231	0.168487	0
102	5.04619	0.168255	0
103	5.07874	0.167715	0
104	5.01159	0.168835	0
105	4.97081	0.169526	0
106	5.01159	0.168835	0
107	5.00299	0.16898	0
108	5.01254	0.168819	0
109	5.03881	0.168379	0
110	4.9787	0.169392	0
111	5.00682	0.168916	0
112	4.97279	0.169493	0
113	4.86533	0.171354	0
114	4.8925	0.170878	0
115	4.92518	0.17031	0
116	4.85981	0.171451	0
117	4.91685	0.170454	0
118	4.90845	0.1706	0
119	4.91789	0.170436	0
120	4.91789	0.170436	0
121	4.92932	0.170238	0
122	4.87301	0.171219	0
123	4.84193	0.171768	0
124	4.72105	0.173953	0
125	4.71594	0.174047	0
126	4.7387	0.173629	0
127	4.81451	0.172256	0
128	4.71978	0.173976	0
129	4.75605	0.173312	0
130	4.83515	0.171888	0
131	4.88712	0.170972	0
132	4.91894	0.170418	0
133	4.92207	0.170364	0
134	4.85538	0.17153	0
135	4.85648	0.17151	0
136	4.85426	0.171549	0
137	4.84193	0.171768	0
138	4.80986	0.17234	0
139	4.78391	0.172806	0
140	4.72992	0.17379	0
141	4.74493	0.173515	0
142	4.80636	0.172402	0
143	4.77912	0.172893	0
144	4.77431	0.17298	0
145	4.78511	0.172785	0
146	4.75112	0.173402	0
147	4.80519	0.172423	0
148	4.78152	0.172849	0
149	4.65396	0.175202	0
150	4.55838	0.177029	0
151	4.54025	0.177383	0
152	4.58497	0.176516	0
153	4.68478	0.174625	0
154	4.61653	0.175911	0
155	4.61228	0.175992	0
156	4.6874	0.174576	0
157	4.72105	0.173953	0
158	4.70178	0.174309	0
159	4.59512	0.17632	0
160	4.53414	0.177502	0
161	4.58204	0.176572	0
162	4.59944	0.176237	0
163	4.6066	0.176101	0
164	4.60517	0.176128	0
165	4.60374	0.176155	0
166	4.73243	0.173744	0
167	4.81102	0.172319	0
168	4.81335	0.172277	0
169	4.81451	0.172256	0
170	4.90421	0.170674	0
171	4.91371	0.170509	0
172	4.90209	0.170711	0
173	4.92207	0.170364	0
174	4.88497	0.171009	0
175	4.88497	0.171009	0
176	4.88497	0.171009	0
177	4.84979	0.171628	0
178	4.84979	0.171628	0
179	4.87738	0.171142	0
180	4.88712	0.170972	0
181	4.89784	0.170785	0
182	4.98165	0.169342	0
183	5.07428	0.167789	0
184	5.11113	0.167183	0
185	5.14334	0.166659	0
186	5.23187	0.165243	0
187	5.32371	0.163811	0
188	5.45593	0.161814	0
189	5.54963	0.160442	0
190	5.63121	0.159276	0
191	5.72592	0.157953	0
192	5.76832	0.157372	0
193	5.70235	0.158279	0
194	5.7607	0.157476	0
195	5.83439	0.156478	0
196	5.85548	0.156196	0
197	5.93489	0.155147	0
198	5.95176	0.154927	0
199	5.9458	0.155005	0
200	6.06146	0.153519	0
201	6.125	0.152721	0
202	6.15668	0.152327	0
203	6.1809	0.152028	0
204	6.12281	0.152748	0
205	6.16362	0.152242	0
206	6.18885	0.151931	0
207	6.25135	0.151169	0
208	6.31277	0.150432	0
209	6.36917	0.149765	0
210	6.46526	0.148648	0
211	6.60626	0.147053	0
212	6.66331	0.146422	0
213	6.71936	0.14581	0
214	6.76701	0.145296	0
215	6.81814	0.14475	0
216	6.88082	0.144089	0
217	6.90932	0.143791	0
218	6.93731	0.143501	0
219	6.953	0.143339	0
220	6.9467	0.143404	0
221	6.95163	0.143353	0
222	6.96912	0.143173	0
223	6.9718	0.143146	0
224	6.96319	0.143234	0
225	6.94698	0.143401	0
226	6.94835	0.143387	0
227	6.95804	0.143287	0
