Input	../Output/Countries/MLI.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	79
beta0	3.98014	error	0.046907
beta1	-0.0322091	error	0.00119787

X	Y	Error	Weight
0	3.56349	0.200223	1
1	3.60316	0.199117	1
2	3.51366	0.201637	1
3	3.51366	0.201637	1
4	3.59926	0.199225	1
5	3.66722	0.197371	1
6	3.6525	0.197768	1
7	3.64134	0.198071	1
8	3.61092	0.198903	1
9	3.66356	0.197469	1
10	3.64508	0.197969	1
11	3.50083	0.202007	1
12	3.51366	0.201637	1
13	3.69245	0.196695	1
14	3.61862	0.198692	1
15	3.64134	0.198071	1
16	3.58748	0.199552	1
17	3.6745	0.197175	1
18	3.80029	0.193884	1
19	3.75453	0.195062	1
20	3.46126	0.203158	1
21	3.26904	0.209046	1
22	3.19577	0.211428	1
23	3.11036	0.214312	1
24	2.87435	0.222936	1
25	2.66924	0.231343	1
26	2.58671	0.235005	1
27	2.79905	0.225915	1
28	2.94444	0.220267	1
29	2.97405	0.219168	1
30	3.27446	0.208872	1
31	3.42005	0.204378	1
32	3.41069	0.204659	1
33	3.3673	0.205973	1
34	3.3373	0.206897	1
35	3.45224	0.203423	1
36	3.47019	0.202896	1
37	3.27446	0.208872	1
38	3.26358	0.20922	1
39	3.11667	0.214095	1
40	3.17208	0.212216	1
41	3.10396	0.214532	1
42	2.75455	0.227733	1
43	2.83321	0.224549	1
44	2.6888	0.2305	1
45	2.4485	0.241547	1
46	2.4485	0.241547	1
47	2.37155	0.245434	1
48	2.37155	0.245434	1
49	2.30259	0.249082	1
50	2.19722	0.254984	1
51	2.24379	0.252325	1
52	2.21299	0.254075	1
53	2.19722	0.254984	1
54	2.04304	0.264431	1
55	2.16493	0.256879	1
56	2.04304	0.264431	1
57	1.63764	0.295354	1
58	1.48817	0.30983	1
59	1.60944	0.29793	1
60	1.69175	0.290591	1
61	1.81531	0.280527	1
62	1.34989	0.325313	1
63	1.38629	0.321013	1
64	1.51973	0.306597	1
65	1.51973	0.306597	1
66	1.48817	0.30983	1
67	1.45535	0.313305	1
68	1.18967	0.346527	1
69	1.27285	0.335014	1
70	1.45535	0.313305	1
71	1.31211	0.329964	1
72	1.45535	0.313305	1
73	1.31211	0.329964	1
74	1.45535	0.313305	1
75	1.58042	0.300652	1
76	1.63764	0.295354	1
77	1.86082	0.277076	1
78	1.63764	0.295354	1
79	1.94591	0.27095	1
80	2.34459	0.246841	0
81	2.25874	0.251488	0
82	2.5427	0.23703	0
83	2.49675	0.239201	0
84	2.30259	0.249082	0
85	2.56495	0.236	0
86	2.49675	0.239201	0
87	2.22851	0.253188	0
88	2.27357	0.250667	0
89	1.9042	0.273902	0
90	1.96613	0.269553	0
91	2.19722	0.254984	0
92	1.92527	0.272399	0
93	2.11457	0.25992	0
94	2.27357	0.250667	0
95	2.27357	0.250667	0
96	2.21299	0.254075	0
97	2.49675	0.239201	0
98	2.3979	0.244082	0
99	2.41081	0.243427	0
100	2.38481	0.244751	0
101	2.28818	0.249865	0
102	2.59742	0.23452	0
103	2.70805	0.22968	0
104	2.61842	0.233578	0
105	2.67903	0.23092	0
106	2.63906	0.232663	0
107	2.47292	0.240351	0
108	2.46079	0.240943	0
109	2.22851	0.253188	0
110	2.11457	0.25992	0
111	2.27357	0.250667	0
112	2.09716	0.260997	0
113	2.42356	0.242786	0
114	2.55389	0.23651	0
115	2.5427	0.23703	0
116	2.5427	0.23703	0
117	2.55389	0.23651	0
118	2.27357	0.250667	0
119	2.37155	0.245434	0
120	2.34459	0.246841	0
121	2.35811	0.246132	0
122	2.34459	0.246841	0
123	2.24379	0.252325	0
124	2.31678	0.248318	0
125	2.48491	0.239771	0
126	2.55389	0.23651	0
127	2.57589	0.235498	0
128	2.55389	0.23651	0
129	2.63906	0.232663	0
130	2.64922	0.232216	0
131	2.59742	0.23452	0
132	2.57589	0.235498	0
133	2.69847	0.230087	0
134	2.57589	0.235498	0
135	2.6888	0.2305	0
136	2.67903	0.23092	0
137	2.72694	0.228883	0
138	2.67903	0.23092	0
139	3.00993	0.217858	0
140	2.94444	0.220267	0
141	2.9216	0.221126	0
142	2.71754	0.229278	0
143	2.67903	0.23092	0
144	2.76361	0.227359	0
145	2.79031	0.226269	0
146	2.38481	0.244751	0
147	2.33078	0.247571	0
148	2.24379	0.252325	0
149	2.58671	0.235005	0
150	2.67903	0.23092	0
151	2.57589	0.235498	0
152	2.69847	0.230087	0
153	2.67903	0.23092	0
154	2.62879	0.233116	0
155	2.66924	0.231343	0
156	2.46079	0.240943	0
157	2.37155	0.245434	0
158	2.35811	0.246132	0
159	2.28818	0.249865	0
160	2.42356	0.242786	0
161	2.61842	0.233578	0
162	2.77259	0.226991	0
163	2.85813	0.223568	0
164	3.00286	0.218114	0
165	2.98856	0.218635	0
166	3.13549	0.213451	0
167	3.02388	0.217354	0
168	3.12298	0.213878	0
169	3.05805	0.216137	0
170	3.3116	0.207698	0
171	3.32194	0.207374	0
172	3.51791	0.201515	0
173	3.51366	0.201637	0
174	3.68888	0.19679	0
175	3.7612	0.194889	0
176	3.94849	0.190211	0
177	3.87714	0.191953	0
178	3.9262	0.19075	0
179	3.98898	0.189243	0
180	4.13403	0.185893	0
181	4.11322	0.186363	0
182	4.07511	0.187233	0
183	4.04054	0.188032	0
184	4.16998	0.18509	0
185	4.12483	0.186101	0
186	4.00473	0.188871	0
187	3.89764	0.191448	0
188	3.98367	0.189369	0
189	3.98101	0.189432	0
190	3.97029	0.189688	0
191	4.05302	0.187742	0
192	4.15665	0.185387	0
193	4.41712	0.179838	0
