Input	../Output/Countries/MLT.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	118
beta0	3.32279	error	0.035638
beta1	0.0148624	error	0.000495859

X	Y	Error	Weight
0	3.4878	0.202383	1
1	3.52636	0.201274	1
2	3.57954	0.199773	1
3	3.63003	0.198379	1
4	3.75453	0.195062	1
5	3.69245	0.196695	1
6	3.80029	0.193884	1
7	3.43399	0.203963	1
8	3.62623	0.198483	1
9	3.696	0.196601	1
10	3.68888	0.19679	1
11	3.63382	0.198276	1
12	3.6525	0.197768	1
13	3.4878	0.202383	1
14	3.77767	0.194464	1
15	3.73084	0.195681	1
16	3.696	0.196601	1
17	3.69245	0.196695	1
18	3.6817	0.196982	1
19	3.66722	0.197371	1
20	3.6525	0.197768	1
21	3.57554	0.199885	1
22	3.42936	0.204101	1
23	3.37222	0.205823	1
24	3.24704	0.209753	1
25	3.23025	0.210297	1
26	3.15397	0.212825	1
27	3.17208	0.212216	1
28	3.23025	0.210297	1
29	3.31676	0.207536	1
30	3.30112	0.208027	1
31	3.49651	0.202131	1
32	3.53056	0.201154	1
33	3.62623	0.198483	1
34	3.61477	0.198797	1
35	3.80029	0.193884	1
36	3.85015	0.192625	1
37	3.9262	0.19075	1
38	4.04054	0.188032	1
39	4.0228	0.188446	1
40	4.01252	0.188687	1
41	4.10617	0.186523	1
42	3.99163	0.18918	1
43	3.97029	0.189688	1
44	3.9402	0.190411	1
45	3.74446	0.195324	1
46	3.76783	0.194718	1
47	3.74107	0.195413	1
48	3.61092	0.198903	1
49	3.56753	0.200109	1
50	3.49216	0.202257	1
51	3.45224	0.203423	1
52	3.36235	0.206124	1
53	3.3373	0.206897	1
54	3.4012	0.204944	1
55	3.55943	0.200337	1
56	3.7274	0.195771	1
57	3.82553	0.193244	1
58	3.8801	0.19188	1
59	4.00473	0.188871	1
60	4.07268	0.187288	1
61	4.1454	0.185638	1
62	4.22161	0.183955	1
63	4.28063	0.182683	1
64	4.30213	0.182226	1
65	4.38737	0.180447	1
66	4.46096	0.178952	1
67	4.5372	0.177442	1
68	4.6066	0.176101	1
69	4.74493	0.173515	1
70	4.80167	0.172486	1
71	4.84867	0.171648	1
72	4.89357	0.170859	1
73	4.9396	0.170061	1
74	4.93857	0.170079	1
75	4.93756	0.170096	1
76	4.84193	0.171768	1
77	4.82259	0.172112	1
78	4.78868	0.17272	1
79	4.75605	0.173312	1
80	4.6526	0.175228	1
81	4.64576	0.175357	1
82	4.58204	0.176572	1
83	4.55987	0.177001	1
84	4.58204	0.176572	1
85	4.76583	0.173134	1
86	4.76462	0.173156	1
87	4.77551	0.172958	1
88	4.85426	0.171549	1
89	4.9116	0.170545	1
90	4.95884	0.169731	1
91	4.91998	0.1704	1
92	4.79106	0.172677	1
93	4.84531	0.171708	1
94	4.90739	0.170618	1
95	4.83628	0.171868	1
96	4.85981	0.171451	1
97	4.83174	0.171949	1
98	4.84867	0.171648	1
99	4.84979	0.171628	1
100	4.8005	0.172507	1
101	4.83742	0.171848	1
102	4.87192	0.171238	1
103	4.83968	0.171808	1
104	4.86203	0.171412	1
105	4.84531	0.171708	1
106	4.81913	0.172174	1
107	4.84531	0.171708	1
108	4.77912	0.172893	1
109	4.79342	0.172635	1
110	4.7634	0.173178	1
111	4.72232	0.173929	1
112	4.77311	0.173002	1
113	4.82143	0.172132	1
114	4.78511	0.172785	1
115	4.79697	0.172571	1
116	4.72865	0.173813	1
117	4.76217	0.1732	1
118	4.75605	0.173312	1
119	4.69788	0.174381	0
120	4.72105	0.173953	0
