Input	../Output/Countries/MMR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	39
beta0	3.97359	error	0.0544936
beta1	0.0856511	error	0.0022407

X	Y	Error	Weight
0	3.78419	0.194296	1
1	3.83792	0.192931	1
2	4.06536	0.187457	1
3	4.08237	0.187066	1
4	4.08237	0.187066	1
5	4.28653	0.182557	1
6	4.32319	0.181781	1
7	4.39973	0.180193	1
8	4.52179	0.177744	1
9	4.50929	0.177991	1
10	4.84306	0.171748	1
11	4.97575	0.169442	1
12	5.00011	0.169029	1
13	5.18579	0.165975	1
14	5.35186	0.16338	1
15	5.42935	0.16221	1
16	5.47885	0.161475	1
17	5.56562	0.160212	1
18	5.59577	0.159779	1
19	5.72685	0.15794	1
20	5.74985	0.157624	1
21	5.86485	0.156071	1
22	5.98789	0.154459	1
23	6.14847	0.152429	1
24	6.16271	0.152253	1
25	6.33125	0.150213	1
26	6.40073	0.149395	1
27	6.46392	0.148663	1
28	6.51535	0.148075	1
29	6.55698	0.147604	1
30	6.60278	0.147091	1
31	6.66039	0.146454	1
32	6.67492	0.146294	1
33	6.73136	0.14568	1
34	6.82017	0.144728	1
35	6.83549	0.144566	1
36	6.91629	0.143719	1
37	6.92896	0.143588	1
38	6.99104	0.142949	1
39	7.04876	0.142362	1
40	7.04901	0.14236	0
41	7.08781	0.141969	0
42	7.21954	0.140668	0
43	7.28227	0.140061	0
44	7.31636	0.139734	0
45	7.30404	0.139852	0
46	7.25357	0.140338	0
47	7.25499	0.140324	0
48	7.22173	0.140647	0
49	7.13785	0.141471	0
50	7.04764	0.142373	0
51	7.02757	0.142577	0
52	7.04938	0.142356	0
53	7.08662	0.141981	0
54	7.12021	0.141646	0
55	7.14531	0.141397	0
56	7.14936	0.141357	0
57	7.13078	0.141541	0
58	7.15851	0.141267	0
59	7.17713	0.141083	0
60	7.2	0.140859	0
61	7.20202	0.140839	0
62	7.17352	0.141119	0
63	7.14992	0.141352	0
64	7.11721	0.141676	0
65	7.09091	0.141938	0
66	7.05839	0.142265	0
67	7.02465	0.142606	0
68	6.98101	0.143051	0
69	7.01353	0.142719	0
70	6.9955	0.142903	0
71	7.03778	0.142473	0
72	6.95899	0.143277	0
73	6.96831	0.143182	0
74	6.97848	0.143077	0
75	6.99825	0.142875	0
76	6.971	0.143154	0
77	6.99825	0.142875	0
78	6.99223	0.142937	0
79	7.06427	0.142206	0
80	7.10062	0.141841	0
81	7.14441	0.141406	0
82	7.19014	0.140956	0
83	7.23191	0.140548	0
84	7.248	0.140392	0
85	7.28932	0.139993	0
86	7.29825	0.139908	0
87	7.31379	0.139759	0
88	7.28854	0.140001	0
89	7.29622	0.139927	0
90	7.28609	0.140024	0
91	7.27725	0.140109	0
92	7.28815	0.140005	0
93	7.28502	0.140035	0
94	7.25972	0.140278	0
95	7.26783	0.1402	0
96	7.24555	0.140416	0
97	7.25307	0.140343	0
98	7.27141	0.140166	0
99	7.23077	0.140559	0
100	7.23583	0.14051	0
