Input	../Output/Countries/MNE.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	12
beta0	3.69265	error	0.102965
beta1	0.0379453	error	0.0143825

X	Y	Error	Weight
0	3.46574	0.203027	1
1	3.57954	0.199773	1
2	3.75787	0.194976	1
3	3.88303	0.191808	1
4	3.93742	0.190478	1
5	4.00473	0.188871	1
6	4.05302	0.187742	1
7	3.92902	0.190682	1
8	4.14992	0.185537	1
9	4.14086	0.18574	1
10	4.1544	0.185437	1
11	3.99427	0.189118	1
12	3.84404	0.192778	1
13	3.64508	0.197969	0
14	4.90633	0.170637	0
15	4.86533	0.171354	0
16	4.92829	0.170256	0
17	4.85759	0.171491	0
18	5.05169	0.168164	0
19	5.13159	0.16685	0
20	5.21027	0.165585	0
21	4.60517	0.176128	0
22	4.56881	0.176827	0
23	4.46919	0.178787	0
24	4.61228	0.175992	0
25	4.39621	0.180265	0
26	4.35304	0.181157	0
27	4.15665	0.185387	0
28	4.06536	0.187457	0
29	4.16556	0.185189	0
30	4.18313	0.184799	0
31	4.06536	0.187457	0
32	4.07511	0.187233	0
33	4.03298	0.188208	0
34	4.19398	0.18456	0
35	4.21951	0.184001	0
36	4.02023	0.188506	0
37	3.9402	0.190411	0
38	4.03298	0.188208	0
39	4.01252	0.188687	0
40	4.05055	0.187799	0
41	3.98633	0.189306	0
42	3.9969	0.189056	0
43	3.97299	0.189624	0
44	4.08717	0.186956	0
45	4.01766	0.188566	0
46	4.00473	0.188871	0
47	3.94296	0.190344	0
48	3.97299	0.189624	0
49	3.90341	0.191306	0
50	3.92057	0.190887	0
51	3.78419	0.194296	0
52	3.73426	0.195591	0
53	3.79708	0.193966	0
54	3.83792	0.192931	0
55	3.85015	0.192625	0
56	4.00993	0.188748	0
57	4.07996	0.187121	0
58	4.15665	0.185387	0
59	4.17878	0.184896	0
60	4.21318	0.184139	0
61	4.30792	0.182103	0
62	4.46262	0.178919	0
63	4.47083	0.178755	0
64	4.598	0.176265	0
65	4.69135	0.174503	0
66	4.76826	0.17309	0
67	4.91894	0.170418	0
68	5.03416	0.168456	0
69	5.01728	0.16874	0
70	5.0662	0.167923	0
71	5.0644	0.167953	0
72	5.1094	0.167211	0
73	5.17776	0.166104	0
74	5.13243	0.166836	0
75	5.14166	0.166686	0
76	5.20949	0.165597	0
77	5.24401	0.165051	0
78	5.2752	0.164563	0
79	5.6037	0.159666	0
80	5.62556	0.159356	0
81	5.69277	0.158412	0
82	5.72125	0.158018	0
83	5.75665	0.157531	0
84	5.77322	0.157305	0
85	5.79432	0.157018	0
86	5.49306	0.161266	0
87	5.43123	0.162182	0
88	5.3244	0.163801	0
89	5.25749	0.16484	0
90	5.20086	0.165735	0
91	5.50881	0.161036	0
92	5.51401	0.16096	0
93	5.55738	0.16033	0
94	5.61313	0.159532	0
95	5.65948	0.158878	0
96	5.66593	0.158787	0
97	5.66346	0.158822	0
98	5.46746	0.161644	0
99	5.49658	0.161215	0
100	5.51688	0.160918	0
101	5.48716	0.161353	0
102	5.48301	0.161414	0
103	5.47287	0.161564	0
104	5.47347	0.161555	0
105	5.62092	0.159422	0
106	5.54182	0.160555	0
107	5.51917	0.160884	0
108	5.49834	0.161189	0
109	5.44674	0.161951	0
110	5.43684	0.162098	0
111	5.42369	0.162294	0
112	5.10595	0.167268	0
113	5.14583	0.166619	0
114	5.12905	0.166891	0
115	5.10074	0.167353	0
116	5.14334	0.166659	0
117	5.24175	0.165087	0
118	5.35861	0.163277	0
119	5.45043	0.161896	0
120	5.49951	0.161172	0
121	5.61261	0.15954	0
122	5.79519	0.157006	0
123	6.02172	0.154025	0
124	6.20282	0.15176	0
125	6.29342	0.150663	0
126	6.35138	0.149974	0
127	6.35759	0.149901	0
128	6.37064	0.149748	0
129	6.44299	0.148904	0
130	6.39144	0.149504	0
131	6.35163	0.149971	0
132	6.34212	0.150084	0
133	6.35561	0.149924	0
134	6.42209	0.149146	0
135	6.43706	0.148973	0
136	6.38856	0.149537	0
137	6.40594	0.149334	0
138	6.3888	0.149534	0
139	6.365	0.149814	0
140	6.34061	0.150102	0
141	6.33986	0.150111	0
142	6.31897	0.150358	0
143	6.30862	0.150482	0
144	6.29579	0.150635	0
145	6.29077	0.150695	0
146	6.28066	0.150816	0
147	6.28547	0.150759	0
148	6.29711	0.150619	0
149	6.30183	0.150563	0
150	6.25575	0.151116	0
151	6.25958	0.15107	0
152	6.22682	0.151467	0
153	6.24721	0.15122	0
154	6.25135	0.151169	0
155	6.19295	0.151881	0
156	6.17527	0.152098	0
157	6.15486	0.15235	0
