Input	../Output/Countries/MWI.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	19
beta0	3.33903	error	0.0904399
beta1	-0.0436937	error	0.00837275

X	Y	Error	Weight
0	3.51366	0.201637	1
1	3.60316	0.199117	1
2	3.64508	0.197969	1
3	3.30112	0.208027	1
4	2.96677	0.219437	1
5	2.9216	0.221126	1
6	3.09104	0.21498	1
7	2.72694	0.228883	1
8	2.62879	0.233116	1
9	2.50846	0.238642	1
10	2.53139	0.237559	1
11	2.33078	0.247571	1
12	2.84159	0.224218	1
13	2.74541	0.228112	1
14	2.77259	0.226991	1
15	2.74541	0.228112	1
16	2.81625	0.225225	1
17	2.76361	0.227359	1
18	2.98856	0.218635	1
19	2.56495	0.236	1
20	3.26358	0.20922	0
21	3.32194	0.207374	0
22	3.53056	0.201154	0
23	3.96488	0.189817	0
24	3.96217	0.189882	0
25	4.00733	0.188809	0
26	4.08957	0.186901	0
27	4.08478	0.187011	0
28	4.05302	0.187742	0
29	4.09673	0.186738	0
30	3.83484	0.193009	0
31	3.9995	0.188994	0
32	4.2546	0.18324	0
33	4.40846	0.180014	0
34	4.20041	0.184419	0
35	4.43422	0.179491	0
36	4.44097	0.179354	0
37	4.44935	0.179186	0
38	4.45102	0.179152	0
39	4.40147	0.180157	0
40	4.52798	0.177623	0
41	4.6755	0.174798	0
42	4.58788	0.176459	0
43	4.57471	0.176713	0
44	4.67416	0.174823	0
45	4.70048	0.174333	0
46	4.65532	0.175177	0
47	4.36219	0.180967	0
48	4.35119	0.181195	0
49	4.3856	0.180483	0
50	4.36037	0.181004	0
51	4.58788	0.176459	0
52	4.43422	0.179491	0
53	4.52798	0.177623	0
54	4.52023	0.177775	0
55	4.65123	0.175254	0
56	4.56435	0.176914	0
57	4.55237	0.177146	0
58	4.13174	0.185945	0
59	4.37486	0.180704	0
60	4.49184	0.178336	0
61	4.65123	0.175254	0
62	4.43591	0.179457	0
63	4.46426	0.178886	0
64	4.53414	0.177502	0
65	4.58788	0.176459	0
66	4.50457	0.178084	0
67	4.26268	0.183067	0
68	4.1363	0.185842	0
69	4.11087	0.186416	0
70	4.05055	0.187799	0
71	3.92057	0.190887	0
72	3.84098	0.192855	0
73	4.09673	0.186738	0
74	4.07754	0.187177	0
75	4.05055	0.187799	0
76	4.07996	0.187121	0
77	4.16556	0.185189	0
78	4.2258	0.183864	0
79	4.2444	0.183461	0
80	3.96759	0.189753	0
81	3.86523	0.192249	0
82	3.92902	0.190682	0
83	3.8889	0.191663	0
84	3.73767	0.195502	0
85	3.49216	0.202257	0
86	3.50942	0.201759	0
87	3.42005	0.204378	0
88	3.35738	0.206277	0
89	3.03769	0.21686	0
90	2.85813	0.223568	0
91	3.04452	0.216616	0
92	3.08452	0.215207	0
93	2.70805	0.22968	0
94	2.62879	0.233116	0
95	2.49675	0.239201	0
96	2.47292	0.240351	0
97	2.41081	0.243427	0
98	2.06141	0.263251	0
99	2.04304	0.264431	0
100	2.35811	0.246132	0
101	2.18121	0.255919	0
102	2.16493	0.256879	0
103	2.25874	0.251488	0
104	2.38481	0.244751	0
105	2.38481	0.244751	0
106	2.31678	0.248318	0
107	1.98595	0.268205	0
108	2.07944	0.262106	0
109	1.9042	0.273902	0
110	1.74292	0.286294	0
111	1.76764	0.284285	0
112	1.63764	0.295354	0
113	1.69175	0.290591	0
114	1.79176	0.282365	0
115	1.63764	0.295354	0
116	1.92527	0.272399	0
117	1.92527	0.272399	0
118	1.66506	0.292911	0
119	1.66506	0.292911	0
120	1.55054	0.303536	0
121	1.34989	0.325313	0
122	1.51973	0.306597	0
123	0.998424	0.378263	0
124	0.88748	0.40121	0
125	0.944295	0.388953	0
126	1.23227	0.340485	0
127	1.23227	0.340485	0
128	1.45535	0.313305	0
129	1.45535	0.313305	0
130	1.45535	0.313305	0
131	1.69175	0.290591	0
132	1.60944	0.29793	0
133	1.45535	0.313305	0
134	1.48817	0.30983	0
135	1.31211	0.329964	0
136	1.34989	0.325313	0
137	1.42142	0.317022	0
138	1.48817	0.30983	0
139	1.63764	0.295354	0
140	1.63764	0.295354	0
141	1.58042	0.300652	0
142	1.60944	0.29793	0
143	1.69175	0.290591	0
144	1.81531	0.280527	0
145	1.60944	0.29793	0
146	1.55054	0.303536	0
147	1.58042	0.300652	0
148	1.63764	0.295354	0
149	1.74292	0.286294	0
150	1.79176	0.282365	0
151	1.69175	0.290591	0
152	1.81531	0.280527	0
153	1.79176	0.282365	0
154	1.71758	0.288399	0
155	1.66506	0.292911	0
156	1.45535	0.313305	0
157	1.23227	0.340485	0
158	0.998424	0.378263	0
159	0.944295	0.388953	0
160	0.998424	0.378263	0
161	1.04977	0.368896	0
162	0.998424	0.378263	0
163	1.09861	0.360603	0
164	0.944295	0.388953	0
165	1.04977	0.368896	0
166	0.826804	0.415671	0
167	0.693147	0.453982	0
168	0.944295	0.388953	0
169	0.944295	0.388953	0
170	1.83832	0.278766	0
171	1.83832	0.278766	0
172	1.76764	0.284285	0
173	1.71758	0.288399	0
174	1.69175	0.290591	0
175	1.69175	0.290591	0
176	1.88267	0.275464	0
177	0.998424	0.378263	0
178	0.944295	0.388953	0
179	1.09861	0.360603	0
180	1.14518	0.353195	0
181	1.14518	0.353195	0
182	0.998424	0.378263	0
183	0.451712	0.562367	0
184	1.14518	0.353195	0
185	1.18967	0.346527	0
186	1.18967	0.346527	0
187	1.23227	0.340485	0
188	1.31211	0.329964	0
189	1.18967	0.346527	0
