Input	../Output/Countries/MYS.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	33
beta0	4.66455	error	0.0589823
beta1	0.015661	error	0.00304214

X	Y	Error	Weight
0	3.85015	0.192625	1
1	4.16111	0.185288	1
2	4.35304	0.181157	1
3	4.51712	0.177836	1
4	4.6755	0.174798	1
5	4.77912	0.172893	1
6	4.90527	0.170655	1
7	4.83174	0.171949	1
8	4.91265	0.170527	1
9	4.9116	0.170545	1
10	4.96783	0.169577	1
11	5.08495	0.167613	1
12	5.08495	0.167613	1
13	5.09024	0.167526	1
14	5.11371	0.167141	1
15	5.0644	0.167953	1
16	5.09463	0.167454	1
17	5.068	0.167893	1
18	5.04343	0.168302	1
19	5.12056	0.167029	1
20	5.11285	0.167155	1
21	5.13748	0.166754	1
22	5.11628	0.167099	1
23	5.14166	0.166686	1
24	5.15329	0.166498	1
25	5.068	0.167893	1
26	4.97476	0.169459	1
27	5.00777	0.1689	1
28	4.98263	0.169325	1
29	4.98556	0.169275	1
30	4.98556	0.169275	1
31	4.91371	0.170509	1
32	4.91476	0.17049	1
33	4.86203	0.171412	1
34	4.70695	0.174213	0
35	4.6137	0.175965	0
36	4.46426	0.178886	0
37	4.25864	0.183154	0
38	4.18531	0.184751	0
39	4.09673	0.186738	0
40	4.14086	0.18574	0
41	4.13403	0.185893	0
42	4.0228	0.188446	0
43	4.03298	0.188208	0
44	3.96488	0.189817	0
45	4.07754	0.187177	0
46	4.04305	0.187973	0
47	3.99427	0.189118	0
48	4.12713	0.186049	0
49	4.30406	0.182185	0
50	4.33261	0.181583	0
51	4.33073	0.181623	0
52	4.23411	0.183683	0
53	4.19613	0.184513	0
54	4.19398	0.18456	0
55	4.07754	0.187177	0
56	3.93463	0.190546	0
57	3.97567	0.18956	0
58	3.93742	0.190478	0
59	3.91488	0.191026	0
60	3.91773	0.190956	0
61	3.8224	0.193323	0
62	3.69955	0.196506	0
63	3.52636	0.201274	0
64	3.42472	0.204239	0
65	3.51791	0.201515	0
66	3.49216	0.202257	0
67	3.53474	0.201035	0
68	3.696	0.196601	0
69	3.80029	0.193884	0
70	3.91488	0.191026	0
71	4.21951	0.184001	0
72	4.49345	0.178304	0
73	4.46755	0.17882	0
74	4.39973	0.180193	0
75	4.44265	0.17932	0
76	4.41194	0.179944	0
77	4.40672	0.18005	0
78	4.14086	0.18574	0
79	3.66356	0.197469	0
80	3.91488	0.191026	0
81	4.48058	0.17856	0
82	4.33449	0.181544	0
83	4.34751	0.181272	0
84	4.27468	0.18281	0
85	4.21108	0.184185	0
86	4.18313	0.184799	0
87	3.96217	0.189882	0
88	2.85813	0.223568	0
89	2.96677	0.219437	0
90	3.00993	0.217858	0
91	2.92927	0.220837	0
92	3.16002	0.212621	0
93	3.18399	0.211819	0
94	3.23025	0.210297	0
95	3.12926	0.213663	0
96	2.94444	0.220267	0
97	2.76361	0.227359	0
98	2.83321	0.224549	0
99	2.58671	0.235005	0
100	2.49675	0.239201	0
101	2.4485	0.241547	0
102	2.31678	0.248318	0
103	2.31678	0.248318	0
104	2.14838	0.257867	0
105	2.18121	0.255919	0
106	1.96613	0.269553	0
107	1.94591	0.27095	0
108	1.83832	0.278766	0
109	1.81531	0.280527	0
110	1.79176	0.282365	0
111	1.79176	0.282365	0
112	1.42142	0.317022	0
113	1.48817	0.30983	0
114	1.60944	0.29793	0
115	1.66506	0.292911	0
116	1.74292	0.286294	0
117	1.92527	0.272399	0
118	1.88267	0.275464	0
119	2.06141	0.263251	0
120	2.09716	0.260997	0
121	2.06141	0.263251	0
122	2.09716	0.260997	0
123	2.04304	0.264431	0
124	2.13168	0.258875	0
125	2.14838	0.257867	0
126	2.16493	0.256879	0
127	2.37155	0.245434	0
128	2.50846	0.238642	0
129	2.62879	0.233116	0
130	2.6888	0.2305	0
131	2.71754	0.229278	0
132	2.84159	0.224218	0
133	2.82477	0.224885	0
134	2.69847	0.230087	0
135	2.90614	0.221714	0
136	2.8824	0.222625	0
137	2.87435	0.222936	0
138	2.79905	0.225915	0
139	2.66924	0.231343	0
140	2.67903	0.23092	0
141	2.62879	0.233116	0
142	2.13168	0.258875	0
143	2.25874	0.251488	0
144	2.35811	0.246132	0
145	2.52003	0.238094	0
146	2.49675	0.239201	0
147	2.48491	0.239771	0
148	2.58671	0.235005	0
149	2.66924	0.231343	0
150	2.56495	0.236	0
151	2.56495	0.236	0
152	2.50846	0.238642	0
153	2.70805	0.22968	0
154	2.81625	0.225225	0
155	2.82477	0.224885	0
156	2.80765	0.225569	0
157	2.8499	0.223891	0
158	2.76361	0.227359	0
159	2.65928	0.231776	0
160	2.46079	0.240943	0
161	2.25874	0.251488	0
162	2.18121	0.255919	0
163	2.24379	0.252325	0
164	2.07944	0.262106	0
165	2.07944	0.262106	0
166	2.09716	0.260997	0
167	2.14838	0.257867	0
168	2.25874	0.251488	0
169	2.24379	0.252325	0
170	2.28818	0.249865	0
171	2.28818	0.249865	0
172	2.41081	0.243427	0
173	2.42356	0.242786	0
174	2.35811	0.246132	0
175	2.19722	0.254984	0
176	2.83321	0.224549	0
177	3.37711	0.205674	0
178	3.46126	0.203158	0
179	3.59143	0.199442	0
180	4.10617	0.186523	0
181	4.22161	0.183955	0
182	4.30406	0.182185	0
183	4.24235	0.183505	0
184	4.07024	0.187345	0
185	4.15888	0.185337	0
186	4.10382	0.186577	0
187	3.87418	0.192027	0
188	3.75453	0.195062	0
189	3.77113	0.194633	0
190	3.85319	0.192549	0
191	4.01766	0.188566	0
192	4.21529	0.184093	0
193	4.31558	0.181941	0
194	4.34566	0.181311	0
195	4.45435	0.179085	0
196	4.60517	0.176128	0
197	4.68478	0.174625	0
198	4.70953	0.174166	0
199	4.63195	0.175618	0
200	4.86533	0.171354	0
201	5.0425	0.168317	0
202	5.23872	0.165135	0
203	5.34165	0.163536	0
204	5.5379	0.160612	0
205	5.82431	0.156613	0
206	5.98033	0.154557	0
207	6.02102	0.154034	0
208	6.04399	0.153741	0
209	6.06312	0.153498	0
210	6.14847	0.152429	0
211	6.18768	0.151945	0
212	6.17854	0.152058	0
213	6.22795	0.151453	0
214	6.28653	0.150746	0
215	6.3571	0.149907	0
216	6.47279	0.148561	0
217	6.53897	0.147807	0
218	6.59948	0.147128	0
219	6.63801	0.146701	0
220	6.65139	0.146553	0
221	6.69792	0.146043	0
222	6.71209	0.145889	0
223	6.77259	0.145236	0
224	6.76471	0.14532	0
225	6.82468	0.14468	0
226	6.82048	0.144725	0
227	6.83118	0.144612	0
228	6.80017	0.144941	0
229	6.81423	0.144791	0
230	6.72074	0.145795	0
231	6.74355	0.145548	0
232	6.67276	0.146318	0
233	6.71157	0.145895	0
234	6.75093	0.145469	0
235	6.80936	0.144843	0
236	6.94972	0.143373	0
237	7.01712	0.142683	0
238	7.00358	0.142821	0
239	7.02134	0.14264	0
240	6.99747	0.142883	0
