Input	../Output/Countries/NAM.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	64
beta0	3.58085	error	0.0460177
beta1	0.0317173	error	0.00117603

X	Y	Error	Weight
0	3.4878	0.202383	1
1	3.53056	0.201154	1
2	3.4878	0.202383	1
3	3.72052	0.195952	1
4	3.86523	0.192249	1
5	3.78419	0.194296	1
6	3.82864	0.193165	1
7	3.81615	0.193481	1
8	3.73426	0.195591	1
9	3.97567	0.18956	1
10	3.98367	0.189369	1
11	3.83792	0.192931	1
12	3.95946	0.189947	1
13	4.08717	0.186956	1
14	4.07024	0.187345	1
15	4.33636	0.181505	1
16	4.18966	0.184655	1
17	4.23411	0.183683	1
18	4.27269	0.182852	1
19	4.1454	0.185638	1
20	4.2485	0.183372	1
21	4.34566	0.181311	1
22	4.23618	0.183639	1
23	4.32319	0.181781	1
24	4.2667	0.182981	1
25	4.36582	0.180891	1
26	4.424	0.179698	1
27	4.32696	0.181702	1
28	4.29046	0.182473	1
29	4.34008	0.181427	1
30	4.306	0.182144	1
31	4.38737	0.180447	1
32	4.36945	0.180816	1
33	4.37126	0.180779	1
34	4.45102	0.179152	1
35	4.56584	0.176885	1
36	4.41366	0.179908	1
37	4.53872	0.177413	1
38	4.598	0.176265	1
39	4.6861	0.1746	1
40	4.81797	0.172194	1
41	4.84756	0.171668	1
42	4.8828	0.171047	1
43	5.06169	0.167998	1
44	5.14833	0.166578	1
45	5.17937	0.166078	1
46	5.17292	0.166182	1
47	5.19216	0.165873	1
48	5.2752	0.164563	1
49	5.36798	0.163134	1
50	5.45104	0.161887	1
51	5.49247	0.161275	1
52	5.4842	0.161397	1
53	5.49012	0.16131	1
54	5.53056	0.160719	1
55	5.54963	0.160442	1
56	5.48004	0.161458	1
57	5.418	0.16238	1
58	5.37462	0.163034	1
59	5.38056	0.162944	1
60	5.38842	0.162825	1
61	5.30756	0.16406	1
62	5.27665	0.16454	1
63	5.31039	0.164017	1
64	5.29689	0.164226	1
65	5.23947	0.165123	0
66	5.19296	0.165861	0
67	5.17372	0.166169	0
68	5.19612	0.16581	0
69	5.12226	0.167001	0
70	5.0698	0.167863	0
71	5.04802	0.168225	0
72	4.99528	0.169111	0
73	4.96981	0.169543	0
74	4.93447	0.170149	0
75	4.80636	0.172402	0
76	4.76583	0.173134	0
77	4.70048	0.174333	0
78	4.58788	0.176459	0
79	4.54329	0.177323	0
80	4.61653	0.175911	0
81	4.6137	0.175965	0
82	4.60374	0.176155	0
83	4.54935	0.177205	0
84	4.49663	0.178241	0
85	4.49345	0.178304	0
86	4.54025	0.177383	0
87	4.44265	0.17932	0
88	4.33261	0.181583	0
89	4.45435	0.179085	0
90	4.50457	0.178084	0
91	4.52334	0.177714	0
92	4.5372	0.177442	0
93	4.43928	0.179389	0
94	4.33261	0.181583	0
95	4.33261	0.181583	0
96	4.16111	0.185288	0
97	4.06536	0.187457	0
98	3.90916	0.191165	0
99	3.81927	0.193402	0
100	3.79067	0.19413	0
101	3.86822	0.192174	0
102	3.84404	0.192778	0
103	3.9262	0.19075	0
104	3.82864	0.193165	0
105	4.00993	0.188748	0
106	3.97299	0.189624	0
107	3.93183	0.190614	0
108	3.87418	0.192027	0
109	3.95946	0.189947	0
110	3.87418	0.192027	0
111	3.93183	0.190614	0
112	3.71008	0.196227	0
113	3.80984	0.193641	0
114	3.95946	0.189947	0
115	3.90916	0.191165	0
116	3.94573	0.190277	0
117	4.04556	0.187915	0
118	4.04054	0.188032	0
119	4.06044	0.18757	0
120	3.92902	0.190682	0
121	3.8471	0.192701	0
122	3.87418	0.192027	0
123	3.7612	0.194889	0
124	3.53474	0.201035	0
125	3.50083	0.202007	0
126	3.51791	0.201515	0
127	3.51366	0.201637	0
128	3.46126	0.203158	0
129	3.48342	0.202511	0
130	3.46126	0.203158	0
131	3.55943	0.200337	0
132	3.59537	0.199333	0
133	3.4878	0.202383	0
134	3.6853	0.196886	0
135	3.74783	0.195236	0
136	3.80666	0.193722	0
137	3.80029	0.193884	0
138	3.81615	0.193481	0
139	3.813	0.193561	0
140	3.88303	0.191808	0
141	3.94573	0.190277	0
142	3.93183	0.190614	0
143	3.8889	0.191663	0
144	3.97299	0.189624	0
145	4.0355	0.188149	0
146	4.2546	0.18324	0
147	4.25864	0.183154	0
148	4.21529	0.184093	0
149	4.22787	0.183819	0
150	4.23411	0.183683	0
151	4.2237	0.18391	0
152	4.20895	0.184232	0
153	4.14992	0.185537	0
154	4.44601	0.179253	0
155	4.55388	0.177117	0
156	4.65123	0.175254	0
157	4.7863	0.172763	0
