Input	../Output/Countries/NER.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	30
beta0	3.97439	error	0.0719885
beta1	-0.0788323	error	0.00464939

X	Y	Error	Weight
0	3.47463	0.202767	1
1	3.57954	0.199773	1
2	3.64508	0.197969	1
3	3.79708	0.193966	1
4	3.81615	0.193481	1
5	3.90341	0.191306	1
6	3.89764	0.191448	1
7	3.6745	0.197175	1
8	3.73084	0.195681	1
9	3.54302	0.2008	1
10	3.21314	0.210856	1
11	3.29584	0.208194	1
12	3.05131	0.216375	1
13	2.83321	0.224549	1
14	2.83321	0.224549	1
15	2.52003	0.238094	1
16	2.41081	0.243427	1
17	2.52003	0.238094	1
18	2.04304	0.264431	1
19	1.86082	0.277076	1
20	1.92527	0.272399	1
21	2.02433	0.265651	1
22	2.00539	0.266902	1
23	1.98595	0.268205	1
24	1.92527	0.272399	1
25	1.9042	0.273902	1
26	2.00539	0.266902	1
27	2.04304	0.264431	1
28	2.04304	0.264431	1
29	2.04304	0.264431	1
30	2.09716	0.260997	1
31	2.18121	0.255919	0
32	2.25874	0.251488	0
33	2.42356	0.242786	0
34	2.31678	0.248318	0
35	2.3979	0.244082	0
36	2.56495	0.236	0
37	2.55389	0.23651	0
38	2.60793	0.234047	0
39	2.55389	0.23651	0
40	2.35811	0.246132	0
41	2.47292	0.240351	0
42	2.3979	0.244082	0
43	2.14838	0.257867	0
44	2.14838	0.257867	0
45	1.92527	0.272399	0
46	2.00539	0.266902	0
47	2.04304	0.264431	0
48	1.76764	0.284285	0
49	1.79176	0.282365	0
50	1.69175	0.290591	0
51	1.51973	0.306597	0
52	1.48817	0.30983	0
53	0.944295	0.388953	0
54	0.618962	0.480418	0
55	0.618962	0.480418	0
