Input	../Output/Countries/NGA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	76
beta0	4.53124	error	0.0385825
beta1	0.0284342	error	0.00083684

X	Y	Error	Weight
0	3.46574	0.203027	1
1	3.77113	0.194633	1
2	3.82864	0.193165	1
3	3.73084	0.195681	1
4	4.19827	0.184466	1
5	4.3438	0.181349	1
6	4.45435	0.179085	1
7	4.51556	0.177867	1
8	4.52489	0.177683	1
9	4.56435	0.176914	1
10	4.81913	0.172174	1
11	4.80519	0.172423	1
12	4.9116	0.170545	1
13	5.03416	0.168456	1
14	5.14916	0.166565	1
15	5.2126	0.165548	1
16	5.3437	0.163505	1
17	5.31109	0.164006	1
18	5.31039	0.164017	1
19	5.42809	0.162229	1
20	5.51688	0.160918	1
21	5.52886	0.160743	1
22	5.57215	0.160118	1
23	5.57107	0.160133	1
24	5.56998	0.160149	1
25	5.56397	0.160235	1
26	5.4541	0.161841	1
27	5.39233	0.162766	1
28	5.34711	0.163452	1
29	5.40653	0.162552	1
30	5.38972	0.162805	1
31	5.44056	0.162043	1
32	5.49599	0.161223	1
33	5.57919	0.160017	1
34	5.55572	0.160354	1
35	5.60633	0.159629	1
36	5.59312	0.159817	1
37	5.60001	0.159719	1
38	5.62608	0.159349	1
39	5.68261	0.158554	1
40	5.60317	0.159674	1
41	5.67528	0.158656	1
42	5.80728	0.156843	1
43	5.8047	0.156878	1
44	5.88213	0.155842	1
45	5.86808	0.156028	1
46	5.85097	0.156256	1
47	5.91774	0.155372	1
48	5.8948	0.155674	1
49	5.8281	0.156562	1
50	5.80513	0.156872	1
51	5.7607	0.157476	1
52	5.93452	0.155152	1
53	5.95768	0.15485	1
54	6.07304	0.153373	1
55	6.16692	0.152201	1
56	6.19993	0.151795	1
57	6.2425	0.151277	1
58	6.31173	0.150445	1
59	6.26584	0.150995	1
60	6.31303	0.150429	1
61	6.32947	0.150234	1
62	6.3396	0.150114	1
63	6.37915	0.149647	1
64	6.38712	0.149554	1
65	6.41135	0.149271	1
66	6.40239	0.149376	1
67	6.41697	0.149206	1
68	6.38109	0.149625	1
69	6.38519	0.149577	1
70	6.41322	0.149249	1
71	6.42579	0.149103	1
72	6.40026	0.149401	1
73	6.42579	0.149103	1
74	6.45789	0.148732	1
75	6.46503	0.14865	1
76	6.41252	0.149258	1
77	6.37039	0.14975	0
78	6.38351	0.149596	0
79	6.38568	0.149571	0
80	6.37161	0.149736	0
81	6.28759	0.150733	0
82	6.25328	0.151146	0
83	6.286	0.150752	0
84	6.30209	0.15056	0
85	6.30914	0.150476	0
86	6.31433	0.150414	0
87	6.30393	0.150538	0
88	6.35064	0.149983	0
89	6.37429	0.149705	0
90	6.38037	0.149633	0
91	6.3777	0.149665	0
92	6.37405	0.149707	0
93	6.36598	0.149802	0
94	6.39335	0.149481	0
95	6.36917	0.149765	0
96	6.37137	0.149739	0
97	6.36917	0.149765	0
98	6.3151	0.150405	0
99	6.31484	0.150408	0
100	6.33683	0.150146	0
101	6.34889	0.150004	0
102	6.31355	0.150423	0
103	6.2812	0.15081	0
104	6.24611	0.151233	0
105	6.23161	0.151409	0
106	6.15849	0.152305	0
107	6.04331	0.153749	0
108	5.92845	0.155232	0
109	5.94841	0.154971	0
110	5.8999	0.155607	0
111	5.89243	0.155705	0
112	5.91851	0.155362	0
113	5.96834	0.154712	0
114	5.96907	0.154703	0
115	6.01162	0.154154	0
116	6.01021	0.154172	0
117	6.01685	0.154087	0
118	5.97635	0.154608	0
119	5.92883	0.155227	0
120	5.87453	0.155942	0
121	5.92426	0.155287	0
122	5.91928	0.155352	0
123	5.97163	0.154669	0
124	6.00846	0.154195	0
125	6.01232	0.154145	0
126	6.10447	0.152977	0
127	6.1121	0.152882	0
128	6.08124	0.153269	0
129	6.02828	0.153941	0
130	5.89125	0.155721	0
131	5.81754	0.156704	0
132	5.73796	0.157787	0
133	5.56178	0.160267	0
134	5.45532	0.161823	0
135	5.34028	0.163557	0
136	5.33134	0.163694	0
137	5.32788	0.163747	0
138	5.20165	0.165722	0
139	5.19771	0.165785	0
140	5.12566	0.166946	0
141	5.09287	0.167483	0
142	5.10334	0.167311	0
