Input	../Output/Countries/NIC.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	167
beta0	4.22674	error	0.0302436
beta1	-0.010346	error	0.000337854

X	Y	Error	Weight
0	3.4878	0.202383	1
1	3.4878	0.202383	1
2	3.59143	0.199442	1
3	3.59143	0.199442	1
4	3.59143	0.199442	1
5	3.59143	0.199442	1
6	3.59143	0.199442	1
7	4.27865	0.182725	1
8	4.27865	0.182725	1
9	4.22787	0.183819	1
10	4.22787	0.183819	1
11	4.22787	0.183819	1
12	4.22787	0.183819	1
13	4.22787	0.183819	1
14	3.93742	0.190478	1
15	3.93742	0.190478	1
16	3.93742	0.190478	1
17	3.93742	0.190478	1
18	3.93742	0.190478	1
19	3.93742	0.190478	1
20	3.93742	0.190478	1
21	3.90054	0.191377	1
22	3.90054	0.191377	1
23	3.90054	0.191377	1
24	3.90054	0.191377	1
25	3.90054	0.191377	1
26	3.90054	0.191377	1
27	3.90054	0.191377	1
28	3.93742	0.190478	1
29	3.93742	0.190478	1
30	3.93742	0.190478	1
31	3.93742	0.190478	1
32	3.93742	0.190478	1
33	3.93742	0.190478	1
34	3.93742	0.190478	1
35	3.90341	0.191306	1
36	3.90341	0.191306	1
37	3.90341	0.191306	1
38	3.90341	0.191306	1
39	3.90341	0.191306	1
40	3.90341	0.191306	1
41	3.90341	0.191306	1
42	3.90916	0.191165	1
43	3.90916	0.191165	1
44	3.90916	0.191165	1
45	3.90916	0.191165	1
46	3.90916	0.191165	1
47	3.90916	0.191165	1
48	3.90916	0.191165	1
49	3.84404	0.192778	1
50	3.84404	0.192778	1
51	3.84404	0.192778	1
52	3.84404	0.192778	1
53	3.84404	0.192778	1
54	3.84404	0.192778	1
55	3.84404	0.192778	1
56	3.7612	0.194889	1
57	3.7612	0.194889	1
58	3.7612	0.194889	1
59	3.7612	0.194889	1
60	3.7612	0.194889	1
61	3.7612	0.194889	1
62	3.7612	0.194889	1
63	3.73084	0.195681	1
64	3.73084	0.195681	1
65	3.73084	0.195681	1
66	3.73084	0.195681	1
67	3.73084	0.195681	1
68	3.73084	0.195681	1
69	3.73084	0.195681	1
70	3.50514	0.201882	1
71	3.50514	0.201882	1
72	3.50514	0.201882	1
73	3.50514	0.201882	1
74	3.50514	0.201882	1
75	3.50514	0.201882	1
76	3.50514	0.201882	1
77	3.49216	0.202257	1
78	3.49216	0.202257	1
79	3.49216	0.202257	1
80	3.49216	0.202257	1
81	3.49216	0.202257	1
82	3.49216	0.202257	1
83	3.49216	0.202257	1
84	3.4154	0.204517	1
85	3.4154	0.204517	1
86	3.4154	0.204517	1
87	3.4154	0.204517	1
88	3.4154	0.204517	1
89	3.4154	0.204517	1
90	3.4154	0.204517	1
91	3.33221	0.207055	1
92	3.33221	0.207055	1
93	3.33221	0.207055	1
94	3.33221	0.207055	1
95	3.33221	0.207055	1
96	3.33221	0.207055	1
97	3.33221	0.207055	1
98	3.26358	0.20922	1
99	3.26358	0.20922	1
100	3.26358	0.20922	1
101	3.26358	0.20922	1
102	3.26358	0.20922	1
103	3.26358	0.20922	1
104	3.26358	0.20922	1
105	3.21314	0.210856	1
106	3.21314	0.210856	1
107	3.21314	0.210856	1
108	3.21314	0.210856	1
109	3.21314	0.210856	1
110	3.21314	0.210856	1
111	3.21314	0.210856	1
112	3.06474	0.215901	1
113	3.06474	0.215901	1
114	3.06474	0.215901	1
115	3.06474	0.215901	1
116	3.06474	0.215901	1
117	3.06474	0.215901	1
118	3.06474	0.215901	1
119	3.01695	0.217604	1
120	3.01695	0.217604	1
121	3.01695	0.217604	1
122	3.01695	0.217604	1
123	3.01695	0.217604	1
124	3.01695	0.217604	1
125	3.01695	0.217604	1
126	2.77259	0.226991	1
127	2.77259	0.226991	1
128	2.77259	0.226991	1
129	2.77259	0.226991	1
130	2.77259	0.226991	1
131	2.77259	0.226991	1
132	2.77259	0.226991	1
133	2.62879	0.233116	1
134	2.62879	0.233116	1
135	2.62879	0.233116	1
136	2.62879	0.233116	1
137	2.62879	0.233116	1
138	2.62879	0.233116	1
139	2.62879	0.233116	1
140	2.59742	0.23452	1
141	2.59742	0.23452	1
142	2.59742	0.23452	1
143	2.59742	0.23452	1
144	2.59742	0.23452	1
145	2.59742	0.23452	1
146	2.59742	0.23452	1
147	2.5427	0.23703	1
148	2.5427	0.23703	1
149	2.5427	0.23703	1
150	2.5427	0.23703	1
151	2.5427	0.23703	1
152	2.5427	0.23703	1
153	2.5427	0.23703	1
154	2.4485	0.241547	1
155	2.4485	0.241547	1
156	2.4485	0.241547	1
157	2.4485	0.241547	1
158	2.4485	0.241547	1
159	2.4485	0.241547	1
160	2.4485	0.241547	1
161	2.43615	0.242158	1
162	2.43615	0.242158	1
163	2.43615	0.242158	1
164	2.43615	0.242158	1
165	2.43615	0.242158	1
166	2.43615	0.242158	1
167	2.43615	0.242158	1
