Input	../Output/Countries/NLD.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	22
beta0	3.76072	error	0.0725087
beta1	0.155045	error	0.00522969

X	Y	Error	Weight
0	3.59537	0.199333	1
1	3.76783	0.194718	1
2	3.93463	0.190546	1
3	4.19613	0.184513	1
4	4.09673	0.186738	1
5	4.57324	0.176742	1
6	4.70566	0.174237	1
7	4.82602	0.172051	1
8	5.0526	0.168149	1
9	5.24627	0.165016	1
10	5.40332	0.1626	1
11	5.63683	0.159197	1
12	5.74894	0.157637	1
13	5.94691	0.154991	1
14	6.08645	0.153204	1
15	6.17021	0.15216	1
16	6.31484	0.150408	1
17	6.43889	0.148952	1
18	6.57148	0.147441	1
19	6.69244	0.146103	1
20	6.783	0.145124	1
21	6.86589	0.144246	1
22	6.9153	0.143729	1
23	6.92011	0.143679	0
24	6.94395	0.143433	0
25	6.95245	0.143345	0
26	6.93231	0.143553	0
27	6.89452	0.143946	0
28	6.91104	0.143774	0
29	6.92321	0.143647	0
30	6.91374	0.143746	0
31	6.90575	0.143829	0
32	6.92405	0.143638	0
33	6.9671	0.143194	0
34	7.02159	0.142637	0
35	7.01507	0.142704	0
36	7.01391	0.142715	0
37	7.02503	0.142602	0
38	6.99446	0.142914	0
39	6.97408	0.143122	0
40	6.95926	0.143275	0
41	6.93523	0.143523	0
42	6.92081	0.143672	0
43	6.89017	0.143991	0
44	6.86946	0.144208	0
45	6.86634	0.144241	0
46	6.83948	0.144524	0
47	6.77177	0.145245	0
48	6.68782	0.146153	0
49	6.61089	0.147001	0
50	6.54124	0.147782	0
51	6.4193	0.149179	0
52	6.3396	0.150114	0
53	6.24028	0.151304	0
54	6.14357	0.15249	0
55	6.07699	0.153323	0
56	5.96578	0.154745	0
57	5.88927	0.155747	0
58	5.94542	0.15501	0
59	5.8861	0.155789	0
60	5.86241	0.156104	0
61	5.79606	0.156995	0
62	5.72592	0.157953	0
63	5.68309	0.158547	0
64	5.66445	0.158808	0
65	5.60212	0.159689	0
66	5.59948	0.159727	0
67	5.49658	0.161215	0
68	5.42432	0.162285	0
69	5.35995	0.163257	0
70	5.27592	0.164551	0
71	5.26491	0.164723	0
72	5.19771	0.165785	0
73	5.17453	0.166156	0
74	5.1607	0.166378	0
75	5.15081	0.166538	0
76	5.13999	0.166713	0
77	5.17857	0.166091	0
78	5.22881	0.165291	0
79	5.24778	0.164992	0
80	5.24175	0.165087	0
81	5.18659	0.165963	0
82	5.17696	0.166117	0
83	5.13999	0.166713	0
84	5.15081	0.166538	0
85	5.05898	0.168043	0
86	5.03137	0.168503	0
87	4.93036	0.17022	0
88	4.95784	0.169748	0
89	4.99141	0.169176	0
90	5.03973	0.168363	0
91	5.08848	0.167555	0
92	5.14083	0.1667	0
93	5.19057	0.165899	0
94	5.26564	0.164712	0
95	5.23187	0.165243	0
96	5.23187	0.165243	0
97	5.22881	0.165291	0
98	5.15247	0.166511	0
99	5.15247	0.166511	0
100	5.13243	0.166836	0
101	5.07339	0.167804	0
102	5.02857	0.16855	0
103	4.92725	0.170274	0
104	4.81451	0.172256	0
105	4.75236	0.173379	0
106	4.62076	0.175831	0
107	4.50771	0.178022	0
108	4.45102	0.179152	0
109	4.44265	0.17932	0
110	4.41539	0.179873	0
111	4.40322	0.180121	0
112	4.37126	0.180779	0
113	4.39445	0.180301	0
114	4.36945	0.180816	0
115	4.33261	0.181583	0
116	4.27069	0.182895	0
117	4.23824	0.183594	0
118	4.2258	0.183864	0
119	4.2258	0.183864	0
120	4.13403	0.185893	0
121	4.10382	0.186577	0
122	4.07996	0.187121	0
123	4.02023	0.188506	0
124	3.93183	0.190614	0
125	3.98101	0.189432	0
126	4.05302	0.187742	0
127	4.1363	0.185842	0
128	4.17439	0.184993	0
129	4.29242	0.182432	0
130	4.38024	0.180594	0
131	4.49503	0.178273	0
132	4.56584	0.176885	0
133	4.63056	0.175644	0
134	4.78032	0.172871	0
135	4.90527	0.170655	0
136	4.96584	0.169611	0
137	5.02763	0.168566	0
138	5.10595	0.167268	0
139	5.12311	0.166988	0
140	5.24175	0.165087	0
141	5.21027	0.165585	0
142	5.25452	0.164886	0
143	5.3125	0.163984	0
144	5.43746	0.162089	0
145	5.52318	0.160826	0
146	5.67332	0.158684	0
147	5.71797	0.158063	0
148	5.82135	0.156653	0
149	5.92959	0.155217	0
150	6.01092	0.154163	0
151	6.12998	0.152659	0
152	6.22229	0.151522	0
153	6.2691	0.150955	0
154	6.33607	0.150155	0
155	6.41393	0.149241	0
156	6.37575	0.149687	0
157	6.56486	0.147516	0
158	6.55941	0.147577	0
159	6.57328	0.147421	0
160	6.6051	0.147066	0
161	6.59265	0.147204	0
162	6.55556	0.14762	0
163	6.60452	0.147072	0
164	6.46592	0.14864	0
165	6.45182	0.148802	0
166	6.42718	0.149087	0
167	6.38784	0.149546	0
168	6.37332	0.149716	0
169	6.40735	0.149318	0
170	6.37843	0.149656	0
171	6.38832	0.14954	0
172	6.38278	0.149605	0
173	6.37308	0.149719	0
174	6.36721	0.149788	0
175	6.37502	0.149696	0
176	6.35014	0.149989	0
177	6.37746	0.149667	0
178	6.41533	0.149225	0
179	6.43706	0.148973	0
180	6.49137	0.148348	0
181	6.52608	0.147953	0
182	6.60626	0.147053	0
183	6.66112	0.146446	0
184	6.75194	0.145458	0
185	6.82204	0.144708	0
186	6.85797	0.144329	0
187	6.93551	0.14352	0
188	7.01623	0.142692	0
189	7.04366	0.142414	0
190	7.10097	0.141838	0
191	7.14576	0.141393	0
192	7.19615	0.140897	0
193	7.28873	0.139999	0
194	7.35747	0.139344	0
195	7.4087	0.138861	0
196	7.47477	0.138246	0
197	7.54938	0.137561	0
198	7.61304	0.136985	0
199	7.6618	0.136548	0
200	7.71148	0.136107	0
201	7.75992	0.135682	0
202	7.81006	0.135246	0
203	7.87104	0.134721	0
204	7.90723	0.134412	0
205	7.94631	0.134081	0
206	7.99121	0.133704	0
207	8.02449	0.133427	0
208	8.07126	0.133039	0
209	8.12631	0.132588	0
210	8.16731	0.132255	0
211	8.23248	0.13173	0
212	8.28663	0.131299	0
213	8.34545	0.130836	0
214	8.42911	0.130185	0
215	8.49354	0.12969	0
216	8.56462	0.129151	0
217	8.627	0.128683	0
218	8.68273	0.128269	0
219	8.75007	0.127775	0
220	8.8008	0.127406	0
221	8.84273	0.127104	0
222	8.88328	0.126813	0
223	8.91455	0.126591	0
224	8.94925	0.126345	0
225	8.97061	0.126194	0
226	8.98398	0.1261	0
227	9.00953	0.125921	0
228	9.03459	0.125747	0
229	9.0682	0.125513	0
230	9.07696	0.125453	0
231	9.10915	0.125231	0
232	9.14563	0.124981	0
233	9.17754	0.124764	0
234	9.16804	0.124828	0
235	9.183	0.124726	0
236	9.19964	0.124614	0
237	9.2162	0.124502	0
238	9.19428	0.12465	0
239	9.16403	0.124856	0
240	9.12522	0.125121	0
241	9.11779	0.125172	0
242	9.06421	0.125541	0
243	8.9977	0.126004	0
244	8.94091	0.126404	0
245	8.88293	0.126816	0
246	8.80858	0.12735	0
247	8.74118	0.12784	0
248	8.68937	0.12822	0
249	8.6573	0.128458	0
250	8.62902	0.128668	0
251	8.60975	0.128812	0
252	8.6035	0.128859	0
253	8.60818	0.128824	0
254	8.59885	0.128893	0
255	8.57826	0.129048	0
256	8.5799	0.129036	0
257	8.57589	0.129066	0
258	8.58135	0.129025	0
259	8.5817	0.129022	0
260	8.59055	0.128956	0
261	8.58079	0.129029	0
262	8.59036	0.128957	0
263	8.55973	0.129188	0
264	8.5563	0.129213	0
265	8.51201	0.129549	0
266	8.51842	0.1295	0
267	8.50074	0.129635	0
268	8.50645	0.129592	0
269	8.50804	0.129579	0
270	8.54035	0.129334	0
271	8.54523	0.129297	0
272	8.60145	0.128874	0
273	8.63287	0.128639	0
274	8.69522	0.128177	0
