Input	../Output/Countries/NOR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	23
beta0	4.50949	error	0.068887
beta1	0.0535495	error	0.00498082

X	Y	Error	Weight
0	3.96217	0.189882	1
1	4.34936	0.181233	1
2	4.47571	0.178657	1
3	4.84306	0.171748	1
4	4.90315	0.170692	1
5	5.00586	0.168932	1
6	5.08229	0.167657	1
7	5.02294	0.168644	1
8	4.91265	0.170527	1
9	5.00491	0.168948	1
10	4.87629	0.171162	1
11	4.98946	0.169209	1
12	5.11371	0.167141	1
13	5.21494	0.165511	1
14	5.29832	0.164203	1
15	5.38972	0.162805	1
16	5.44612	0.16196	1
17	5.57215	0.160118	1
18	5.60212	0.159689	1
19	5.60317	0.159674	1
20	5.56288	0.160251	1
21	5.53733	0.16062	1
22	5.5379	0.160612	1
23	5.53733	0.16062	1
24	5.44118	0.162033	0
25	5.39038	0.162795	0
26	5.30046	0.16417	0
27	5.3125	0.163984	0
28	5.32996	0.163715	0
29	5.16315	0.166339	0
30	5.02388	0.168629	0
31	4.90421	0.170674	0
32	4.80986	0.17234	0
33	4.78511	0.172785	0
34	4.65804	0.175126	0
35	4.34008	0.181427	0
36	4.5372	0.177442	0
37	4.58351	0.176544	0
38	4.48864	0.1784	0
39	4.49503	0.178273	0
40	4.36945	0.180816	0
41	4.36945	0.180816	0
42	4.39621	0.180265	0
43	4.44769	0.179219	0
44	4.27865	0.182725	0
45	4.31939	0.181861	0
46	4.19182	0.184608	0
47	4.16111	0.185288	0
48	4.14766	0.185588	0
49	4.20469	0.184325	0
50	3.97299	0.189624	0
51	3.87418	0.192027	0
52	3.8224	0.193323	0
53	3.79067	0.19413	0
54	3.8224	0.193323	0
55	3.77439	0.194548	0
56	3.74107	0.195413	0
57	3.71008	0.196227	0
58	3.74446	0.195324	0
59	3.71357	0.196135	0
60	3.72398	0.195861	0
61	3.60705	0.19901	0
62	3.48342	0.202511	0
63	3.36235	0.206124	0
64	3.24146	0.209933	0
65	3.14169	0.21324	0
66	3.05805	0.216137	0
67	2.98133	0.2189	0
68	3.02388	0.217354	0
69	2.8824	0.222625	0
70	2.75455	0.227733	0
71	2.71754	0.229278	0
72	2.78149	0.226627	0
73	2.78149	0.226627	0
74	2.74541	0.228112	0
75	2.6888	0.2305	0
76	2.72694	0.228883	0
77	2.80765	0.225569	0
78	2.84159	0.224218	0
79	2.67903	0.23092	0
80	2.55389	0.23651	0
81	2.56495	0.236	0
82	2.53139	0.237559	0
83	2.46079	0.240943	0
84	2.33078	0.247571	0
85	2.38481	0.244751	0
86	2.58671	0.235005	0
87	2.65928	0.231776	0
88	2.59742	0.23452	0
89	2.72694	0.228883	0
90	2.79905	0.225915	0
91	2.8499	0.223891	0
92	2.81625	0.225225	0
93	2.69847	0.230087	0
94	2.63906	0.232663	0
95	2.62879	0.233116	0
96	2.48491	0.239771	0
97	2.50846	0.238642	0
98	2.48491	0.239771	0
99	2.63906	0.232663	0
100	2.65928	0.231776	0
101	2.71754	0.229278	0
102	2.79031	0.226269	0
103	2.79031	0.226269	0
104	2.69847	0.230087	0
105	2.77259	0.226991	0
106	2.61842	0.233578	0
107	2.43615	0.242158	0
108	2.71754	0.229278	0
109	2.69847	0.230087	0
110	2.75455	0.227733	0
111	2.76361	0.227359	0
112	2.72694	0.228883	0
113	2.73625	0.228493	0
114	2.79031	0.226269	0
115	2.5427	0.23703	0
116	2.43615	0.242158	0
117	2.37155	0.245434	0
118	2.35811	0.246132	0
119	2.27357	0.250667	0
120	2.04304	0.264431	0
121	2.19722	0.254984	0
122	2.02433	0.265651	0
123	1.98595	0.268205	0
124	1.98595	0.268205	0
125	1.92527	0.272399	0
126	2.04304	0.264431	0
127	2.16493	0.256879	0
128	1.96613	0.269553	0
129	1.98595	0.268205	0
130	1.98595	0.268205	0
131	1.9042	0.273902	0
132	1.96613	0.269553	0
133	2.00539	0.266902	0
134	1.92527	0.272399	0
135	2.30259	0.249082	0
136	2.25874	0.251488	0
137	2.47292	0.240351	0
138	2.5427	0.23703	0
139	2.63906	0.232663	0
140	2.62879	0.233116	0
141	2.78149	0.226627	0
142	2.86625	0.223251	0
143	3.05131	0.216375	0
144	3.00993	0.217858	0
145	3.07135	0.215668	0
146	3.36235	0.206124	0
147	3.41069	0.204659	0
148	3.52215	0.201394	0
149	3.61477	0.198797	0
150	3.79389	0.194048	0
151	3.90054	0.191377	0
152	3.96759	0.189753	0
153	3.91202	0.191095	0
154	4.01766	0.188566	0
155	3.97835	0.189496	0
156	4.00212	0.188932	0
157	3.93183	0.190614	0
158	3.95673	0.190013	0
159	3.95946	0.189947	0
160	3.98367	0.189369	0
161	3.9402	0.190411	0
162	3.99163	0.18918	0
163	3.90054	0.191377	0
164	3.95946	0.189947	0
165	3.86523	0.192249	0
166	3.81615	0.193481	0
167	3.86822	0.192174	0
168	3.89182	0.191591	0
169	3.8889	0.191663	0
170	3.89764	0.191448	0
171	3.78093	0.19438	0
172	3.79708	0.193966	0
173	3.8224	0.193323	0
174	4.01252	0.188687	0
175	4.08717	0.186956	0
176	4.32696	0.181702	0
177	4.41366	0.179908	0
178	4.52952	0.177593	0
179	4.58351	0.176544	0
180	4.66748	0.174948	0
181	4.65938	0.1751	0
182	4.67683	0.174773	0
183	4.62216	0.175804	0
184	4.67015	0.174898	0
185	4.70308	0.174285	0
186	4.71722	0.174023	0
187	4.69528	0.17443	0
188	4.68081	0.174699	0
189	4.70048	0.174333	0
190	4.67683	0.174773	0
191	4.70953	0.174166	0
192	4.69528	0.17443	0
193	4.7121	0.174118	0
194	4.66479	0.174999	0
195	4.64576	0.175357	0
196	4.6874	0.174576	0
197	4.7121	0.174118	0
198	4.69003	0.174527	0
199	4.70824	0.174189	0
200	4.69918	0.174357	0
201	4.73996	0.173606	0
202	4.71722	0.174023	0
203	4.69003	0.174527	0
204	4.67416	0.174823	0
205	4.66479	0.174999	0
206	4.65938	0.1751	0
207	4.65396	0.175202	0
208	4.6861	0.1746	0
209	4.75973	0.173245	0
210	4.82143	0.172132	0
211	4.94775	0.169921	0
212	5.03137	0.168503	0
213	5.06078	0.168013	0
214	5.06078	0.168013	0
215	5.0267	0.168581	0
216	4.99528	0.169111	0
217	4.97081	0.169526	0
218	4.89997	0.170747	0
219	4.87411	0.1712	0
220	4.83855	0.171828	0
221	4.85981	0.171451	0
222	4.8925	0.170878	0
223	4.92518	0.17031	0
224	4.94062	0.170044	0
225	4.97279	0.169493	0
226	5.05442	0.168118	0
227	5.19296	0.165861	0
228	5.28393	0.164427	0
229	5.33479	0.163641	0
230	5.51516	0.160943	0
231	5.60053	0.159712	0
232	5.70616	0.158226	0
233	5.80771	0.156837	0
234	5.89007	0.155737	0
235	5.91041	0.155468	0
236	5.96468	0.15476	0
237	6.05946	0.153544	0
238	6.15273	0.152376	0
239	6.21718	0.151584	0
240	6.26067	0.151057	0
241	6.28972	0.150708	0
242	6.32589	0.150276	0
243	6.3721	0.14973	0
244	6.34463	0.150054	0
245	6.33074	0.150219	0
246	6.33125	0.150213	0
247	6.34789	0.150016	0
248	6.36819	0.149776	0
249	6.39478	0.149464	0
250	6.27072	0.150936	0
251	6.09615	0.153082	0
252	6.40334	0.149365	0
253	6.41088	0.149277	0
254	6.40002	0.149403	0
255	6.37235	0.149727	0
256	6.32743	0.150258	0
257	6.42764	0.149082	0
258	6.51978	0.148025	0
259	6.24361	0.151263	0
260	6.21404	0.151623	0
261	6.15789	0.152312	0
262	6.11841	0.152803	0
263	6.12312	0.152744	0
264	6.08124	0.153269	0
265	6.0494	0.153672	0
266	6.01755	0.154078	0
267	5.95547	0.154879	0
268	5.92616	0.155262	0
269	5.92043	0.155337	0
270	5.88888	0.155752	0
271	5.87613	0.155921	0
272	5.89911	0.155617	0
