Input	../Output/Countries/NPL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	22
beta0	3.15839	error	0.0788498
beta1	0.125215	error	0.00569391

X	Y	Error	Weight
0	3.5389	0.200917	1
1	3.27446	0.208872	1
2	3.23025	0.210297	1
3	3.39162	0.205233	1
4	3.57153	0.199997	1
5	3.73426	0.195591	1
6	3.78419	0.194296	1
7	3.78093	0.19438	1
8	3.96759	0.189753	1
9	4.18313	0.184799	1
10	4.4257	0.179664	1
11	4.59944	0.176237	1
12	4.75973	0.173245	1
13	4.93036	0.17022	1
14	5.08318	0.167642	1
15	5.24476	0.16504	1
16	5.30827	0.164049	1
17	5.42684	0.162247	1
18	5.49247	0.161275	1
19	5.56834	0.160172	1
20	5.59099	0.159848	1
21	5.63019	0.15929	1
22	5.64847	0.159032	1
23	5.68649	0.1585	0
24	5.64494	0.159082	0
25	5.72731	0.157934	0
26	5.70378	0.158259	0
27	5.79996	0.156942	0
28	5.85752	0.156169	0
29	5.88013	0.155868	0
30	5.9961	0.154354	0
31	6.13556	0.152589	0
32	6.12874	0.152674	0
33	6.14663	0.152452	0
34	6.14541	0.152467	0
35	6.1708	0.152153	0
36	6.21689	0.151588	0
37	6.22907	0.15144	0
38	6.16	0.152286	0
39	6.20916	0.151682	0
40	6.27126	0.150929	0
41	6.28253	0.150794	0
42	6.26666	0.150985	0
43	6.20456	0.151738	0
44	6.16121	0.152271	0
45	6.17289	0.152127	0
46	6.21575	0.151602	0
47	6.11935	0.152791	0
48	6.06445	0.153481	0
49	5.96101	0.154807	0
50	5.91889	0.155357	0
51	5.82768	0.156568	0
52	5.66098	0.158857	0
53	5.29115	0.164315	0
54	5.16723	0.166273	0
55	4.9787	0.169392	0
56	4.94266	0.170008	0
57	4.84867	0.171648	0
58	4.67948	0.174724	0
59	4.75482	0.173334	0
60	4.73369	0.173721	0
61	4.71722	0.174023	0
62	4.80753	0.172381	0
63	4.85538	0.17153	0
64	4.8925	0.170878	0
65	4.8752	0.171181	0
66	4.85315	0.171569	0
67	4.8882	0.170953	0
68	4.94266	0.170008	0
69	4.9158	0.170472	0
70	4.86533	0.171354	0
71	5.02857	0.16855	0
72	5.12651	0.166932	0
73	5.22881	0.165291	0
74	5.29617	0.164237	0
75	5.43372	0.162145	0
76	5.50359	0.161112	0
77	5.65399	0.158955	0
78	5.62762	0.159327	0
79	5.71185	0.158148	0
80	5.75166	0.157599	0
81	5.85507	0.156201	0
82	5.88053	0.155863	0
83	5.93262	0.155177	0
84	5.90185	0.155581	0
85	6.03991	0.153793	0
86	6.07436	0.153356	0
87	6.12718	0.152694	0
88	6.16692	0.152201	0
89	6.19353	0.151873	0
90	6.26693	0.150981	0
91	6.33074	0.150219	0
92	6.42255	0.149141	0
93	6.46725	0.148625	0
94	6.50685	0.148172	0
95	6.55759	0.147597	0
96	6.59069	0.147226	0
97	6.62482	0.146847	0
98	6.65507	0.146512	0
99	6.62501	0.146844	0
100	6.66295	0.146426	0
101	6.73408	0.14565	0
102	6.74909	0.145488	0
103	6.7901	0.145048	0
104	6.85285	0.144383	0
105	6.87612	0.144138	0
106	6.90718	0.143814	0
107	6.94022	0.143471	0
108	6.95627	0.143305	0
109	7.0134	0.142721	0
110	7.03338	0.142518	0
111	7.00255	0.142831	0
112	7.01289	0.142726	0
113	6.99118	0.142947	0
114	6.98604	0.143	0
115	6.98841	0.142976	0
116	7.00085	0.142848	0
117	7.02147	0.142639	0
118	7.02896	0.142563	0
119	7.05284	0.142321	0
120	7.1194	0.141654	0
121	7.171	0.141144	0
122	7.171	0.141144	0
123	7.23129	0.140554	0
124	7.2316	0.140551	0
125	7.26072	0.140269	0
126	7.25912	0.140284	0
127	7.24871	0.140385	0
128	7.21071	0.140754	0
129	7.23685	0.1405	0
130	7.1614	0.141238	0
131	7.16173	0.141235	0
132	7.18884	0.140968	0
133	7.20987	0.140763	0
134	7.22631	0.140602	0
135	7.26573	0.14022	0
136	7.30624	0.139831	0
137	7.43299	0.138634	0
138	7.5073	0.137946	0
139	7.55926	0.137471	0
140	7.63723	0.136768	0
141	7.63985	0.136744	0
142	7.76132	0.13567	0
143	7.90043	0.13447	0
144	7.86469	0.134775	0
145	8.01178	0.133532	0
146	8.00312	0.133605	0
147	8.07709	0.132991	0
148	8.16231	0.132295	0
149	8.12913	0.132565	0
150	8.10289	0.13278	0
151	8.19899	0.131999	0
152	8.12394	0.132607	0
153	8.16015	0.132313	0
154	8.1496	0.132398	0
155	8.13031	0.132555	0
156	8.25308	0.131566	0
157	8.2489	0.131599	0
158	8.25289	0.131567	0
159	8.21721	0.131853	0
160	8.21388	0.131879	0
161	8.13128	0.132548	0
162	8.01919	0.133471	0
163	7.82302	0.135134	0
164	7.74741	0.135792	0
165	7.68492	0.136343	0
166	7.70333	0.136179	0
167	7.70127	0.136198	0
168	7.77546	0.135546	0
169	7.91748	0.134325	0
170	7.98563	0.133751	0
171	8.01848	0.133477	0
172	7.98946	0.133719	0
173	8.00126	0.13362	0
174	8.00092	0.133623	0
175	7.98344	0.133769	0
176	7.96485	0.133925	0
177	7.92743	0.134241	0
178	7.867	0.134756	0
179	7.82233	0.13514	0
180	7.77504	0.13555	0
181	7.6912	0.136287	0
182	7.59725	0.137127	0
183	7.42272	0.13873	0
184	7.32157	0.139685	0
185	7.33935	0.139515	0
186	7.32383	0.139663	0
187	7.29786	0.139911	0
188	7.31626	0.139735	0
189	7.38797	0.139056	0
190	7.49578	0.138052	0
191	7.53514	0.137691	0
192	7.49713	0.13804	0
193	7.47777	0.138218	0
194	7.45373	0.138441	0
195	7.41887	0.138766	0
196	7.37454	0.139182	0
197	7.19979	0.140861	0
198	7.28619	0.140023	0
199	7.25932	0.140282	0
200	7.21503	0.140712	0
201	7.17691	0.141085	0
202	7.1594	0.141258	0
203	7.10696	0.141778	0
