Input	../Output/Countries/NZL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	16
beta0	4.03817	error	0.0880967
beta1	0.0147478	error	0.00935966

X	Y	Error	Weight
0	3.59537	0.199333	1
1	3.85015	0.192625	1
2	4.04305	0.187973	1
3	4.07511	0.187233	1
4	4.24235	0.183505	1
5	4.25257	0.183284	1
6	4.27468	0.18281	1
7	4.29632	0.182349	1
8	4.2687	0.182938	1
9	4.2667	0.182981	1
10	4.31749	0.181901	1
11	4.30213	0.182226	1
12	4.29437	0.18239	1
13	4.27269	0.182852	1
14	4.1454	0.185638	1
15	4.08237	0.187066	1
16	3.94573	0.190277	1
17	3.7274	0.195771	0
18	3.54714	0.200683	0
19	3.38198	0.205525	0
20	3.22458	0.210482	0
21	3.14169	0.21324	0
22	2.89037	0.222318	0
23	2.75455	0.227733	0
24	2.66924	0.231343	0
25	2.56495	0.236	0
26	2.42356	0.242786	0
27	2.22851	0.253188	0
28	2.06141	0.263251	0
29	2.00539	0.266902	0
30	1.92527	0.272399	0
31	1.69175	0.290591	0
32	1.51973	0.306597	0
33	1.42142	0.317022	0
34	1.27285	0.335014	0
35	1.18967	0.346527	0
36	1.23227	0.340485	0
37	0.88748	0.40121	0
38	0.944295	0.388953	0
39	0.693147	0.453982	0
40	0.693147	0.453982	0
41	0.618962	0.480418	0
42	0.451712	0.562367	0
