Input	../Output/Countries/OMN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	80
beta0	3.76628	error	0.0388678
beta1	0.0447252	error	0.000777161

X	Y	Error	Weight
0	3.47463	0.202767	1
1	3.50083	0.202007	1
2	3.64881	0.197868	1
3	3.7612	0.194889	1
4	4.0355	0.188149	1
5	4.1454	0.185638	1
6	4.25054	0.183328	1
7	4.3856	0.180483	1
8	4.4257	0.179664	1
9	4.50613	0.178053	1
10	4.55688	0.177059	1
11	4.58058	0.1766	1
12	4.598	0.176265	1
13	4.61086	0.176019	1
14	4.60087	0.17621	1
15	4.63473	0.175565	1
16	4.64026	0.175461	1
17	4.64987	0.175279	1
18	4.514	0.177898	1
19	4.48864	0.1784	1
20	4.54633	0.177264	1
21	4.50298	0.178115	1
22	4.54177	0.177353	1
23	4.41366	0.179908	1
24	4.39973	0.180193	1
25	4.43082	0.17956	1
26	4.45767	0.179018	1
27	4.49822	0.178209	1
28	4.46755	0.17882	1
29	4.55388	0.177117	1
30	4.66209	0.175049	1
31	4.77672	0.172936	1
32	4.8957	0.170822	1
33	4.94775	0.169921	1
34	5.0716	0.167833	1
35	5.2861	0.164393	1
36	5.37594	0.163014	1
37	5.55241	0.160402	1
38	5.54238	0.160547	1
39	5.55296	0.160394	1
40	5.62967	0.159298	1
41	5.66692	0.158773	1
42	5.66939	0.158739	1
43	5.73611	0.157813	1
44	5.76295	0.157445	1
45	5.91118	0.155458	1
46	5.83356	0.156489	1
47	5.85671	0.15618	1
48	5.80771	0.156837	1
49	5.93224	0.155182	1
50	6.06909	0.153423	1
51	6.11432	0.152854	1
52	6.26122	0.15105	1
53	6.45542	0.148761	1
54	6.50536	0.148189	1
55	6.60356	0.147083	1
56	6.63087	0.14678	1
57	6.62312	0.146865	1
58	6.68336	0.146202	1
59	6.65654	0.146496	1
60	6.62255	0.146872	1
61	6.64806	0.14659	1
62	6.63894	0.14669	1
63	6.69137	0.146114	1
64	6.7511	0.145467	1
65	6.76372	0.145331	1
66	6.84876	0.144426	1
67	6.91317	0.143751	1
68	6.91785	0.143703	1
69	6.93482	0.143527	1
70	6.88814	0.144012	1
71	6.84876	0.144426	1
72	6.83195	0.144603	1
73	6.75194	0.145458	1
74	6.84162	0.144501	1
75	6.92546	0.143624	1
76	6.971	0.143154	1
77	7.05173	0.142332	1
78	7.08578	0.14199	1
79	7.08853	0.141962	1
80	7.12275	0.141621	1
81	7.03928	0.142458	0
82	6.99994	0.142858	0
83	6.9976	0.142882	0
84	6.99694	0.142888	0
85	7.02808	0.142572	0
86	7.06023	0.142246	0
87	7.04478	0.142402	0
88	7.12229	0.141625	0
89	7.15093	0.141342	0
90	7.16051	0.141247	0
91	7.17778	0.141077	0
92	7.23242	0.140543	0
93	7.22267	0.140638	0
94	7.248	0.140392	0
95	7.30787	0.139816	0
96	7.31996	0.1397	0
97	7.36337	0.139288	0
98	7.34592	0.139453	0
99	7.32072	0.139693	0
100	7.34204	0.13949	0
101	7.32703	0.139633	0
102	7.28629	0.140022	0
103	7.29583	0.139931	0
104	7.29399	0.139949	0
105	7.2716	0.140164	0
106	7.2234	0.140631	0
107	7.19765	0.140882	0
108	7.19658	0.140893	0
109	7.12033	0.141645	0
110	7.04341	0.142416	0
111	6.91089	0.143775	0
112	6.83565	0.144564	0
113	6.6423	0.146653	0
114	6.42069	0.149163	0
115	6.11052	0.152902	0
116	5.70426	0.158253	0
117	5.18898	0.165924	0
118	5.50242	0.161129	0
119	5.40268	0.16261	0
120	5.6079	0.159607	0
121	5.74939	0.15763	0
122	5.84603	0.156322	0
123	5.92807	0.155237	0
124	6.02345	0.154003	0
125	5.66147	0.15885	0
126	5.55958	0.160299	0
127	5.47826	0.161484	0
128	5.41101	0.162484	0
129	5.3713	0.163084	0
130	5.32579	0.163779	0
131	5.2752	0.164563	0
132	5.22958	0.165279	0
133	5.17534	0.166143	0
134	4.98751	0.169242	0
135	4.79342	0.172635	0
136	4.58058	0.1766	0
137	5.21105	0.165573	0
138	5.17211	0.166195	0
139	5.15412	0.166485	0
140	5.17372	0.166169	0
141	5.17372	0.166169	0
142	5.17372	0.166169	0
143	5.53564	0.160645	0
144	5.15494	0.166471	0
145	5.20558	0.16566	0
146	5.0662	0.167923	0
147	5.2803	0.164483	0
148	5.2803	0.164483	0
149	5.2803	0.164483	0
150	5.38581	0.162864	0
151	5.43559	0.162117	0
152	5.46987	0.161608	0
153	5.66048	0.158864	0
154	5.63326	0.159247	0
155	5.63326	0.159247	0
156	5.63326	0.159247	0
157	5.94542	0.15501	0
158	6.02449	0.153989	0
159	6.08352	0.15324	0
160	6.14265	0.152501	0
161	6.19032	0.151913	0
162	6.19032	0.151913	0
163	6.19032	0.151913	0
164	6.27799	0.150848	0
165	6.30445	0.150532	0
166	6.36081	0.149863	0
167	6.38326	0.149599	0
168	6.38592	0.149568	0
169	6.38592	0.149568	0
170	6.38592	0.149568	0
171	6.34187	0.150087	0
172	6.34964	0.149995	0
173	6.31613	0.150392	0
174	6.13927	0.152543	0
175	5.94691	0.154991	0
176	5.94691	0.154991	0
177	5.94691	0.154991	0
178	6.30209	0.15056	0
179	6.28547	0.150759	0
180	6.36377	0.149828	0
181	6.54699	0.147717	0
182	6.67456	0.146298	0
183	6.67456	0.146298	0
184	6.67456	0.146298	0
185	6.49224	0.148338	0
186	6.5223	0.147996	0
187	6.48026	0.148475	0
188	6.42302	0.149136	0
189	6.38904	0.149532	0
190	6.38904	0.149532	0
191	6.38904	0.149532	0
192	6.36377	0.149828	0
193	6.35288	0.149957	0
194	6.30209	0.15056	0
195	6.27234	0.150916	0
196	6.22625	0.151474	0
197	6.22625	0.151474	0
198	6.22625	0.151474	0
199	6.05343	0.153621	0
200	5.97708	0.154599	0
201	5.98681	0.154473	0
202	6.04365	0.153745	0
203	5.9162	0.155392	0
204	5.9162	0.155392	0
205	5.9162	0.155392	0
206	5.99218	0.154404	0
207	5.99075	0.154422	0
208	5.95805	0.154846	0
209	5.84272	0.156366	0
210	5.96725	0.154726	0
211	5.96725	0.154726	0
212	5.96725	0.154726	0
213	5.83981	0.156405	0
214	5.81668	0.156716	0
215	5.81881	0.156687	0
216	5.81157	0.156785	0
217	5.78383	0.15716	0
218	5.78383	0.15716	0
219	5.78383	0.15716	0
220	5.77233	0.157317	0
221	5.7571	0.157525	0
222	5.56834	0.160172	0
223	5.62608	0.159349	0
224	5.61313	0.159532	0
225	5.61313	0.159532	0
226	5.61313	0.159532	0
227	5.48775	0.161344	0
228	5.45532	0.161823	0
229	5.58296	0.159963	0
230	5.33341	0.163662	0
231	5.15988	0.166392	0
232	5.15988	0.166392	0
233	5.15988	0.166392	0
234	5.30046	0.16417	0
235	5.25675	0.164851	0
236	5.24627	0.165016	0
237	5.41037	0.162494	0
238	5.52146	0.160851	0
239	5.52146	0.160851	0
240	5.52146	0.160851	0
241	5.29975	0.164181	0
242	5.30968	0.164028	0
