Input	../Output/Countries/PAK.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	96
beta0	4.46834	error	0.0328341
beta1	0.0464925	error	0.000546501

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.68888	0.19679	1
2	4.12713	0.186049	1
3	4.21318	0.184139	1
4	4.60374	0.176155	1
5	4.6375	0.175513	1
6	4.65938	0.1751	1
7	4.65532	0.175177	1
8	4.69266	0.174478	1
9	4.67015	0.174898	1
10	4.82488	0.172071	1
11	4.69397	0.174454	1
12	4.76462	0.173156	1
13	4.78987	0.172699	1
14	4.92725	0.170274	1
15	5.01538	0.168771	1
16	5.1607	0.166378	1
17	5.23416	0.165207	1
18	5.24175	0.165087	1
19	5.40653	0.162552	1
20	5.6792	0.158602	1
21	5.70235	0.158279	1
22	5.72499	0.157966	1
23	5.68843	0.158473	1
24	5.65948	0.158878	1
25	5.74712	0.157662	1
26	5.69084	0.158439	1
27	5.50997	0.161019	1
28	5.55074	0.160426	1
29	5.71326	0.158128	1
30	5.84974	0.156273	1
31	5.80771	0.156837	1
32	5.92769	0.155242	1
33	6.09904	0.153045	1
34	6.03411	0.153867	1
35	6.27772	0.150852	1
36	6.26828	0.150965	1
37	6.40547	0.14934	1
38	6.55414	0.147636	1
39	6.58814	0.147255	1
40	6.56728	0.147489	1
41	6.66605	0.146392	1
42	6.58064	0.147339	1
43	6.65728	0.146488	1
44	6.69562	0.146068	1
45	6.78219	0.145133	1
46	6.81501	0.144783	1
47	6.87228	0.144179	1
48	6.91146	0.143769	1
49	6.96831	0.143182	1
50	7.10754	0.141772	1
51	7.01943	0.142659	1
52	7.08063	0.142041	1
53	7.22704	0.140595	1
54	7.28912	0.139995	1
55	7.37239	0.139202	1
56	7.47039	0.138286	1
57	7.37999	0.139131	1
58	7.37275	0.139199	1
59	7.47663	0.138229	1
60	7.27071	0.140172	1
61	7.24596	0.140412	1
62	7.26882	0.140191	1
63	7.22673	0.140598	1
64	7.3227	0.139674	1
65	7.47169	0.138274	1
66	7.43796	0.138587	1
67	7.5747	0.137331	1
68	7.63254	0.13681	1
69	7.61678	0.136951	1
70	7.58208	0.137264	1
71	7.54607	0.137591	1
72	7.5372	0.137672	1
73	7.55216	0.137536	1
74	7.60233	0.137081	1
75	7.66287	0.136539	1
76	7.74135	0.135845	1
77	7.88999	0.134559	1
78	8.02111	0.133455	1
79	8.14144	0.132465	1
80	8.18952	0.132075	1
81	8.27698	0.131376	1
82	8.34444	0.130844	1
83	8.40262	0.13039	1
84	8.42505	0.130216	1
85	8.46557	0.129904	1
86	8.49617	0.12967	1
87	8.56419	0.129154	1
88	8.42602	0.130209	1
89	8.47226	0.129853	1
90	8.6707	0.128358	1
91	8.66571	0.128395	1
92	8.67683	0.128313	1
93	8.66517	0.128399	1
94	8.62871	0.12867	1
95	8.78467	0.127523	1
96	8.75084	0.127769	1
97	8.56217	0.129169	0
98	8.5485	0.129272	0
99	8.49308	0.129694	0
100	8.45386	0.129994	0
