Input	../Output/Countries/PAN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	121
beta0	4.31261	error	0.030425
beta1	0.0232848	error	0.000409342

X	Y	Error	Weight
0	3.6525	0.197768	1
1	3.72398	0.195861	1
2	3.6745	0.197175	1
3	3.93183	0.190614	1
4	4.16111	0.185288	1
5	4.34008	0.181427	1
6	4.42741	0.179629	1
7	4.43082	0.17956	1
8	4.52179	0.177744	1
9	4.78272	0.172828	1
10	4.65804	0.175126	1
11	4.6861	0.1746	1
12	4.73996	0.173606	1
13	4.84193	0.171768	1
14	4.85648	0.17151	1
15	4.96084	0.169697	1
16	4.87738	0.171142	1
17	5.02763	0.168566	1
18	5.15329	0.166498	1
19	5.20636	0.165647	1
20	5.22498	0.165352	1
21	5.32161	0.163844	1
22	5.30685	0.164071	1
23	5.27811	0.164517	1
24	5.24326	0.165063	1
25	5.16315	0.166339	1
26	5.19612	0.16581	1
27	5.17372	0.166169	1
28	5.00011	0.169029	1
29	5.0267	0.168581	1
30	5.13243	0.166836	1
31	5.18259	0.166027	1
32	5.30898	0.164038	1
33	5.24099	0.165099	1
34	5.24552	0.165028	1
35	5.3713	0.163084	1
36	5.40268	0.16261	1
37	5.27153	0.16462	1
38	5.40461	0.162581	1
39	5.27373	0.164586	1
40	5.28538	0.164404	1
41	5.40139	0.162629	1
42	5.23264	0.165231	1
43	5.12396	0.166974	1
44	5.36864	0.163124	1
45	5.26417	0.164735	1
46	5.25152	0.164933	1
47	5.26195	0.16477	1
48	5.13748	0.166754	1
49	5.26786	0.164677	1
50	5.3118	0.163995	1
51	5.19296	0.165861	1
52	5.15494	0.166471	1
53	5.18499	0.165988	1
54	5.1425	0.166672	1
55	5.11628	0.167099	1
56	5.10854	0.167225	1
57	5.0662	0.167923	1
58	5.0425	0.168317	1
59	4.99431	0.169127	1
60	4.95984	0.169714	1
61	4.96084	0.169697	1
62	5.08229	0.167657	1
63	5.23947	0.165123	1
64	5.33823	0.163588	1
65	5.41927	0.162361	1
66	5.52203	0.160843	1
67	5.66246	0.158836	1
68	5.77898	0.157226	1
69	5.85425	0.156212	1
70	5.89283	0.1557	1
71	5.93791	0.155108	1
72	5.93565	0.155138	1
73	6.01998	0.154047	1
74	6.03103	0.153906	1
75	6.03753	0.153823	1
76	6.05578	0.153591	1
77	6.04771	0.153693	1
78	6.06611	0.15346	1
79	6.10543	0.152965	1
80	6.14969	0.152414	1
81	6.22654	0.15147	1
82	6.28307	0.150787	1
83	6.3618	0.149852	1
84	6.56988	0.147459	1
85	6.48092	0.148468	1
86	6.51556	0.148073	1
87	6.51111	0.148123	1
88	6.52314	0.147987	1
89	6.5838	0.147303	1
90	6.60336	0.147085	1
91	6.49051	0.148358	1
92	6.6352	0.146732	1
93	6.63931	0.146686	1
94	6.65434	0.146521	1
95	6.69985	0.146022	1
96	6.69013	0.146128	1
97	6.65489	0.146514	1
98	6.69456	0.14608	1
99	6.75909	0.145381	1
100	6.79218	0.145026	1
101	6.82329	0.144695	1
102	6.78639	0.145088	1
103	6.76849	0.14528	1
104	6.80635	0.144875	1
105	6.82794	0.144646	1
106	6.84116	0.144506	1
107	6.87005	0.144202	1
108	6.877	0.144129	1
109	6.90475	0.143839	1
110	6.9445	0.143427	1
111	6.95641	0.143304	1
112	6.97461	0.143117	1
113	7.02096	0.142644	1
114	7.01661	0.142688	1
115	7.04029	0.142448	1
116	7.06072	0.142242	1
117	7.05999	0.142249	1
118	7.03237	0.142528	1
119	7.02045	0.142649	1
120	6.94326	0.14344	1
121	6.91587	0.143723	1
122	6.85841	0.144324	0
123	6.82499	0.144677	0
124	6.84664	0.144448	0
125	6.84937	0.144419	0
126	6.88288	0.144067	0
127	6.91004	0.143784	0
128	6.91771	0.143704	0
129	6.95831	0.143284	0
130	6.95981	0.143269	0
131	6.94464	0.143425	0
132	6.97928	0.143069	0
133	6.92994	0.143577	0
134	6.90975	0.143787	0
135	6.93607	0.143514	0
136	6.90231	0.143865	0
137	6.93967	0.143477	0
138	6.95027	0.143367	0
139	6.94533	0.143418	0
140	6.91331	0.14375	0
141	6.89886	0.143901	0
142	6.91345	0.143749	0
143	6.9284	0.143593	0
144	6.91175	0.143766	0
145	6.88493	0.144046	0
146	6.90975	0.143787	0
147	6.96979	0.143166	0
148	6.92882	0.143589	0
149	6.80651	0.144873	0
150	6.81454	0.144788	0
151	6.64991	0.146569	0
152	6.56928	0.147466	0
153	6.53358	0.147868	0
154	6.56325	0.147534	0
155	6.55961	0.147575	0
156	6.683	0.146206	0
157	6.63482	0.146736	0
158	6.77455	0.145215	0
159	6.79154	0.145033	0
160	6.72948	0.1457	0
161	6.60375	0.147081	0
162	6.66605	0.146392	0
163	6.60491	0.147068	0
164	6.57168	0.147439	0
165	6.55759	0.147597	0
166	6.56567	0.147507	0
167	6.56486	0.147516	0
168	6.56687	0.147493	0
169	6.48703	0.148398	0
170	6.54185	0.147775	0
171	6.56285	0.147538	0
172	6.53067	0.147901	0
173	6.51662	0.148061	0
174	6.51704	0.148056	0
175	6.50983	0.148138	0
176	6.49354	0.148324	0
177	6.44912	0.148834	0
178	6.44889	0.148836	0
179	6.44866	0.148839	0
180	6.47675	0.148516	0
181	6.47917	0.148488	0
182	6.45655	0.148748	0
183	6.48921	0.148373	0
184	6.4552	0.148763	0
185	6.47124	0.148579	0
186	6.48529	0.148418	0
187	6.47741	0.148508	0
188	6.46748	0.148622	0
189	6.43248	0.149026	0
190	6.45856	0.148725	0
191	6.48114	0.148465	0
192	6.48899	0.148376	0
193	6.49137	0.148348	0
194	6.47279	0.148561	0
195	6.47587	0.148526	0
196	6.51598	0.148068	0
197	6.49699	0.148284	0
198	6.51978	0.148025	0
199	6.51047	0.148131	0
200	6.51196	0.148114	0
201	6.54678	0.147719	0
202	6.57388	0.147414	0
203	6.57667	0.147383	0
204	6.5476	0.14771	0
205	6.50813	0.148157	0
206	6.53628	0.147838	0
207	6.53648	0.147836	0
208	6.50022	0.148247	0
209	6.45273	0.148792	0
210	6.4507	0.148815	0
211	6.43867	0.148954	0
212	6.45317	0.148787	0
213	6.42209	0.149146	0
214	6.43064	0.149047	0
215	6.43615	0.148983	0
216	6.44527	0.148878	0
217	6.45587	0.148756	0
218	6.48136	0.148463	0
219	6.50578	0.148184	0
220	6.53296	0.147875	0
221	6.5342	0.147861	0
222	6.57148	0.147441	0
223	6.58775	0.147259	0
224	6.59812	0.147143	0
225	6.60356	0.147083	0
226	6.60472	0.14707	0
227	6.52566	0.147958	0
228	6.4708	0.148584	0
229	6.54965	0.147687	0
230	6.55271	0.147652	0
231	6.60877	0.147025	0
232	6.6512	0.146555	0
233	6.70406	0.145976	0
234	6.82453	0.144682	0
235	6.87656	0.144134	0
236	6.86649	0.144239	0
237	6.87921	0.144106	0
238	6.9256	0.143622	0
239	6.95464	0.143322	0
240	6.96589	0.143206	0
241	6.95899	0.143277	0
242	7.00786	0.142777	0
243	7.01751	0.142679	0
244	7.07424	0.142106	0
245	7.05741	0.142275	0
246	7.04016	0.142449	0
247	7.06708	0.142178	0
248	7.12505	0.141598	0
249	7.18083	0.141047	0
250	7.20839	0.140777	0
251	7.25195	0.140354	0
252	7.25901	0.140285	0
253	7.27912	0.140091	0
254	7.30182	0.139873	0
255	7.34204	0.13949	0
256	7.35354	0.139381	0
257	7.43527	0.138613	0
258	7.48389	0.138162	0
259	7.52602	0.137774	0
260	7.55889	0.137474	0
