Input	../Output/Countries/PER.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	19
beta0	3.24955	error	0.0834209
beta1	0.114282	error	0.00703522

X	Y	Error	Weight
0	3.44317	0.203691	1
1	3.38198	0.205525	1
2	3.68888	0.19679	1
3	3.8224	0.193323	1
4	3.78743	0.194213	1
5	3.75453	0.195062	1
6	3.86822	0.192174	1
7	3.90054	0.191377	1
8	4.04806	0.187857	1
9	3.92057	0.190887	1
10	4.24645	0.183416	1
11	4.37306	0.180742	1
12	4.52952	0.177593	1
13	4.79106	0.172677	1
14	4.78032	0.172871	1
15	4.92102	0.170382	1
16	5.03416	0.168456	1
17	5.31882	0.163887	1
18	5.4387	0.16207	1
19	5.59789	0.159749	1
20	6.06677	0.153452	0
21	6.30784	0.150491	0
22	6.42092	0.14916	0
23	6.59148	0.147218	0
24	6.61778	0.146925	0
25	6.93912	0.143482	0
26	6.95641	0.143304	0
27	6.92658	0.143612	0
28	6.94078	0.143465	0
29	6.98894	0.14297	0
30	6.9863	0.142997	0
31	7.05482	0.142301	0
32	6.83994	0.144519	0
33	6.98127	0.143049	0
34	7.01276	0.142727	0
35	7.09281	0.141919	0
36	7.06097	0.142239	0
37	7.35162	0.139399	0
38	7.43746	0.138592	0
39	7.47744	0.138221	0
40	7.55359	0.137523	0
41	7.6484	0.136668	0
42	7.7383	0.135871	0
43	7.89629	0.134505	0
44	7.80693	0.135273	0
45	7.87479	0.134689	0
46	7.88892	0.134568	0
47	7.95753	0.133987	0
48	8.00092	0.133623	0
49	8.03222	0.133362	0
50	8.02468	0.133425	0
51	8.07452	0.133013	0
52	8.02425	0.133429	0
53	8.02757	0.133401	0
54	8.00016	0.133629	0
55	8.02939	0.133386	0
56	8.05643	0.133162	0
57	8.08192	0.132952	0
58	8.11995	0.13264	0
59	8.17936	0.132157	0
60	8.2242	0.131797	0
61	8.27326	0.131405	0
62	8.28378	0.131322	0
63	8.29992	0.131194	0
64	8.26517	0.13147	0
65	8.26554	0.131467	0
66	8.28277	0.13133	0
67	8.33073	0.130951	0
68	8.37194	0.130629	0
69	8.42398	0.130224	0
70	8.45866	0.129957	0
71	8.56154	0.129174	0
72	8.64865	0.128522	0
73	8.75772	0.127719	0
74	8.79179	0.127471	0
75	8.84163	0.127111	0
76	8.72325	0.127971	0
77	8.68558	0.128248	0
78	8.62835	0.128673	0
79	8.54778	0.129278	0
80	8.4288	0.130187	0
81	8.35154	0.130788	0
82	8.2033	0.131964	0
83	8.36	0.130722	0
84	8.41469	0.130296	0
85	8.27195	0.131416	0
86	8.32883	0.130966	0
87	8.46503	0.129908	0
88	8.46728	0.129891	0
89	8.471	0.129862	0
90	8.43023	0.130176	0
91	8.34962	0.130803	0
92	8.4625	0.129928	0
93	8.38249	0.130546	0
94	8.18869	0.132082	0
95	8.15868	0.132325	0
96	8.12538	0.132596	0
97	8.13073	0.132552	0
98	8.14878	0.132405	0
99	8.15803	0.13233	0
100	8.16666	0.13226	0
101	8.15982	0.132315	0
102	8.17743	0.132173	0
103	8.15655	0.132342	0
104	8.13103	0.13255	0
105	8.11467	0.132683	0
106	8.1075	0.132742	0
107	8.10129	0.132793	0
108	8.11026	0.132719	0
109	8.11193	0.132706	0
110	8.1426	0.132455	0
111	8.15782	0.132332	0
112	8.15823	0.132328	0
113	8.14185	0.132461	0
114	8.12436	0.132604	0
115	8.12343	0.132612	0
116	8.15725	0.132336	0
117	8.16414	0.13228	0
118	8.1743	0.132198	0
119	8.18623	0.132102	0
120	8.21574	0.131864	0
121	8.24987	0.131591	0
122	8.26741	0.131452	0
123	8.27814	0.131367	0
124	8.30188	0.131179	0
125	8.32219	0.131018	0
126	8.34657	0.130827	0
127	8.37708	0.130588	0
128	8.23752	0.13169	0
129	8.06961	0.133053	0
130	8.42871	0.130188	0
131	8.45586	0.129979	0
132	8.49211	0.129701	0
133	8.34918	0.130806	0
134	8.41282	0.130311	0
135	8.41282	0.130311	0
136	8.93004	0.126481	0
137	8.73191	0.127908	0
138	8.76595	0.127659	0
139	8.81074	0.127334	0
140	8.96418	0.12624	0
141	8.99401	0.12603	0
142	8.99401	0.12603	0
143	8.85721	0.127	0
144	8.87453	0.126876	0
145	8.86966	0.12691	0
146	8.70085	0.128136	0
147	8.72644	0.127948	0
148	8.92115	0.126544	0
149	8.92115	0.126544	0
150	8.82843	0.127206	0
151	8.9286	0.126491	0
152	8.90949	0.126627	0
153	9.05019	0.125638	0
154	9.05394	0.125612	0
155	8.88901	0.126772	0
156	9.05237	0.125623	0
157	9.04669	0.125663	0
158	9.02882	0.125787	0
159	9.03845	0.12572	0
160	9.02334	0.125825	0
161	8.96841	0.12621	0
162	8.96805	0.126212	0
163	8.94886	0.126348	0
164	8.95451	0.126308	0
165	8.92911	0.126487	0
166	8.90535	0.126656	0
167	8.8688	0.126917	0
168	8.74036	0.127846	0
169	8.83612	0.127151	0
170	8.80959	0.127342	0
171	8.75208	0.12776	0
172	8.71864	0.128005	0
173	8.63911	0.128593	0
174	8.62697	0.128683	0
175	8.78278	0.127537	0
176	8.64877	0.128521	0
177	8.64626	0.12854	0
178	8.62874	0.12867	0
179	8.64173	0.128573	0
180	8.70628	0.128096	0
181	8.69546	0.128175	0
182	8.69052	0.128212	0
183	8.6515	0.128501	0
184	8.64425	0.128554	0
185	8.65155	0.1285	0
186	8.63246	0.128642	0
187	8.51819	0.129502	0
188	8.61318	0.128786	0
189	8.60716	0.128831	0
190	8.75702	0.127724	0
191	8.60395	0.128855	0
192	8.58022	0.129033	0
193	8.55661	0.129211	0
194	8.64619	0.12854	0
195	8.52352	0.129462	0
196	8.43176	0.130164	0
197	8.12787	0.132575	0
198	8.25694	0.131535	0
199	8.02626	0.133412	0
200	8.09154	0.132873	0
201	8.01985	0.133465	0
202	8.014	0.133514	0
203	7.99838	0.133644	0
204	7.9733	0.133854	0
205	8.1615	0.132302	0
206	8.28713	0.131295	0
207	8.09743	0.132824	0
208	8.13886	0.132486	0
209	8.00851	0.13356	0
210	8.14314	0.132451	0
211	8.01235	0.133528	0
212	7.75479	0.135727	0
213	7.7455	0.135808	0
214	7.82427	0.135123	0
215	7.78928	0.135426	0
216	7.96475	0.133926	0
217	7.96435	0.133929	0
218	7.96435	0.133929	0
219	7.99193	0.133698	0
220	8.10453	0.132766	0
221	7.95958	0.13397	0
222	7.94236	0.134115	0
223	7.87305	0.134704	0
224	7.67336	0.136445	0
225	7.83643	0.135018	0
226	7.79882	0.135343	0
227	7.58564	0.137232	0
228	7.58564	0.137232	0
229	7.44082	0.138561	0
230	7.92143	0.134292	0
231	7.94722	0.134074	0
232	7.80256	0.135311	0
233	7.81388	0.135213	0
234	7.82445	0.135121	0
235	7.94904	0.134058	0
236	8.00751	0.133568	0
237	7.57515	0.137327	0
238	7.5484	0.13757	0
239	7.70365	0.136177	0
240	7.67965	0.136389	0
241	7.66247	0.136542	0
242	7.6482	0.136669	0
243	7.65248	0.136631	0
244	7.63599	0.136779	0
245	7.44048	0.138564	0
246	7.57778	0.137303	0
247	7.69822	0.136225	0
248	7.5407	0.13764	0
249	7.50021	0.138011	0
250	7.47055	0.138285	0
251	7.48821	0.138122	0
252	7.48821	0.138122	0
253	7.48196	0.138179	0
254	7.47039	0.138286	0
255	7.63247	0.13681	0
256	7.51597	0.137866	0
257	7.53048	0.137734	0
258	7.37472	0.13918	0
259	7.64533	0.136695	0
260	7.3347	0.13956	0
261	7.31246	0.139772	0
262	7.28011	0.140082	0
263	7.39388	0.139	0
