Input	../Output/Countries/PHL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	13
beta0	3.6177	error	0.094989
beta1	0.177277	error	0.0116694

X	Y	Error	Weight
0	3.53474	0.201035	1
1	3.8224	0.193323	1
2	3.95399	0.190079	1
3	4.12713	0.186049	1
4	4.2485	0.183372	1
5	4.40497	0.180086	1
6	4.69788	0.174381	1
7	4.99914	0.169045	1
8	5.0425	0.168317	1
9	5.38842	0.162825	1
10	5.47766	0.161493	1
11	5.61729	0.159473	1
12	5.7571	0.157525	1
13	5.66445	0.158808	1
14	5.56507	0.16022	0
15	5.71043	0.158167	0
16	5.48064	0.161449	0
17	5.40589	0.162561	0
18	5.32857	0.163737	0
19	5.12481	0.16696	0
20	5.25002	0.164957	0
21	5.29975	0.164181	0
22	5.20243	0.16571	0
23	5.3396	0.163567	0
24	5.42117	0.162332	0
25	5.4218	0.162323	0
26	5.48243	0.161423	0
27	5.46806	0.161635	0
28	5.4387	0.16207	0
29	5.38515	0.162874	0
30	5.28102	0.164472	0
31	5.19057	0.165899	0
32	5.24023	0.165111	0
33	5.23492	0.165195	0
34	5.14999	0.166551	0
35	5.23947	0.165123	0
36	5.23796	0.165147	0
37	5.2686	0.164666	0
38	5.36864	0.163124	0
39	5.37197	0.163074	0
40	5.41927	0.162361	0
41	5.45288	0.161859	0
42	5.45898	0.161769	0
43	5.49717	0.161206	0
44	5.50765	0.161053	0
45	5.54518	0.160507	0
46	5.57973	0.160009	0
47	5.48716	0.161353	0
48	5.48183	0.161431	0
49	5.41356	0.162446	0
50	5.43247	0.162163	0
51	5.47227	0.161572	0
52	5.44056	0.162043	0
53	5.38907	0.162815	0
54	5.4492	0.161914	0
55	5.48953	0.161318	0
56	5.50359	0.161112	0
57	5.45165	0.161878	0
58	5.42684	0.162247	0
59	5.43372	0.162145	0
60	5.40525	0.162571	0
61	5.3713	0.163084	0
62	5.34847	0.163432	0
63	5.38187	0.162924	0
64	5.43247	0.162163	0
65	5.50823	0.161044	0
66	5.56507	0.16022	0
67	5.72917	0.157908	0
68	6.07271	0.153377	0
69	6.19935	0.151802	0
70	6.36081	0.149863	0
71	6.42487	0.149114	0
72	6.42695	0.14909	0
73	6.5092	0.148145	0
74	6.52921	0.147918	0
75	6.34614	0.150036	0
76	6.37673	0.149676	0
77	6.29921	0.150594	0
78	6.30628	0.15051	0
79	6.34689	0.150027	0
80	6.34413	0.15006	0
81	6.295	0.150644	0
82	6.3876	0.149549	0
83	6.36106	0.14986	0
84	6.35685	0.14991	0
85	6.33455	0.150173	0
86	6.29395	0.150657	0
87	6.21632	0.151595	0
88	6.24942	0.151193	0
89	6.26258	0.151034	0
90	6.35014	0.149989	0
91	6.37818	0.149659	0
92	6.41158	0.149269	0
93	6.58004	0.147345	0
94	6.58262	0.147317	0
95	6.62387	0.146857	0
96	6.68711	0.146161	0
97	6.6488	0.146582	0
98	6.6488	0.146582	0
99	6.71209	0.145889	0
100	6.70038	0.146016	0
101	6.78897	0.14506	0
102	6.70861	0.145927	0
103	6.7965	0.14498	0
104	6.9116	0.143768	0
105	7.13648	0.141484	0
106	7.25387	0.140335	0
107	7.2997	0.139894	0
108	7.434	0.138624	0
109	7.52286	0.137803	0
110	7.49379	0.13807	0
111	7.4789	0.138208	0
112	7.44717	0.138502	0
113	7.32956	0.139609	0
114	7.23108	0.140556	0
115	7.10085	0.141839	0
116	7.2144	0.140718	0
117	7.27309	0.140149	0
118	7.36717	0.139252	0
119	7.37749	0.139154	0
120	7.43771	0.13859	0
121	7.5435	0.137615	0
122	7.55852	0.137478	0
123	7.53629	0.13768	0
124	7.5603	0.137462	0
125	7.53507	0.137692	0
126	7.52618	0.137773	0
127	7.53766	0.137668	0
128	7.51977	0.137832	0
129	7.54335	0.137616	0
130	7.66883	0.136485	0
131	7.78975	0.135422	0
132	7.94854	0.134063	0
133	8.08584	0.132919	0
134	8.15191	0.13238	0
135	8.32638	0.130985	0
136	8.37937	0.130571	0
137	8.3659	0.130676	0
138	8.34284	0.130856	0
139	8.3171	0.131058	0
140	8.24756	0.13161	0
141	8.37326	0.130618	0
142	8.25564	0.131545	0
143	8.28576	0.131306	0
144	8.2964	0.131222	0
145	8.3928	0.130466	0
146	8.3969	0.130434	0
147	8.40674	0.130358	0
148	8.28818	0.131287	0
149	8.35215	0.130783	0
150	8.36388	0.130691	0
151	8.37944	0.13057	0
