Input	../Output/Countries/PRT.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	14
beta0	3.66673	error	0.0906345
beta1	0.210581	error	0.010245

X	Y	Error	Weight
0	3.42472	0.204239	1
1	3.7612	0.194889	1
2	4.0629	0.187514	1
3	4.01766	0.188566	1
4	4.64164	0.175435	1
5	4.86533	0.171354	1
6	5.0671	0.167908	1
7	5.26564	0.164712	1
8	5.50939	0.161027	1
9	5.61104	0.159562	1
10	5.89676	0.155648	1
11	5.97671	0.154604	1
12	6.13988	0.152535	1
13	6.32025	0.150343	1
14	6.43478	0.148999	1
15	6.43156	0.149037	0
16	6.58735	0.147264	0
17	6.62122	0.146887	0
18	6.66477	0.146406	0
19	6.68782	0.146153	0
20	6.63969	0.146682	0
21	6.63257	0.146761	0
22	6.6337	0.146748	0
23	6.57108	0.147446	0
24	6.54904	0.147694	0
25	6.55556	0.14762	0
26	6.68211	0.146216	0
27	6.65984	0.14646	0
28	6.63087	0.14678	0
29	6.61127	0.146997	0
30	6.57248	0.14743	0
31	6.56123	0.147556	0
32	6.54801	0.147705	0
33	6.22879	0.151443	0
34	6.26964	0.150949	0
35	6.2486	0.151203	0
36	6.33023	0.150225	0
37	6.33074	0.150219	0
38	6.32051	0.15034	0
39	6.21803	0.151574	0
40	6.29025	0.150701	0
41	6.27207	0.15092	0
42	6.25876	0.15108	0
43	6.11368	0.152862	0
44	6.04128	0.153775	0
45	5.88729	0.155773	0
46	5.95213	0.154923	0
47	5.89951	0.155612	0
48	5.54852	0.160458	0
49	5.31109	0.164006	0
50	5.36531	0.163175	0
51	5.28393	0.164427	0
52	5.47885	0.161475	0
53	5.47467	0.161537	0
54	5.61261	0.15954	0
55	5.75755	0.157519	0
56	5.79432	0.157018	0
57	5.72964	0.157902	0
58	5.75529	0.15755	0
59	5.62967	0.159298	0
60	5.43435	0.162135	0
61	5.23568	0.165183	0
62	5.30117	0.164159	0
63	5.33685	0.163609	0
64	5.38711	0.162844	0
65	5.3799	0.162954	0
66	5.38581	0.162864	0
67	5.42746	0.162238	0
68	5.44242	0.162015	0
69	5.46927	0.161617	0
70	5.42369	0.162294	0
71	5.41864	0.16237	0
72	5.4161	0.162408	0
73	5.45165	0.161878	0
74	5.48301	0.161414	0
75	5.51917	0.160884	0
76	5.51112	0.161002	0
77	5.59152	0.15984	0
78	5.60999	0.159577	0
79	5.59736	0.159757	0
80	5.63937	0.159161	0
81	5.65299	0.158969	0
82	5.66643	0.15878	0
83	5.72638	0.157947	0
84	5.74712	0.157662	0
85	5.74346	0.157712	0
86	5.84189	0.156378	0
87	5.81157	0.156785	0
88	5.80255	0.156907	0
89	5.75529	0.15755	0
90	5.70948	0.15818	0
91	5.65349	0.158962	0
92	5.72778	0.157928	0
93	5.66988	0.158732	0
94	5.69036	0.158446	0
95	5.74071	0.15775	0
96	5.78777	0.157107	0
97	5.8281	0.156562	0
98	5.85507	0.156201	0
99	5.81881	0.156687	0
100	5.83773	0.156433	0
101	5.85056	0.156262	0
102	5.806	0.15686	0
103	5.83815	0.156428	0
104	5.81541	0.156733	0
105	5.88332	0.155826	0
106	5.8861	0.155789	0
107	5.83898	0.156416	0
108	5.81626	0.156722	0
109	5.82347	0.156625	0
110	5.7904	0.157071	0
111	5.82895	0.156551	0
112	5.77322	0.157305	0
113	5.758	0.157513	0
114	5.78383	0.15716	0
115	5.83939	0.156411	0
116	5.87613	0.155921	0
117	5.88729	0.155773	0
118	5.93716	0.155118	0
119	5.92311	0.155302	0
120	5.95101	0.154937	0
121	5.93073	0.155202	0
122	5.90458	0.155545	0
123	5.87333	0.155958	0
124	5.83648	0.15645	0
125	5.73611	0.157813	0
126	5.71515	0.158102	0
127	5.63121	0.159276	0
128	5.57541	0.160071	0
129	5.50649	0.16107	0
130	5.44056	0.162043	0
131	5.44118	0.162033	0
132	5.40973	0.162504	0
133	5.38581	0.162864	0
134	5.38581	0.162864	0
135	5.37528	0.163024	0
136	5.34233	0.163525	0
137	5.35995	0.163257	0
138	5.28393	0.164427	0
139	5.26564	0.164712	0
140	5.22344	0.165376	0
141	5.20086	0.165735	0
142	5.20165	0.165722	0
143	5.17292	0.166182	0
144	5.13832	0.16674	0
145	5.20792	0.165622	0
146	5.16642	0.166286	0
147	5.14833	0.166578	0
148	5.18978	0.165912	0
149	5.19612	0.16581	0
150	5.2803	0.164483	0
151	5.35861	0.163277	0
152	5.32092	0.163854	0
153	5.32926	0.163726	0
154	5.32231	0.163833	0
155	5.30473	0.164104	0
156	5.36931	0.163114	0
157	5.35254	0.16337	0
158	5.32926	0.163726	0
159	5.31812	0.163897	0
160	5.34779	0.163442	0
161	5.36397	0.163195	0
162	5.35793	0.163287	0
163	5.34302	0.163515	0
164	5.41483	0.162427	0
165	5.48123	0.16144	0
166	5.58403	0.159947	0
167	5.65299	0.158969	0
168	5.73703	0.1578	0
169	5.79127	0.157059	0
170	5.80814	0.156831	0
171	5.82008	0.15667	0
172	5.8281	0.156562	0
173	5.83021	0.156534	0
174	5.87613	0.155921	0
175	5.87413	0.155948	0
176	5.87613	0.155921	0
177	5.93716	0.155118	0
178	6.02931	0.153928	0
179	6.08515	0.15322	0
180	6.1726	0.152131	0
181	6.17587	0.15209	0
182	6.27691	0.150861	0
183	6.37015	0.149753	0
184	6.37915	0.149647	0
185	6.36917	0.149765	0
186	6.41346	0.149247	0
187	6.43501	0.148997	0
188	6.51259	0.148106	0
189	6.4866	0.148403	0
190	6.48877	0.148378	0
191	6.49699	0.148284	0
192	6.53855	0.147812	0
193	6.52209	0.147999	0
194	6.54678	0.147719	0
195	6.55393	0.147639	0
196	6.57667	0.147383	0
197	6.53648	0.147836	0
198	6.58202	0.147323	0
199	6.58657	0.147272	0
200	6.61817	0.14692	0
201	6.61606	0.146944	0
202	6.63106	0.146777	0
203	6.6751	0.146292	0
204	6.72931	0.145702	0
205	6.68372	0.146198	0
206	6.70477	0.145969	0
207	6.77634	0.145196	0
208	6.85556	0.144354	0
209	6.95341	0.143335	0
210	6.97848	0.143077	0
211	7.04478	0.142402	0
212	7.13762	0.141473	0
213	7.25811	0.140294	0
214	7.33768	0.139531	0
215	7.44458	0.138526	0
216	7.48605	0.138142	0
217	7.54562	0.137595	0
218	7.59711	0.137128	0
219	7.64389	0.136708	0
220	7.67508	0.13643	0
221	7.74975	0.135771	0
222	7.76751	0.135616	0
223	7.85521	0.134857	0
224	7.89437	0.134522	0
225	7.92055	0.134299	0
226	7.99179	0.133699	0
227	8.05837	0.133146	0
228	8.1006	0.132798	0
229	8.17398	0.132201	0
230	8.1875	0.132092	0
231	8.20658	0.131938	0
232	8.20888	0.13192	0
233	8.18116	0.132143	0
234	8.31343	0.131087	0
235	8.31993	0.131036	0
236	8.35056	0.130796	0
237	8.4357	0.130134	0
238	8.51671	0.129514	0
239	8.56115	0.129177	0
240	8.594	0.12893	0
241	8.5238	0.12946	0
242	8.56356	0.129159	0
243	8.5932	0.128936	0
244	8.5922	0.128943	0
245	8.59883	0.128894	0
246	8.7055	0.128101	0
247	8.72041	0.127992	0
248	8.74246	0.12783	0
249	8.76846	0.127641	0
250	8.76481	0.127667	0
251	8.76191	0.127688	0
252	8.73362	0.127895	0
253	8.62874	0.12867	0
254	8.61502	0.128772	0
255	8.59933	0.12889	0
256	8.58311	0.129012	0
257	8.55476	0.129225	0
258	8.50962	0.129567	0
259	8.48941	0.129722	0
260	8.46617	0.129899	0
261	8.41945	0.130259	0
262	8.35753	0.130741	0
263	8.26594	0.131463	0
264	8.24707	0.131614	0
265	8.29169	0.131259	0
266	8.28238	0.131333	0
267	8.25805	0.131526	0
