Input	../Output/Countries/RUS.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	31
beta0	3.86488	error	0.0594952
beta1	0.154026	error	0.00301053

X	Y	Error	Weight
0	3.56349	0.200223	1
1	3.77113	0.194633	1
2	3.90629	0.191236	1
3	3.9969	0.189056	1
4	4.29046	0.182473	1
5	4.51712	0.177836	1
6	4.71722	0.174023	1
7	4.91894	0.170418	1
8	5.11628	0.167099	1
9	5.29689	0.164226	1
10	5.5727	0.16011	1
11	5.71279	0.158135	1
12	5.95805	0.154846	1
13	6.09743	0.153066	1
14	6.20514	0.151731	1
15	6.31122	0.150451	1
16	6.46748	0.148622	1
17	6.60278	0.147091	1
18	6.73595	0.14563	1
19	6.84634	0.144451	1
20	7.01186	0.142736	1
21	7.1426	0.141424	1
22	7.30182	0.139873	1
23	7.4455	0.138517	1
24	7.57228	0.137353	1
25	7.72299	0.136006	1
26	7.84144	0.134975	1
27	7.96212	0.133948	1
28	8.10638	0.132751	1
29	8.26075	0.131505	1
30	8.32198	0.13102	1
31	8.41693	0.130279	1
32	8.47366	0.129842	0
33	8.51247	0.129546	0
34	8.56228	0.129168	0
35	8.59402	0.12893	0
36	8.60195	0.12887	0
37	8.65137	0.128502	0
38	8.67041	0.12836	0
39	8.68513	0.128252	0
40	8.73977	0.12785	0
41	8.78633	0.127511	0
42	8.86313	0.126957	0
43	8.94596	0.126368	0
44	9.02437	0.125818	0
45	9.08594	0.125391	0
46	9.1595	0.124886	0
47	9.21975	0.124478	0
48	9.25815	0.124219	0
49	9.27428	0.124111	0
50	9.27935	0.124077	0
51	9.29358	0.123982	0
52	9.304	0.123913	0
53	9.29707	0.123959	0
54	9.28047	0.12407	0
55	9.27912	0.124079	0
56	9.25732	0.124225	0
57	9.2394	0.124345	0
58	9.20078	0.124606	0
59	9.1769	0.124768	0
60	9.15805	0.124896	0
61	9.14097	0.125013	0
62	9.11454	0.125194	0
63	9.11821	0.125169	0
64	9.10067	0.125289	0
65	9.10099	0.125287	0
66	9.09543	0.125326	0
67	9.08858	0.125373	0
68	9.08083	0.125426	0
69	9.07558	0.125462	0
70	9.06767	0.125517	0
71	9.07864	0.125441	0
72	9.07109	0.125493	0
73	9.07016	0.1255	0
74	9.07329	0.125478	0
75	9.08067	0.125427	0
76	9.08304	0.125411	0
77	9.08132	0.125423	0
78	9.07648	0.125456	0
79	9.08437	0.125402	0
80	9.07997	0.125432	0
81	9.07776	0.125447	0
82	9.077	0.125453	0
83	9.08096	0.125425	0
84	9.07854	0.125442	0
85	9.07589	0.12546	0
86	9.06351	0.125546	0
87	9.05777	0.125586	0
88	9.04826	0.125652	0
89	9.03123	0.12577	0
90	9.01417	0.125889	0
91	8.99969	0.12599	0
92	8.98024	0.126127	0
