Input	../Output/Countries/RWA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	35
beta0	3.28751	error	0.0672464
beta1	0.0105426	error	0.00325649

X	Y	Error	Weight
0	3.42005	0.204378	1
1	3.47905	0.202638	1
2	3.41069	0.204659	1
3	3.4154	0.204517	1
4	3.46126	0.203158	1
5	3.42005	0.204378	1
6	3.37711	0.205674	1
7	2.77259	0.226991	1
8	3.04452	0.216616	1
9	3.07796	0.215437	1
10	3.04452	0.216616	1
11	3.19577	0.211428	1
12	3.38679	0.205379	1
13	3.50083	0.202007	1
14	3.63382	0.198276	1
15	3.55125	0.200567	1
16	3.5389	0.200917	1
17	3.62623	0.198483	1
18	3.50514	0.201882	1
19	3.53474	0.201035	1
20	3.55535	0.200452	1
21	3.57954	0.199773	1
22	3.53056	0.201154	1
23	3.59143	0.199442	1
24	3.52215	0.201394	1
25	3.55125	0.200567	1
26	3.4154	0.204517	1
27	3.53056	0.201154	1
28	3.57554	0.199885	1
29	3.6562	0.197668	1
30	3.66722	0.197371	1
31	3.70305	0.196413	1
32	3.73426	0.195591	1
33	3.72398	0.195861	1
34	3.5389	0.200917	1
35	3.4154	0.204517	1
36	3.20737	0.211046	0
37	3.00286	0.218114	0
38	2.81625	0.225225	0
39	2.71754	0.229278	0
40	2.57589	0.235498	0
41	2.41081	0.243427	0
42	2.14838	0.257867	0
43	2.33078	0.247571	0
44	2.49675	0.239201	0
45	2.5427	0.23703	0
46	3.16002	0.212621	0
47	3.43859	0.203827	0
48	3.80029	0.193884	0
49	4.0151	0.188626	0
50	4.06044	0.18757	0
51	4.17439	0.184993	0
52	4.30213	0.182226	0
53	4.24235	0.183505	0
54	4.34008	0.181427	0
55	4.50929	0.177991	0
56	4.69528	0.17443	0
57	4.92102	0.170382	0
58	4.94266	0.170008	0
59	4.9158	0.170472	0
60	4.92311	0.170346	0
61	4.91476	0.17049	0
62	4.89035	0.170915	0
63	4.68345	0.17465	0
64	4.45932	0.178985	0
65	4.43928	0.179389	0
66	4.42228	0.179733	0
67	4.3856	0.180483	0
68	4.28063	0.182683	0
69	3.92338	0.190819	0
70	3.90054	0.191377	0
71	3.74783	0.195236	0
72	3.54302	0.2008	0
73	3.46574	0.203027	0
74	3.49216	0.202257	0
75	3.42936	0.204101	0
76	3.43399	0.203963	0
77	3.31676	0.207536	0
78	3.27446	0.208872	0
79	3.21314	0.210856	0
80	3.21314	0.210856	0
81	2.97405	0.219168	0
82	2.87435	0.222936	0
83	2.84159	0.224218	0
84	2.84159	0.224218	0
85	2.79031	0.226269	0
86	3.03081	0.217106	0
87	2.96677	0.219437	0
88	2.89829	0.222014	0
89	2.85813	0.223568	0
90	2.74541	0.228112	0
91	2.75455	0.227733	0
92	2.63906	0.232663	0
93	2.16493	0.256879	0
94	2.04304	0.264431	0
95	1.94591	0.27095	0
96	1.76764	0.284285	0
97	1.88267	0.275464	0
98	1.60944	0.29793	0
99	1.66506	0.292911	0
100	1.81531	0.280527	0
101	1.79176	0.282365	0
102	1.81531	0.280527	0
103	1.74292	0.286294	0
104	1.45535	0.313305	0
105	1.69175	0.290591	0
106	1.60944	0.29793	0
107	2.09716	0.260997	0
108	2.27357	0.250667	0
109	2.37155	0.245434	0
110	2.42356	0.242786	0
111	2.41081	0.243427	0
112	2.52003	0.238094	0
113	2.53139	0.237559	0
114	2.33078	0.247571	0
115	2.21299	0.254075	0
116	2.52003	0.238094	0
117	2.5427	0.23703	0
118	2.57589	0.235498	0
119	2.4485	0.241547	0
120	2.53139	0.237559	0
121	2.81625	0.225225	0
122	2.79031	0.226269	0
123	2.46079	0.240943	0
124	2.3979	0.244082	0
125	2.43615	0.242158	0
126	2.46079	0.240943	0
127	2.41081	0.243427	0
128	1.86082	0.277076	0
129	2.16493	0.256879	0
130	2.35811	0.246132	0
131	2.38481	0.244751	0
132	2.38481	0.244751	0
133	2.52003	0.238094	0
134	2.65928	0.231776	0
135	2.98133	0.2189	0
136	2.89829	0.222014	0
137	3.09104	0.21498	0
138	3.25258	0.209574	0
139	3.50514	0.201882	0
140	3.57153	0.199997	0
141	3.55535	0.200452	0
142	3.49651	0.202131	0
143	3.58748	0.199552	0
144	3.46574	0.203027	0
145	3.47463	0.202767	0
146	3.4012	0.204944	0
147	3.51366	0.201637	0
148	3.54714	0.200683	0
149	3.51791	0.201515	0
150	3.6853	0.196886	0
151	3.71008	0.196227	0
152	3.6562	0.197668	0
153	3.59143	0.199442	0
154	3.39162	0.205233	0
155	3.34237	0.20674	0
156	3.42472	0.204239	0
157	3.12926	0.213663	0
158	3.19577	0.211428	0
159	3.31676	0.207536	0
160	3.4012	0.204944	0
161	3.60316	0.199117	0
