Input	../Output/Countries/SDN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	29
beta0	3.72106	error	0.0669056
beta1	0.0630191	error	0.00377681

X	Y	Error	Weight
0	3.40595	0.204801	1
1	3.51366	0.201637	1
2	3.64508	0.197969	1
3	3.93742	0.190478	1
4	3.99163	0.18918	1
5	3.9262	0.19075	1
6	4.05302	0.187742	1
7	4.18531	0.184751	1
8	4.22161	0.183955	1
9	4.2444	0.183461	1
10	4.41366	0.179908	1
11	4.40322	0.180121	1
12	4.70437	0.174261	1
13	4.79697	0.172571	1
14	4.83742	0.171848	1
15	4.92725	0.170274	1
16	4.84306	0.171748	1
17	4.80285	0.172465	1
18	5.07963	0.167701	1
19	4.8828	0.171047	1
20	5.02482	0.168613	1
21	5.0267	0.168581	1
22	4.86753	0.171315	1
23	5.23947	0.165123	1
24	5.30827	0.164049	1
25	5.25377	0.164898	1
26	5.38776	0.162835	1
27	5.28754	0.164371	1
28	5.18339	0.166014	1
29	5.44304	0.162006	1
30	5.15081	0.166538	0
31	5.0955	0.167439	0
32	5.12056	0.167029	0
33	5.14916	0.166565	0
34	5.14166	0.166686	0
35	5.25002	0.164957	0
36	5.10421	0.167296	0
37	5.2752	0.164563	0
38	5.25749	0.16484	0
39	5.20949	0.165597	0
40	5.01538	0.168771	0
41	5.02857	0.16855	0
42	5.07249	0.167819	0
43	5.04158	0.168332	0
44	4.97772	0.169409	0
45	4.97575	0.169442	0
46	4.88497	0.171009	0
47	5.09199	0.167497	0
48	5.13832	0.16674	0
49	5.23416	0.165207	0
50	5.3251	0.16379	0
51	5.21649	0.165486	0
52	5.3244	0.163801	0
53	5.41483	0.162427	0
54	5.26933	0.164654	0
55	5.19534	0.165823	0
56	5.10074	0.167353	0
57	4.82143	0.172132	0
58	4.92518	0.17031	0
59	4.90104	0.170729	0
60	4.57176	0.17677	0
61	4.57176	0.17677	0
62	4.38024	0.180594	0
63	3.96217	0.189882	0
64	4.58204	0.176572	0
65	4.43252	0.179525	0
66	4.06044	0.18757	0
67	4.2885	0.182515	0
68	4.2885	0.182515	0
69	4.51086	0.17796	0
70	4.66074	0.175075	0
71	4.29046	0.182473	0
72	4.4257	0.179664	0
73	4.34751	0.181272	0
74	4.23411	0.183683	0
75	4.23411	0.183683	0
76	4.0991	0.186684	0
77	4.09434	0.186792	0
78	4.14766	0.185588	0
79	3.96488	0.189817	0
80	3.83175	0.193087	0
81	4.12251	0.186153	0
82	4.66344	0.175024	0
83	4.57028	0.176799	0
84	4.40846	0.180014	0
85	4.61936	0.175857	0
86	4.61936	0.175857	0
87	4.70695	0.174213	0
88	4.60945	0.176046	0
89	4.0279	0.188327	0
90	4.12251	0.186153	0
91	4.27667	0.182767	0
92	3.61092	0.198903	0
93	3.61092	0.198903	0
94	3.8889	0.191663	0
95	3.92057	0.190887	0
96	3.92057	0.190887	0
97	3.80348	0.193803	0
98	3.70305	0.196413	0
99	3.70305	0.196413	0
100	3.70305	0.196413	0
101	3.57554	0.199885	0
102	3.10396	0.214532	0
103	3.43859	0.203827	0
104	3.43859	0.203827	0
105	3.58748	0.199552	0
106	3.58748	0.199552	0
107	3.86822	0.192174	0
108	3.64508	0.197969	0
109	3.813	0.193561	0
110	3.93463	0.190546	0
111	4.17218	0.185042	0
112	4.16777	0.18514	0
113	4.29437	0.18239	0
114	4.20041	0.184419	0
115	4.18749	0.184703	0
116	4.20895	0.184232	0
117	4.31175	0.182022	0
118	4.2546	0.18324	0
119	4.24645	0.183416	0
120	4.11322	0.186363	0
121	4.19182	0.184608	0
122	4.18313	0.184799	0
123	4.28261	0.18264	0
124	3.92057	0.190887	0
125	3.71008	0.196227	0
126	3.42472	0.204239	0
127	3.42472	0.204239	0
128	3.02388	0.217354	0
129	2.72694	0.228883	0
130	3.43859	0.203827	0
131	3.56753	0.200109	0
132	3.56753	0.200109	0
133	3.56753	0.200109	0
134	3.56753	0.200109	0
135	3.56753	0.200109	0
136	3.69245	0.196695	0
137	2.19722	0.254984	0
138	2.42356	0.242786	0
139	2.63906	0.232663	0
140	2.63906	0.232663	0
141	2.63906	0.232663	0
142	2.63906	0.232663	0
143	2.22851	0.253188	0
144	2.22851	0.253188	0
145	1.71758	0.288399	0
146	1.04977	0.368896	0
147	1.81531	0.280527	0
148	1.81531	0.280527	0
149	2.09716	0.260997	0
150	2.09716	0.260997	0
151	2.31678	0.248318	0
152	1.98595	0.268205	0
153	1.98595	0.268205	0
154	2.18121	0.255919	0
155	2.18121	0.255919	0
156	2.16493	0.256879	0
157	2.16493	0.256879	0
158	1.9042	0.273902	0
159	1.9042	0.273902	0
160	1.9042	0.273902	0
161	0.618962	0.480418	0
162	1.38629	0.321013	0
163	0.88748	0.40121	0
164	0.88748	0.40121	0
165	0.88748	0.40121	0
166	1.04977	0.368896	0
167	1.69175	0.290591	0
168	1.69175	0.290591	0
169	1.18967	0.346527	0
170	1.09861	0.360603	0
171	1.09861	0.360603	0
172	1.09861	0.360603	0
173	1.23227	0.340485	0
174	1.55054	0.303536	0
175	1.55054	0.303536	0
176	1.55054	0.303536	0
177	1.55054	0.303536	0
178	1.55054	0.303536	0
179	1.98595	0.268205	0
180	1.86082	0.277076	0
181	1.18967	0.346527	0
182	1.18967	0.346527	0
183	1.76764	0.284285	0
184	1.92527	0.272399	0
185	2.43615	0.242158	0
186	2.18121	0.255919	0
187	2.3979	0.244082	0
188	2.83321	0.224549	0
189	3.11667	0.214095	0
190	3.23589	0.210114	0
191	3.19577	0.211428	0
192	2.98856	0.218635	0
193	2.98856	0.218635	0
194	3.6562	0.197668	0
195	3.72052	0.195952	0
196	3.57554	0.199885	0
197	4.05302	0.187742	0
198	4.18097	0.184847	0
199	4.18097	0.184847	0
200	4.18097	0.184847	0
201	4.33822	0.181466	0
202	4.40497	0.180086	0
203	4.84756	0.171668	0
204	4.6066	0.176101	0
205	4.85426	0.171549	0
206	5.08318	0.167642	0
207	5.3251	0.16379	0
208	5.31672	0.163919	0
209	5.2425	0.165075	0
210	5.28682	0.164382	0
211	5.4331	0.162154	0
212	5.40973	0.162504	0
213	5.25002	0.164957	0
214	5.40973	0.162504	0
215	5.26343	0.164747	0
216	5.52602	0.160785	0
217	5.44056	0.162043	0
218	5.43497	0.162126	0
219	5.47527	0.161528	0
220	5.47527	0.161528	0
221	5.54518	0.160507	0
222	5.68649	0.1585	0
223	5.62298	0.159392	0
