Input	../Output/Countries/SEN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	125
beta0	4.33204	error	0.0319071
beta1	0.00419978	error	0.000435572

X	Y	Error	Weight
0	3.63003	0.198379	1
1	3.77113	0.194633	1
2	3.93742	0.190478	1
3	4.07268	0.187288	1
4	4.14086	0.18574	1
5	4.17218	0.185042	1
6	4.2258	0.183864	1
7	4.27069	0.182895	1
8	4.29046	0.182473	1
9	4.33636	0.181505	1
10	4.28063	0.182683	1
11	4.36582	0.180891	1
12	4.38024	0.180594	1
13	4.32129	0.181821	1
14	4.306	0.182144	1
15	4.32129	0.181821	1
16	4.47571	0.178657	1
17	4.55538	0.177088	1
18	4.56435	0.176914	1
19	4.60087	0.17621	1
20	4.6861	0.1746	1
21	4.73243	0.173744	1
22	4.70178	0.174309	1
23	4.54329	0.177323	1
24	4.48703	0.178432	1
25	4.46591	0.178853	1
26	4.48864	0.1784	1
27	4.44935	0.179186	1
28	4.35854	0.181042	1
29	4.39445	0.180301	1
30	4.42741	0.179629	1
31	4.35304	0.181157	1
32	4.3438	0.181349	1
33	4.33822	0.181466	1
34	4.30792	0.182103	1
35	4.38024	0.180594	1
36	4.44769	0.179219	1
37	4.46591	0.178853	1
38	4.56881	0.176827	1
39	4.57471	0.176713	1
40	4.56584	0.176885	1
41	4.64164	0.175435	1
42	4.62497	0.17575	1
43	4.58058	0.1766	1
44	4.58788	0.176459	1
45	4.57618	0.176685	1
46	4.61653	0.175911	1
47	4.65804	0.175126	1
48	4.59944	0.176237	1
49	4.67015	0.174898	1
50	4.69003	0.174527	1
51	4.66881	0.174923	1
52	4.64851	0.175305	1
53	4.64576	0.175357	1
54	4.62777	0.175697	1
55	4.72358	0.173906	1
56	4.72232	0.173929	1
57	4.7362	0.173674	1
58	4.73494	0.173698	1
59	4.72232	0.173929	1
60	4.6874	0.174576	1
61	4.68478	0.174625	1
62	4.62637	0.175724	1
63	4.57028	0.176799	1
64	4.60231	0.176183	1
65	4.64439	0.175383	1
66	4.6861	0.1746	1
67	4.73369	0.173721	1
68	4.76462	0.173156	1
69	4.75112	0.173402	1
70	4.75482	0.173334	1
71	4.75605	0.173312	1
72	4.71339	0.174094	1
73	4.67948	0.174724	1
74	4.64987	0.175279	1
75	4.64714	0.175331	1
76	4.63056	0.175644	1
77	4.66344	0.175024	1
78	4.65396	0.175202	1
79	4.63334	0.175592	1
80	4.59944	0.176237	1
81	4.62216	0.175804	1
82	4.60087	0.17621	1
83	4.54935	0.177205	1
84	4.53872	0.177413	1
85	4.56881	0.176827	1
86	4.67416	0.174823	1
87	4.66344	0.175024	1
88	4.67683	0.174773	1
89	4.71978	0.173976	1
90	4.83174	0.171949	1
91	4.83742	0.171848	1
92	4.82374	0.172091	1
93	4.7585	0.173267	1
94	4.7634	0.173178	1
