Input	../Output/Countries/SGP.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	18
beta0	3.55561	error	0.0863472
beta1	0.0441664	error	0.00798226

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.4878	0.202383	1
2	3.63759	0.198173	1
3	3.73084	0.195681	1
4	3.81615	0.193481	1
5	3.87714	0.191953	1
6	3.90341	0.191306	1
7	3.96759	0.189753	1
8	4.01766	0.188566	1
9	3.96759	0.189753	1
10	3.96217	0.189882	1
11	3.96488	0.189817	1
12	3.95673	0.190013	1
13	3.9995	0.188994	1
14	4.01252	0.188687	1
15	4.19613	0.184513	1
16	4.26066	0.18311	1
17	4.37306	0.180742	1
18	4.48864	0.1784	1
19	4.81218	0.172298	0
20	4.95583	0.169782	0
21	5.0662	0.167923	0
22	5.16315	0.166339	0
23	5.39558	0.162717	0
24	5.53339	0.160678	0
25	5.69229	0.158419	0
26	5.88491	0.155805	0
27	6.04094	0.15378	0
28	6.26828	0.150965	0
29	6.36204	0.149849	0
30	6.5903	0.147231	0
31	6.73221	0.145671	0
32	6.82468	0.14468	0
33	6.87154	0.144186	0
34	6.91132	0.143771	0
35	6.8641	0.144264	0
36	6.91289	0.143754	0
37	6.81955	0.144735	0
38	6.72418	0.145758	0
39	6.66659	0.146386	0
40	6.56948	0.147464	0
41	6.57647	0.147385	0
42	6.54185	0.147775	0
43	6.48376	0.148435	0
44	6.43317	0.149018	0
45	6.45677	0.148745	0
46	6.47851	0.148496	0
47	6.52419	0.147975	0
48	6.48921	0.148373	0
49	6.55353	0.147643	0
50	6.59715	0.147154	0
51	6.58004	0.147345	0
52	6.62217	0.146876	0
53	6.60045	0.147117	0
54	6.60259	0.147094	0
55	6.60742	0.14704	0
56	6.55026	0.14768	0
57	6.50983	0.148138	0
58	6.47058	0.148587	0
59	6.37843	0.149656	0
60	6.35263	0.14996	0
61	6.27395	0.150897	0
62	6.22456	0.151494	0
63	6.27342	0.150903	0
64	6.23665	0.151348	0
65	6.24749	0.151216	0
66	6.22851	0.151446	0
67	6.21803	0.151574	0
68	6.19644	0.151838	0
69	6.19557	0.151848	0
70	6.15516	0.152346	0
71	6.14602	0.152459	0
72	6.16542	0.152219	0
73	6.21261	0.15164	0
74	6.22286	0.151515	0
75	6.26285	0.151031	0
76	6.16271	0.152253	0
77	6.11273	0.152874	0
78	6.06909	0.153423	0
79	6.06179	0.153515	0
80	5.94691	0.154991	0
81	5.90185	0.155581	0
82	5.86404	0.156082	0
83	5.9428	0.155044	0
84	5.94393	0.155029	0
85	5.95287	0.154913	0
