Input	../Output/Countries/SLE.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	174
beta0	3.24348	error	0.035442
beta1	-0.0129008	error	0.000418373

X	Y	Error	Weight
0	3.42936	0.204101	1
1	3.44773	0.203556	1
2	3.41069	0.204659	1
3	3.47905	0.202638	1
4	3.46126	0.203158	1
5	3.49651	0.202131	1
6	3.09104	0.21498	1
7	2.9216	0.221126	1
8	3.00993	0.217858	1
9	2.89829	0.222014	1
10	2.67903	0.23092	1
11	2.65928	0.231776	1
12	2.59742	0.23452	1
13	2.73625	0.228493	1
14	2.96677	0.219437	1
15	2.91393	0.221417	1
16	3.08452	0.215207	1
17	3.19577	0.211428	1
18	3.21314	0.210856	1
19	3.27982	0.208702	1
20	3.35239	0.20643	1
21	3.21888	0.210668	1
22	3.35239	0.20643	1
23	3.28519	0.208531	1
24	3.28519	0.208531	1
25	3.32708	0.207214	1
26	3.23025	0.210297	1
27	3.11667	0.214095	1
28	3.15397	0.212825	1
29	2.85813	0.223568	1
30	2.70805	0.22968	1
31	2.46079	0.240943	1
32	2.61842	0.233578	1
33	2.66924	0.231343	1
34	2.65928	0.231776	1
35	2.75455	0.227733	1
36	2.79905	0.225915	1
37	3.02388	0.217354	1
38	3.15397	0.212825	1
39	2.9216	0.221126	1
40	2.86625	0.223251	1
41	2.79905	0.225915	1
42	2.62879	0.233116	1
43	2.75455	0.227733	1
44	2.50846	0.238642	1
45	2.43615	0.242158	1
46	2.5427	0.23703	1
47	2.49675	0.239201	1
48	2.58671	0.235005	1
49	2.60793	0.234047	1
50	2.42356	0.242786	1
51	2.48491	0.239771	1
52	2.43615	0.242158	1
53	2.37155	0.245434	1
54	2.47292	0.240351	1
55	2.38481	0.244751	1
56	2.28818	0.249865	1
57	2.38481	0.244751	1
58	2.19722	0.254984	1
59	2.35811	0.246132	1
60	2.3979	0.244082	1
61	2.25874	0.251488	1
62	2.33078	0.247571	1
63	2.33078	0.247571	1
64	2.13168	0.258875	1
65	2.33078	0.247571	1
66	2.24379	0.252325	1
67	2.11457	0.25992	1
68	2.06141	0.263251	1
69	2.14838	0.257867	1
70	2.22851	0.253188	1
71	2.28818	0.249865	1
72	2.09716	0.260997	1
73	2.13168	0.258875	1
74	2.21299	0.254075	1
75	2.33078	0.247571	1
76	2.34459	0.246841	1
77	2.28818	0.249865	1
78	2.3979	0.244082	1
79	2.3979	0.244082	1
80	2.19722	0.254984	1
81	2.14838	0.257867	1
82	2.13168	0.258875	1
83	1.74292	0.286294	1
84	1.71758	0.288399	1
85	1.34989	0.325313	1
86	1.23227	0.340485	1
87	1.42142	0.317022	1
88	1.27285	0.335014	1
89	1.31211	0.329964	1
90	1.63764	0.295354	1
91	1.76764	0.284285	1
92	1.79176	0.282365	1
93	1.79176	0.282365	1
94	1.83832	0.278766	1
95	1.76764	0.284285	1
96	1.71758	0.288399	1
97	1.45535	0.313305	1
98	1.27285	0.335014	1
99	1.34989	0.325313	1
100	1.31211	0.329964	1
101	1.14518	0.353195	1
102	1.38629	0.321013	1
103	1.14518	0.353195	1
104	1.51973	0.306597	1
105	1.55054	0.303536	1
106	1.63764	0.295354	1
107	1.69175	0.290591	1
108	1.58042	0.300652	1
109	1.88267	0.275464	1
110	2.06141	0.263251	1
111	2.06141	0.263251	1
112	2.07944	0.262106	1
113	2.18121	0.255919	1
114	2.24379	0.252325	1
115	2.21299	0.254075	1
116	2.24379	0.252325	1
117	2.19722	0.254984	1
118	2.13168	0.258875	1
119	2.09716	0.260997	1
120	1.92527	0.272399	1
121	1.96613	0.269553	1
122	2.06141	0.263251	1
123	1.88267	0.275464	1
124	1.94591	0.27095	1
125	1.9042	0.273902	1
126	1.9042	0.273902	1
127	1.92527	0.272399	1
128	1.92527	0.272399	1
129	1.96613	0.269553	1
130	2.02433	0.265651	1
131	1.98595	0.268205	1
132	2.04304	0.264431	1
133	2.04304	0.264431	1
134	2.06141	0.263251	1
135	2.07944	0.262106	1
136	2.06141	0.263251	1
137	1.81531	0.280527	1
138	1.76764	0.284285	1
139	1.66506	0.292911	1
140	1.66506	0.292911	1
141	1.51973	0.306597	1
142	1.38629	0.321013	1
143	1.45535	0.313305	1
144	1.45535	0.313305	1
145	1.34989	0.325313	1
146	1.23227	0.340485	1
147	1.27285	0.335014	1
148	1.34989	0.325313	1
149	1.14518	0.353195	1
150	0.88748	0.40121	1
151	0.944295	0.388953	1
152	0.944295	0.388953	1
153	0.826804	0.415671	1
154	0.762207	0.432927	1
155	0.693147	0.453982	1
156	0.88748	0.40121	1
157	1.14518	0.353195	1
158	1.14518	0.353195	1
159	1.09861	0.360603	1
160	1.04977	0.368896	1
161	1.04977	0.368896	1
162	0.944295	0.388953	1
163	0.762207	0.432927	1
164	0.251537	0.753616	1
165	0.133656	1.03385	1
166	0.762207	0.432927	1
167	0.762207	0.432927	1
168	0.998424	0.378263	1
169	0.944295	0.388953	1
170	0.88748	0.40121	1
171	0.826804	0.415671	1
172	0.826804	0.415671	1
173	0.356975	0.632604	1
174	0.356975	0.632604	1
