Input	../Output/Countries/SLV.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	101
beta0	3.76149	error	0.0356574
beta1	0.0252597	error	0.000574263

X	Y	Error	Weight
0	3.50083	0.202007	1
1	3.54302	0.2008	1
2	3.59926	0.199225	1
3	3.75787	0.194976	1
4	3.81615	0.193481	1
5	3.87714	0.191953	1
6	4.04305	0.187973	1
7	4.05302	0.187742	1
8	4.07268	0.187288	1
9	4.0555	0.187685	1
10	4.08717	0.186956	1
11	4.20256	0.184372	1
12	4.22995	0.183774	1
13	4.16111	0.185288	1
14	4.17439	0.184993	1
15	4.2687	0.182938	1
16	4.33449	0.181544	1
17	4.32319	0.181781	1
18	4.29825	0.182308	1
19	4.37126	0.180779	1
20	4.41194	0.179944	1
21	4.39973	0.180193	1
22	4.35304	0.181157	1
23	4.34195	0.181388	1
24	4.37126	0.180779	1
25	4.36945	0.180816	1
26	4.4102	0.179979	1
27	4.45435	0.179085	1
28	4.44935	0.179186	1
29	4.46919	0.178787	1
30	4.44433	0.179287	1
31	4.42911	0.179594	1
32	4.40147	0.180157	1
33	4.3438	0.181349	1
34	4.26469	0.183024	1
35	4.31175	0.182022	1
36	4.34195	0.181388	1
37	4.39797	0.180229	1
38	4.43759	0.179423	1
39	4.50298	0.178115	1
40	4.55987	0.177001	1
41	4.61228	0.175992	1
42	4.63612	0.175539	1
43	4.67416	0.174823	1
44	4.72865	0.173813	1
45	4.7719	0.173024	1
46	4.79697	0.172571	1
47	4.82488	0.172071	1
48	4.86313	0.171393	1
49	4.94368	0.169991	1
50	4.99335	0.169143	1
51	5.0425	0.168317	1
52	5.08936	0.16754	1
53	5.13412	0.166809	1
54	5.18659	0.165963	1
55	5.23034	0.165267	1
56	5.273	0.164597	1
57	5.3437	0.163505	1
58	5.42306	0.162304	1
59	5.47107	0.16159	1
60	5.52146	0.160851	1
61	5.53846	0.160604	1
62	5.57324	0.160102	1
63	5.57919	0.160017	1
64	5.58725	0.159901	1
65	5.56616	0.160204	1
66	5.57378	0.160094	1
67	5.59045	0.159855	1
68	5.59524	0.159787	1
69	5.60212	0.159689	1
70	5.63019	0.15929	1
71	5.65299	0.158969	1
72	5.69373	0.158399	1
73	5.70995	0.158174	1
74	5.68698	0.158493	1
75	5.71185	0.158148	1
76	5.73749	0.157794	1
77	5.7634	0.157439	1
78	5.78558	0.157137	1
79	5.80771	0.156837	1
80	5.84561	0.156328	1
81	5.91157	0.155453	1
82	5.9599	0.154822	1
83	5.98573	0.154487	1
84	6.00141	0.154285	1
85	6.01407	0.154123	1
86	6.01476	0.154114	1
87	6.01021	0.154172	1
88	6.00565	0.154231	1
89	6.00177	0.154281	1
90	5.99787	0.154331	1
91	5.99432	0.154376	1
92	5.99716	0.15434	1
93	6.01267	0.154141	1
94	6.02517	0.153981	1
95	6.03069	0.15391	1
96	6.03616	0.15384	1
97	6.05209	0.153638	1
98	6.07008	0.15341	1
99	6.06279	0.153502	1
100	6.04128	0.153775	1
101	6.01511	0.154109	1
102	5.98069	0.154552	0
103	5.933	0.155172	0
104	5.87373	0.155953	0
105	5.80384	0.156889	0
106	5.74712	0.157662	0
107	5.69084	0.158439	0
108	5.64039	0.159146	0
109	5.59631	0.159772	0
110	5.55019	0.160434	0
111	5.49834	0.161189	0
112	5.44304	0.162006	0
113	5.38318	0.162904	0
114	5.31461	0.163951	0
115	5.23947	0.165123	0
116	5.15659	0.166445	0
117	5.07249	0.167819	0
118	4.97476	0.169459	0
119	4.87629	0.171162	0
120	4.78032	0.172871	0
121	4.69266	0.174478	0
122	4.62777	0.175697	0
123	4.58204	0.176572	0
124	4.55987	0.177001	0
125	4.56584	0.176885	0
126	4.58204	0.176572	0
127	4.59223	0.176376	0
128	4.60231	0.176183	0
129	4.58788	0.176459	0
130	4.56732	0.176856	0
131	4.52334	0.177714	0
132	4.4838	0.178496	0
133	4.44433	0.179287	0
134	4.41194	0.179944	0
135	4.38381	0.18052	0
136	4.38381	0.18052	0
137	4.40497	0.180086	0
138	4.41194	0.179944	0
139	4.49184	0.178336	0
140	4.72485	0.173883	0
141	4.81797	0.172194	0
142	4.72739	0.173836	0
143	4.91265	0.170527	0
144	5.02857	0.16855	0
145	4.94876	0.169904	0
146	5.03602	0.168425	0
147	4.97279	0.169493	0
148	4.98848	0.169226	0
149	5.07785	0.16773	0
150	4.9355	0.170132	0
151	4.6874	0.174576	0
152	4.90315	0.170692	0
153	4.7634	0.173178	0
154	4.64714	0.175331	0
155	4.53567	0.177472	0
156	4.54633	0.177264	0
157	4.55688	0.177059	0
158	4.70824	0.174189	0
159	4.43928	0.179389	0
160	4.66881	0.174923	0
161	4.54177	0.177353	0
162	4.79461	0.172613	0
163	4.99043	0.169193	0
164	5.15988	0.166392	0
165	5.23492	0.165195	0
166	5.37064	0.163094	0
167	5.34711	0.163452	0
168	5.34711	0.163452	0
169	5.36397	0.163195	0
170	5.26491	0.164723	0
171	5.145	0.166632	0
172	5.10681	0.167254	0
173	5.08318	0.167642	0
174	4.87738	0.171142	0
175	5.19216	0.165873	0
176	4.91055	0.170563	0
177	4.74493	0.173515	0
178	5.1299	0.166877	0
179	4.98556	0.169275	0
180	4.81102	0.172319	0
181	5.31952	0.163876	0
182	5.04802	0.168225	0
183	5.04802	0.168225	0
184	5.04802	0.168225	0
185	5.25227	0.164922	0
186	5.38121	0.162934	0
187	5.49247	0.161275	0
188	5.08406	0.167628	0
189	5.08406	0.167628	0
190	5.08406	0.167628	0
191	5.08406	0.167628	0
192	5.18339	0.166014	0
193	5.16804	0.16626	0
194	5.15494	0.166471	0
195	5.15494	0.166471	0
196	5.38318	0.162904	0
197	5.38318	0.162904	0
198	5.56068	0.160283	0
199	5.03788	0.168394	0
200	5.01538	0.168771	0
201	4.84756	0.171668	0
202	5.14749	0.166592	0
203	4.84867	0.171648	0
204	5.15659	0.166445	0
205	4.87738	0.171142	0
206	4.70695	0.174213	0
207	5.10595	0.167268	0
208	5.10595	0.167268	0
209	4.79106	0.172677	0
210	4.79106	0.172677	0
211	5.18178	0.166039	0
212	5.18178	0.166039	0
213	5.18178	0.166039	0
214	5.23416	0.165207	0
215	5.23416	0.165207	0
216	5.50765	0.161053	0
217	5.62453	0.15937	0
