Input	../Output/Countries/SMR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	24
beta0	3.172	error	0.0812717
beta1	0.00488617	error	0.00575298

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.4012	0.204944	1
2	3.4012	0.204944	1
3	3.22458	0.210482	1
4	3.22458	0.210482	1
5	3.17805	0.212017	1
6	3.17805	0.212017	1
7	3.00993	0.217858	1
8	3.00993	0.217858	1
9	3.00993	0.217858	1
10	2.98133	0.2189	1
11	2.98133	0.2189	1
12	2.95194	0.219987	1
13	3.10396	0.214532	1
14	3.12298	0.213878	1
15	3.30637	0.207862	1
16	3.30637	0.207862	1
17	3.26904	0.209046	1
18	3.45676	0.20329	1
19	3.32708	0.207214	1
20	3.35239	0.20643	1
21	3.36235	0.206124	1
22	3.3673	0.205973	1
23	3.3673	0.205973	1
24	3.29053	0.208362	1
