Input	../Output/Countries/SRB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	26
beta0	3.84698	error	0.0686047
beta1	0.0900101	error	0.00427712

X	Y	Error	Weight
0	3.52636	0.201274	1
1	3.7612	0.194889	1
2	3.69245	0.196695	1
3	3.82864	0.193165	1
4	4.2444	0.183461	1
5	4.306	0.182144	1
6	4.33822	0.181466	1
7	4.44601	0.179253	1
8	4.57028	0.176799	1
9	4.72232	0.173929	1
10	4.98066	0.169359	1
11	4.92622	0.170292	1
12	5.11628	0.167099	1
13	5.30898	0.164038	1
14	5.39816	0.162678	1
15	5.43559	0.162117	1
16	5.49012	0.16131	1
17	5.44981	0.161905	1
18	5.52488	0.160801	1
19	5.50533	0.161087	1
20	5.57919	0.160017	1
21	5.66395	0.158815	1
22	5.75348	0.157574	1
23	5.85834	0.156158	1
24	5.91157	0.155453	1
25	5.92273	0.155307	1
26	5.95064	0.154942	1
27	5.90808	0.155499	0
28	5.84768	0.1563	0
29	5.78207	0.157184	0
30	5.63377	0.15924	0
31	5.54574	0.160499	0
32	5.54126	0.160563	0
33	5.50649	0.16107	0
34	5.45959	0.16176	0
35	5.43621	0.162107	0
36	5.41927	0.162361	0
37	5.5117	0.160993	0
38	5.3845	0.162884	0
39	5.42117	0.162332	0
40	5.31391	0.163962	0
41	5.21027	0.165585	0
42	5.12736	0.166918	0
43	5.0267	0.168581	0
44	4.7863	0.172763	0
45	4.89357	0.170859	0
46	4.56137	0.176972	0
47	4.39621	0.180265	0
48	4.4822	0.178528	0
49	4.39268	0.180338	0
50	4.27667	0.182767	0
51	4.31939	0.181861	0
52	4.25864	0.183154	0
53	4.19398	0.18456	0
54	4.41366	0.179908	0
55	4.31367	0.181982	0
56	4.2485	0.183372	0
57	4.34195	0.181388	0
58	4.35487	0.181119	0
59	4.42741	0.179629	0
60	4.44433	0.179287	0
61	4.36219	0.180967	0
62	4.25662	0.183197	0
63	4.25662	0.183197	0
64	4.1454	0.185638	0
65	3.9969	0.189056	0
66	3.85319	0.192549	0
67	3.72052	0.195952	0
68	3.58748	0.199552	0
69	3.52215	0.201394	0
70	3.47905	0.202638	0
71	3.56753	0.200109	0
72	3.6562	0.197668	0
73	3.80029	0.193884	0
74	3.9402	0.190411	0
75	4.07268	0.187288	0
76	4.19827	0.184466	0
77	4.29046	0.182473	0
78	4.28456	0.182599	0
79	4.32885	0.181662	0
80	4.28456	0.182599	0
81	4.2885	0.182515	0
82	4.24235	0.183505	0
83	4.20895	0.184232	0
84	4.18749	0.184703	0
85	4.25054	0.183328	0
86	4.29632	0.182349	0
87	4.33449	0.181544	0
88	4.36764	0.180854	0
89	4.424	0.179698	0
90	4.48864	0.1784	0
91	4.55538	0.177088	0
92	4.62357	0.175777	0
93	4.68213	0.174674	0
94	4.80636	0.172402	0
95	4.95079	0.169869	0
96	5.10334	0.167311	0
97	5.22267	0.165388	0
98	5.34847	0.163432	0
99	5.43247	0.162163	0
100	5.56233	0.160259	0
101	5.62402	0.159378	0
102	5.67332	0.158684	0
103	5.69661	0.158359	0
104	5.7189	0.15805	0
105	5.72964	0.157902	0
106	5.76832	0.157372	0
107	5.72592	0.157953	0
108	5.76115	0.157469	0
109	5.7701	0.157347	0
110	5.7634	0.157439	0
111	5.7589	0.1575	0
112	5.77898	0.157226	0
113	5.77632	0.157263	0
114	5.82684	0.156579	0
115	5.82937	0.156545	0
116	5.84768	0.1563	0
117	5.89164	0.155716	0
118	5.92273	0.155307	0
119	5.92578	0.155267	0
120	5.95399	0.154898	0
121	5.96468	0.15476	0
122	5.9709	0.154679	0
123	5.81796	0.156699	0
124	6.00424	0.154249	0
125	6.02241	0.154016	0
126	6.03172	0.153897	0
127	6.01302	0.154136	0
128	5.98069	0.154552	0
129	5.9551	0.154884	0
130	6.07041	0.153406	0
131	5.86322	0.156093	0
132	5.79909	0.156953	0
133	5.75845	0.157506	0
134	5.72312	0.157992	0
135	5.71279	0.158135	0
136	5.68261	0.158554	0
137	5.64545	0.159075	0
138	5.60685	0.159622	0
139	5.55572	0.160354	0
140	5.52659	0.160776	0
141	5.50301	0.161121	0
142	5.47227	0.161572	0
143	5.44735	0.161942	0
144	5.43684	0.162098	0
145	5.42117	0.162332	0
146	5.38056	0.162944	0
147	5.29331	0.164281	0
148	5.2219	0.1654	0
149	5.15329	0.166498	0
150	5.09725	0.167411	0
151	5.03602	0.168425	0
152	4.93653	0.170114	0
153	4.89142	0.170897	0
154	4.88927	0.170934	0
155	4.88497	0.171009	0
156	4.84531	0.171708	0
157	4.77431	0.17298	0
158	4.6526	0.175228	0
159	4.61653	0.175911	0
160	4.59367	0.176348	0
161	4.54935	0.177205	0
162	4.46262	0.178919	0
163	4.41194	0.179944	0
164	4.39091	0.180374	0
165	4.39445	0.180301	0
166	4.34566	0.181311	0
167	4.33636	0.181505	0
168	4.29242	0.182432	0
169	4.26268	0.183067	0
170	4.18531	0.184751	0
171	4.17659	0.184944	0
172	4.16556	0.185189	0
173	4.27468	0.18281	0
174	4.26066	0.18311	0
175	4.30213	0.182226	0
176	4.33636	0.181505	0
177	4.38024	0.180594	0
178	4.32507	0.181742	0
179	4.34566	0.181311	0
180	4.2687	0.182938	0
181	4.27069	0.182895	0
182	4.2444	0.183461	0
183	4.20041	0.184419	0
184	4.20256	0.184372	0
185	4.22995	0.183774	0
186	4.21108	0.184185	0
187	4.21951	0.184001	0
188	4.21951	0.184001	0
189	4.22787	0.183819	0
190	4.20895	0.184232	0
191	4.2667	0.182981	0
192	4.26268	0.183067	0
193	4.32696	0.181702	0
194	4.30213	0.182226	0
195	4.34195	0.181388	0
196	4.43928	0.179389	0
197	4.51867	0.177806	0
198	4.57912	0.176628	0
199	4.71594	0.174047	0
200	4.79106	0.172677	0
201	4.8408	0.171788	0
202	4.8587	0.171471	0
203	4.89357	0.170859	0
204	5.01823	0.168724	0
205	5.0662	0.167923	0
206	5.14583	0.166619	0
207	5.19375	0.165848	0
208	5.27884	0.164506	0
209	5.31812	0.163897	0
210	5.4331	0.162154	0
211	5.58725	0.159901	0
212	5.69518	0.158379	0
213	5.83565	0.156461	0
214	6.03548	0.153849	0
215	6.16362	0.152242	0
216	6.22738	0.15146	0
217	6.41393	0.149241	0
218	6.58873	0.147248	0
219	6.7629	0.14534	0
220	6.91089	0.143775	0
221	7.05148	0.142335	0
222	7.1498	0.141353	0
223	7.20021	0.140857	0
224	7.28453	0.140039	0
225	7.3855	0.139079	0
226	7.45373	0.138441	0
227	7.51293	0.137894	0
228	7.57785	0.137302	0
229	7.62518	0.136876	0
230	7.66052	0.136559	0
231	7.72217	0.136013	0
232	7.79087	0.135412	0
233	7.85715	0.13484	0
234	7.92226	0.134285	0
235	7.97988	0.133799	0
236	8.04472	0.133259	0
237	8.11098	0.132713	0
238	8.20001	0.131991	0
239	8.27836	0.131365	0
240	8.37405	0.130612	0
241	8.46099	0.129939	0
242	8.51831	0.129501	0
243	8.56058	0.129181	0
244	8.62042	0.128732	0
245	8.66694	0.128386	0
246	8.71417	0.128038	0
247	8.74869	0.127785	0
248	8.7827	0.127537	0
249	8.81008	0.127339	0
250	8.835	0.127159	0
251	8.85877	0.126988	0
252	8.88199	0.126822	0
253	8.88872	0.126774	0
254	8.89257	0.126747	0
255	8.89261	0.126747	0
256	8.8899	0.126766	0
257	8.88259	0.126818	0
258	8.88917	0.126771	0
