Input	../Output/Countries/SVK.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	18
beta0	3.52768	error	0.0878063
beta1	0.0240235	error	0.00821214

X	Y	Error	Weight
0	3.43859	0.203827	1
1	3.696	0.196601	1
2	3.67087	0.197273	1
3	3.63382	0.198276	1
4	3.60316	0.199117	1
5	3.60316	0.199117	1
6	3.51366	0.201637	1
7	3.59143	0.199442	1
8	3.25258	0.209574	1
9	3.6745	0.197175	1
10	3.86523	0.192249	1
11	3.94296	0.190344	1
12	4.09196	0.186847	1
13	4.0555	0.187685	1
14	3.95124	0.190145	1
15	3.9969	0.189056	1
16	3.90629	0.191236	1
17	3.79389	0.194048	1
18	3.70305	0.196413	1
19	3.43859	0.203827	0
20	3.39162	0.205233	0
21	3.27446	0.208872	0
22	3.04452	0.216616	0
23	2.31678	0.248318	0
24	1.81531	0.280527	0
25	1.58042	0.300652	0
26	1.42142	0.317022	0
27	1.51973	0.306597	0
28	1.66506	0.292911	0
29	1.69175	0.290591	0
30	1.94591	0.27095	0
31	2.00539	0.266902	0
32	1.92527	0.272399	0
33	1.94591	0.27095	0
34	1.83832	0.278766	0
35	1.83832	0.278766	0
36	1.74292	0.286294	0
37	1.51973	0.306597	0
38	1.27285	0.335014	0
39	1.69175	0.290591	0
40	1.66506	0.292911	0
41	1.69175	0.290591	0
42	1.45535	0.313305	0
43	1.34989	0.325313	0
44	1.27285	0.335014	0
45	1.18967	0.346527	0
46	0.451712	0.562367	0
47	0.762207	0.432927	0
48	0.826804	0.415671	0
49	0.944295	0.388953	0
50	0.998424	0.378263	0
51	0.944295	0.388953	0
52	0.88748	0.40121	0
53	0.88748	0.40121	0
54	0.53883	0.514903	0
55	0.451712	0.562367	0
56	0.251537	0.753616	0
57	0.356975	0.632604	0
