Input	../Output/Countries/SVN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	36
beta0	3.71081	error	0.0657755
beta1	-0.0140558	error	0.00323355

X	Y	Error	Weight
0	3.52215	0.201394	1
1	3.55125	0.200567	1
2	3.43859	0.203827	1
3	3.3373	0.206897	1
4	3.35239	0.20643	1
5	3.36235	0.206124	1
6	3.32708	0.207214	1
7	3.29584	0.208194	1
8	3.37711	0.205674	1
9	3.58748	0.199552	1
10	3.6745	0.197175	1
11	3.7274	0.195771	1
12	3.7612	0.194889	1
13	3.80984	0.193641	1
14	3.80348	0.193803	1
15	3.82864	0.193165	1
16	3.80029	0.193884	1
17	3.86822	0.192174	1
18	3.76452	0.194803	1
19	3.73426	0.195591	1
20	3.64134	0.198071	1
21	3.63382	0.198276	1
22	3.60316	0.199117	1
23	3.57554	0.199885	1
24	3.47905	0.202638	1
25	3.47463	0.202767	1
26	3.40595	0.204801	1
27	3.39162	0.205233	1
28	3.30637	0.207862	1
29	3.13549	0.213451	1
30	3.11036	0.214312	1
31	3.02388	0.217354	1
32	3.02388	0.217354	1
33	2.91393	0.221417	1
34	2.8824	0.222625	1
35	2.86625	0.223251	1
36	2.87435	0.222936	1
37	2.70805	0.22968	0
38	2.63906	0.232663	0
39	2.28818	0.249865	0
40	2.31678	0.248318	0
41	2.24379	0.252325	0
42	2.25874	0.251488	0
43	2.21299	0.254075	0
44	2.22851	0.253188	0
45	2.19722	0.254984	0
46	2.16493	0.256879	0
47	1.98595	0.268205	0
48	1.81531	0.280527	0
49	1.66506	0.292911	0
50	1.66506	0.292911	0
51	1.45535	0.313305	0
52	1.04977	0.368896	0
53	0.826804	0.415671	0
54	0.762207	0.432927	0
55	0.944295	0.388953	0
56	1.09861	0.360603	0
57	0.826804	0.415671	0
58	0.762207	0.432927	0
59	0.762207	0.432927	0
60	0.762207	0.432927	0
61	0.451712	0.562367	0
62	0.251537	0.753616	0
