Input	../Output/Countries/SYR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	124
beta0	3.9602	error	0.0331788
beta1	0.00176319	error	0.000457254

X	Y	Error	Weight
0	3.47905	0.202638	1
1	3.61862	0.198692	1
2	3.76783	0.194718	1
3	3.89764	0.191448	1
4	3.99163	0.18918	1
5	4.06536	0.187457	1
6	4.12944	0.185997	1
7	4.00212	0.188932	1
8	4.12483	0.186101	1
9	4.17439	0.184993	1
10	4.20256	0.184372	1
11	4.24645	0.183416	1
12	4.28653	0.182557	1
13	4.30213	0.182226	1
14	4.45102	0.179152	1
15	4.4102	0.179979	1
16	4.37845	0.18063	1
17	4.364	0.180929	1
18	4.34566	0.181311	1
19	4.32507	0.181742	1
20	4.30985	0.182062	1
21	4.29437	0.18239	1
22	4.26066	0.18311	1
23	4.2485	0.183372	1
24	4.23824	0.183594	1
25	4.24031	0.183549	1
26	4.21108	0.184185	1
27	4.19613	0.184513	1
28	4.18097	0.184847	1
29	4.20469	0.184325	1
30	4.2237	0.18391	1
31	4.21951	0.184001	1
32	4.20256	0.184372	1
33	4.19398	0.18456	1
34	4.18313	0.184799	1
35	4.16998	0.18509	1
36	4.14766	0.185588	1
37	4.12944	0.185997	1
38	4.05055	0.187799	1
39	3.96488	0.189817	1
40	3.90341	0.191306	1
41	3.83792	0.192931	1
42	3.76783	0.194718	1
43	3.67087	0.197273	1
44	3.59537	0.199333	1
45	3.61092	0.198903	1
46	3.61477	0.198797	1
47	3.60316	0.199117	1
48	3.62623	0.198483	1
49	3.6525	0.197768	1
50	3.67087	0.197273	1
51	3.6525	0.197768	1
52	3.66356	0.197469	1
53	3.65989	0.197568	1
54	3.64881	0.197868	1
55	3.6562	0.197668	1
56	3.6745	0.197175	1
57	3.69245	0.196695	1
58	3.71705	0.196043	1
59	3.7274	0.195771	1
60	3.73767	0.195502	1
61	3.78743	0.194213	1
62	3.78743	0.194213	1
63	3.77113	0.194633	1
64	3.81927	0.193402	1
65	3.84404	0.192778	1
66	3.89473	0.191519	1
67	3.91773	0.190956	1
68	3.94849	0.190211	1
69	3.96488	0.189817	1
70	3.99163	0.18918	1
71	3.95399	0.190079	1
72	3.97029	0.189688	1
73	3.9402	0.190411	1
74	3.93742	0.190478	1
75	3.9402	0.190411	1
76	3.92338	0.190819	1
77	3.88597	0.191735	1
78	3.8712	0.1921	1
79	3.85923	0.192398	1
80	3.84098	0.192855	1
81	3.85621	0.192473	1
82	3.84404	0.192778	1
83	3.90629	0.191236	1
84	3.92902	0.190682	1
85	3.95673	0.190013	1
86	3.95124	0.190145	1
87	3.96488	0.189817	1
88	3.9969	0.189056	1
89	3.9995	0.188994	1
90	3.9402	0.190411	1
91	4.00473	0.188871	1
92	4.0629	0.187514	1
93	4.09196	0.186847	1
94	4.09196	0.186847	1
95	4.10853	0.18647	1
96	4.14314	0.185689	1
97	4.19398	0.18456	1
98	4.17878	0.184896	1
99	4.1544	0.185437	1
100	4.16334	0.185238	1
101	4.19827	0.184466	1
102	4.20469	0.184325	1
103	4.2174	0.184047	1
104	4.23618	0.183639	1
105	4.26469	0.183024	1
106	4.27865	0.182725	1
107	4.32129	0.181821	1
108	4.34751	0.181272	1
109	4.34751	0.181272	1
110	4.33822	0.181466	1
111	4.33261	0.181583	1
112	4.34566	0.181311	1
113	4.36582	0.180891	1
114	4.37486	0.180704	1
115	4.38381	0.18052	1
116	4.40322	0.180121	1
117	4.43759	0.179423	1
118	4.45767	0.179018	1
119	4.45102	0.179152	1
120	4.45932	0.178985	1
121	4.44769	0.179219	1
122	4.45932	0.178985	1
123	4.46096	0.178952	1
124	4.45601	0.179052	1
