Input	../Output/Countries/TUN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	41
beta0	3.83399	error	0.0634804
beta1	-0.0454101	error	0.00295534

X	Y	Error	Weight
0	3.43859	0.203827	1
1	3.52215	0.201394	1
2	3.46126	0.203158	1
3	3.68888	0.19679	1
4	3.57554	0.199885	1
5	3.60705	0.19901	1
6	3.64508	0.197969	1
7	3.67087	0.197273	1
8	3.62245	0.198587	1
9	3.70305	0.196413	1
10	3.4878	0.202383	1
11	3.37711	0.205674	1
12	3.29053	0.208362	1
13	3.22458	0.210482	1
14	2.93688	0.22055	1
15	2.94444	0.220267	1
16	2.9216	0.221126	1
17	2.87435	0.222936	1
18	3.07796	0.215437	1
19	3.24146	0.209933	1
20	3.31676	0.207536	1
21	3.24146	0.209933	1
22	3.20157	0.211237	1
23	3.11667	0.214095	1
24	2.97405	0.219168	1
25	2.91393	0.221417	1
26	2.61842	0.233578	1
27	2.11457	0.25992	1
28	2.37155	0.245434	1
29	2.30259	0.249082	1
30	2.47292	0.240351	1
31	2.56495	0.236	1
32	2.31678	0.248318	1
33	2.38481	0.244751	1
34	2.38481	0.244751	1
35	2.30259	0.249082	1
36	2.21299	0.254075	1
37	1.98595	0.268205	1
38	1.9042	0.273902	1
39	1.86082	0.277076	1
40	1.51973	0.306597	1
41	1.51973	0.306597	1
42	1.18967	0.346527	0
43	0.998424	0.378263	0
44	0.693147	0.453982	0
45	0.356975	0.632604	0
