Input	../Output/Countries/UGA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	60
beta0	3.30481	error	0.0558477
beta1	-0.0260022	error	0.00173851

X	Y	Error	Weight
0	3.42472	0.204239	1
1	3.44317	0.203691	1
2	3.51366	0.201637	1
3	3.51791	0.201515	1
4	3.47463	0.202767	1
5	3.37711	0.205674	1
6	3.48342	0.202511	1
7	3.24704	0.209753	1
8	3.34741	0.206584	1
9	3.29584	0.208194	1
10	3.17805	0.212017	1
11	3.11667	0.214095	1
12	3.11036	0.214312	1
13	2.91393	0.221417	1
14	2.66924	0.231343	1
15	2.43615	0.242158	1
16	2.13168	0.258875	1
17	2.25874	0.251488	1
18	2.25874	0.251488	1
19	2.18121	0.255919	1
20	2.28818	0.249865	1
21	2.28818	0.249865	1
22	2.35811	0.246132	1
23	2.28818	0.249865	1
24	2.34459	0.246841	1
25	2.34459	0.246841	1
26	2.43615	0.242158	1
27	2.41081	0.243427	1
28	2.49675	0.239201	1
29	2.5427	0.23703	1
30	2.61842	0.233578	1
31	2.57589	0.235498	1
32	2.53139	0.237559	1
33	2.4485	0.241547	1
34	2.41081	0.243427	1
35	2.42356	0.242786	1
36	2.43615	0.242158	1
37	2.47292	0.240351	1
38	2.46079	0.240943	1
39	2.48491	0.239771	1
40	2.63906	0.232663	1
41	2.60793	0.234047	1
42	2.50846	0.238642	1
43	2.50846	0.238642	1
44	2.38481	0.244751	1
45	2.28818	0.249865	1
46	2.24379	0.252325	1
47	1.98595	0.268205	1
48	1.96613	0.269553	1
49	1.94591	0.27095	1
50	1.74292	0.286294	1
51	1.74292	0.286294	1
52	1.51973	0.306597	1
53	1.51973	0.306597	1
54	1.38629	0.321013	1
55	1.55054	0.303536	1
56	1.76764	0.284285	1
57	1.96613	0.269553	1
58	2.13168	0.258875	1
59	2.19722	0.254984	1
60	2.22851	0.253188	1
61	2.27357	0.250667	0
62	2.22851	0.253188	0
63	2.34459	0.246841	0
64	2.25874	0.251488	0
65	2.25874	0.251488	0
66	2.27357	0.250667	0
67	2.34459	0.246841	0
68	2.38481	0.244751	0
69	2.65928	0.231776	0
70	2.56495	0.236	0
71	2.66924	0.231343	0
72	2.67903	0.23092	0
73	2.75455	0.227733	0
74	2.83321	0.224549	0
75	2.9216	0.221126	0
76	2.92927	0.220837	0
77	3.17208	0.212216	0
78	3.43399	0.203963	0
79	3.62623	0.198483	0
80	3.72398	0.195861	0
81	3.83484	0.193009	0
82	4.03802	0.18809	0
83	4.19182	0.184608	0
84	4.64987	0.175279	0
85	4.69135	0.174503	0
86	4.7412	0.173583	0
87	4.76704	0.173112	0
88	4.82028	0.172153	0
89	4.8882	0.170953	0
90	4.86533	0.171354	0
91	4.57766	0.176656	0
92	4.55388	0.177117	0
93	4.46755	0.17882	0
94	4.46919	0.178787	0
95	4.43082	0.17956	0
96	4.46591	0.178853	0
97	4.44601	0.179253	0
98	4.59367	0.176348	0
99	4.65938	0.1751	0
100	4.74369	0.173537	0
101	4.81451	0.172256	0
102	4.95079	0.169869	0
103	4.96484	0.169628	0
104	4.98556	0.169275	0
105	5.11371	0.167141	0
106	5.08583	0.167598	0
107	5.14583	0.166619	0
108	5.16315	0.166339	0
109	5.11457	0.167127	0
110	5.0471	0.16824	0
111	5.15823	0.166418	0
112	5.23492	0.165195	0
113	5.35928	0.163267	0
114	5.36062	0.163246	0
115	5.42495	0.162276	0
116	5.43994	0.162052	0
117	5.48301	0.161414	0
118	5.44674	0.161951	0
119	5.25973	0.164805	0
120	5.17937	0.166078	0
121	5.23111	0.165255	0
122	5.22805	0.165303	0
123	5.18499	0.165988	0
124	5.16315	0.166339	0
125	5.20322	0.165697	0
126	5.22267	0.165388	0
127	5.20714	0.165635	0
128	5.13412	0.166809	0
129	5.02482	0.168613	0
130	5.08495	0.167613	0
131	5.10595	0.167268	0
132	5.00777	0.1689	0
133	5.00011	0.169029	0
134	4.95482	0.1698	0
135	4.85538	0.17153	0
136	4.81451	0.172256	0
137	4.74988	0.173424	0
138	4.56881	0.176827	0
139	4.73369	0.173721	0
140	4.67948	0.174724	0
141	4.72485	0.173883	0
142	4.7719	0.173024	0
143	4.79106	0.172677	0
144	4.81567	0.172236	0
145	4.8828	0.171047	0
146	4.77431	0.17298	0
147	4.78987	0.172699	0
148	4.80285	0.172465	0
149	4.81797	0.172194	0
150	4.77912	0.172893	0
151	4.78032	0.172871	0
152	5.11026	0.167197	0
153	5.18259	0.166027	0
154	5.1425	0.166672	0
155	5.22421	0.165364	0
156	5.30827	0.164049	0
157	5.35254	0.16337	0
158	5.4218	0.162323	0
159	5.27447	0.164574	0
160	5.32788	0.163747	0
161	5.41356	0.162446	0
162	5.46866	0.161626	0
163	5.43372	0.162145	0
164	5.43497	0.162126	0
165	5.45776	0.161787	0
166	5.46201	0.161724	0
167	5.4001	0.162648	0
168	5.50591	0.161078	0
169	5.44242	0.162015	0
170	5.48243	0.161423	0
171	5.58188	0.159978	0
172	5.60999	0.159577	0
173	5.61988	0.159436	0
174	5.66939	0.158739	0
175	5.59205	0.159833	0
176	5.62865	0.159312	0
177	5.6079	0.159607	0
178	5.57324	0.160102	0
179	5.64746	0.159047	0
180	5.63835	0.159175	0
181	5.73056	0.157889	0
182	5.7847	0.157149	0
183	5.73979	0.157762	0
184	5.79214	0.157048	0
185	5.92845	0.155232	0
186	5.88571	0.155794	0
187	5.87693	0.155911	0
188	5.79909	0.156953	0
189	5.7701	0.157347	0
190	5.81796	0.156699	0
191	5.97017	0.154688	0
