Input	../Output/Countries/UKR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	255
beta0	4.9903	error	0.0190866
beta1	0.017778	error	0.000120271

X	Y	Error	Weight
0	3.69245	0.196695	1
1	3.78743	0.194213	1
2	4.05055	0.187799	1
3	4.2174	0.184047	1
4	4.36037	0.181004	1
5	4.52952	0.177593	1
6	4.6066	0.176101	1
7	4.69003	0.174527	1
8	4.82143	0.172132	1
9	4.77912	0.172893	1
10	4.70178	0.174309	1
11	4.75973	0.173245	1
12	4.82717	0.17203	1
13	4.95683	0.169765	1
14	5.08495	0.167613	1
15	5.21338	0.165536	1
16	5.34643	0.163463	1
17	5.54014	0.16058	1
18	5.60895	0.159592	1
19	5.70188	0.158286	1
20	5.78118	0.157196	1
21	5.8616	0.156114	1
22	5.91543	0.155402	1
23	5.94467	0.15502	1
24	5.92043	0.155337	1
25	5.97454	0.154632	1
26	6.00141	0.154285	1
27	6.06345	0.153494	1
28	6.05545	0.153595	1
29	6.06677	0.153452	1
30	6.11494	0.152846	1
31	6.15547	0.152342	1
32	6.15121	0.152395	1
33	6.14786	0.152437	1
34	6.13618	0.152581	1
35	6.12936	0.152666	1
36	6.15152	0.152391	1
37	6.15455	0.152354	1
38	6.16241	0.152256	1
39	6.15182	0.152387	1
40	6.16121	0.152271	1
41	6.15121	0.152395	1
42	6.16602	0.152212	1
43	6.15547	0.152342	1
44	6.16151	0.152268	1
45	6.16091	0.152275	1
46	6.16362	0.152242	1
47	6.13773	0.152562	1
48	6.11115	0.152894	1
49	6.10447	0.152977	1
50	6.10861	0.152925	1
51	6.07993	0.153286	1
52	6.04973	0.153668	1
53	6.01021	0.154172	1
54	5.99325	0.15439	1
55	6.01232	0.154145	1
56	5.99787	0.154331	1
57	5.96321	0.154779	1
58	5.95324	0.154908	1
59	5.92845	0.155232	1
60	5.95805	0.154846	1
61	5.9458	0.155005	1
62	5.94617	0.155	1
63	5.9413	0.155064	1
64	5.92654	0.155257	1
65	5.9499	0.154952	1
66	6.16091	0.152275	1
67	6.15909	0.152297	1
68	6.20888	0.151686	1
69	6.2425	0.151277	1
70	6.27852	0.150842	1
71	6.32205	0.150322	1
72	6.32972	0.150231	1
73	6.21889	0.151564	1
74	6.23832	0.151327	1
75	6.25108	0.151173	1
76	6.27691	0.150861	1
77	6.31588	0.150395	1
78	6.36696	0.149791	1
79	6.40923	0.149296	1
80	6.45677	0.148745	1
81	6.51577	0.14807	1
82	6.56547	0.147509	1
83	6.59637	0.147163	1
84	6.63707	0.146711	1
85	6.65526	0.14651	1
86	6.66841	0.146366	1
87	6.67022	0.146346	1
88	6.70091	0.146011	1
89	6.73102	0.145684	1
90	6.7571	0.145402	1
91	6.78962	0.145054	1
92	6.80509	0.144889	1
93	6.83288	0.144594	1
94	6.83087	0.144615	1
95	6.81077	0.144828	1
96	6.76553	0.145311	1
97	6.74809	0.145499	1
98	6.70756	0.145938	1
99	6.70161	0.146003	1
100	6.68675	0.146165	1
101	6.66932	0.146356	1
102	6.6423	0.146653	1
103	6.67258	0.14632	1
104	6.66003	0.146458	1
105	6.65028	0.146565	1
106	6.632	0.146767	1
107	6.60646	0.147051	1
108	6.61664	0.146937	1
109	6.63125	0.146775	1
110	6.6337	0.146748	1
111	6.63988	0.14668	1
112	6.63894	0.14669	1
113	6.64676	0.146604	1
114	6.65378	0.146527	1
115	6.66331	0.146422	1
116	6.67077	0.14634	1
117	6.6695	0.146354	1
118	6.67185	0.146328	1
119	6.70354	0.145982	1
120	6.75093	0.145469	1
121	6.78381	0.145116	1
122	6.80699	0.144868	1
123	6.84527	0.144463	1
124	6.87627	0.144137	1
125	6.9263	0.143615	1
126	6.94022	0.143471	1
127	6.94862	0.143384	1
128	6.97675	0.143095	1
129	7.00112	0.142846	1
130	7.02236	0.14263	1
131	7.0526	0.142323	1
132	7.06781	0.14217	1
133	7.11523	0.141696	1
134	7.1507	0.141344	1
135	7.15974	0.141255	1
136	7.16251	0.141227	1
137	7.17483	0.141106	1
138	7.19562	0.140902	1
139	7.22579	0.140607	1
140	7.25428	0.140331	1
141	7.29019	0.139985	1
142	7.33424	0.139564	1
143	7.37731	0.139156	1
144	7.41543	0.138798	1
145	7.4595	0.138387	1
146	7.5014	0.138	1
147	7.52918	0.137745	1
148	7.56764	0.137395	1
149	7.59294	0.137166	1
150	7.61699	0.136949	1
151	7.62183	0.136906	1
152	7.60055	0.137097	1
153	7.59035	0.137189	1
154	7.61678	0.136951	1
155	7.63004	0.136832	1
156	7.6395	0.136747	1
157	7.66307	0.136537	1
158	7.69166	0.136283	1
159	7.74562	0.135807	1
160	7.77347	0.135564	1
161	7.78898	0.135429	1
162	7.80763	0.135267	1
163	7.80914	0.135254	1
164	7.81209	0.135228	1
165	7.83173	0.135059	1
166	7.83417	0.135038	1
167	7.84363	0.134956	1
168	7.86897	0.134739	1
169	7.88458	0.134605	1
170	7.9037	0.134442	1
171	7.91962	0.134307	1
172	7.94571	0.134086	1
173	7.96669	0.13391	1
174	8.01712	0.133488	1
175	8.02196	0.133448	1
176	8.02943	0.133385	1
177	8.05275	0.133192	1
178	8.06288	0.133109	1
179	8.06248	0.133112	1
