Input	../Output/Countries/USA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	20
beta0	3.53101	error	0.0725901
beta1	0.295904	error	0.0055655

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.98898	0.189243	1
2	4.24235	0.183505	1
3	4.3438	0.181349	1
4	4.61653	0.175911	1
5	5.00106	0.169013	1
6	5.29975	0.164181	1
7	5.64595	0.159068	1
8	5.90769	0.155504	1
9	5.9525	0.154918	1
10	6.36917	0.149765	1
11	6.70756	0.145938	1
12	7.04403	0.14241	1
13	7.45315	0.138446	1
14	7.84166	0.134973	1
15	8.09938	0.132808	1
16	8.41636	0.130283	1
17	8.68529	0.12825	1
18	8.87758	0.126854	1
19	9.04957	0.125643	1
20	9.25162	0.124263	1
21	9.40759	0.123229	0
22	9.5557	0.12227	0
23	9.6525	0.121655	0
24	9.74746	0.121061	0
25	9.87066	0.120303	0
26	9.96772	0.119716	0
27	10.0484	0.119235	0
28	10.1273	0.118769	0
29	10.2011	0.118339	0
30	10.2494	0.11806	0
31	10.2894	0.11783	0
32	10.3139	0.11769	0
33	10.3433	0.117522	0
34	10.3625	0.117414	0
35	10.3693	0.117375	0
36	10.3525	0.11747	0
37	10.3467	0.117503	0
38	10.3265	0.117618	0
39	10.3131	0.117695	0
40	10.3034	0.11775	0
41	10.2881	0.117838	0
42	10.2841	0.11786	0
43	10.2773	0.117899	0
44	10.2712	0.117934	0
45	10.2841	0.117861	0
46	10.2718	0.117931	0
47	10.2675	0.117955	0
48	10.2763	0.117905	0
49	10.2817	0.117874	0
50	10.2993	0.117773	0
51	10.3049	0.117742	0
52	10.2795	0.117887	0
53	10.2726	0.117926	0
54	10.2652	0.117969	0
55	10.2466	0.118076	0
56	10.2491	0.118061	0
57	10.2297	0.118174	0
58	10.2173	0.118245	0
59	10.2183	0.118239	0
60	10.2175	0.118244	0
61	10.2032	0.118327	0
62	10.1939	0.118381	0
63	10.1531	0.118619	0
64	10.1373	0.118711	0
65	10.1052	0.118899	0
66	10.0818	0.119037	0
67	10.0711	0.1191	0
68	10.0458	0.11925	0
69	10.0423	0.119271	0
70	10.0329	0.119327	0
71	10.0271	0.119361	0
72	10.0235	0.119382	0
73	10.0396	0.119287	0
74	10.0292	0.119349	0
75	10.0423	0.119271	0
76	10.0342	0.119319	0
77	10.022	0.119392	0
78	10.0033	0.119503	0
79	10.0138	0.11944	0
80	9.99025	0.119581	0
81	9.97969	0.119644	0
82	9.94925	0.119827	0
83	9.92859	0.119952	0
84	9.93515	0.119912	0
85	9.95375	0.1198	0
86	9.94755	0.119838	0
87	9.93781	0.119896	0
88	9.95109	0.119816	0
89	9.96108	0.119756	0
90	9.95091	0.119817	0
91	9.95833	0.119773	0
92	9.9419	0.119872	0
93	9.9324	0.119929	0
94	9.93631	0.119905	0
95	9.91516	0.120033	0
96	9.9218	0.119993	0
97	9.93348	0.119922	0
98	9.93046	0.119941	0
99	9.95696	0.119781	0
100	9.96611	0.119726	0
101	9.9792	0.119647	0
102	10.0139	0.11944	0
103	10.0488	0.119232	0
104	10.0781	0.119059	0
105	10.1139	0.118848	0
106	10.1516	0.118627	0
107	10.1896	0.118405	0
108	10.2481	0.118067	0
109	10.3095	0.117715	0
110	10.3465	0.117504	0
111	10.4022	0.117189	0
112	10.4627	0.11685	0
113	10.5005	0.116639	0
114	10.5558	0.116334	0
115	10.5901	0.116145	0
116	10.6246	0.115956	0
117	10.6822	0.115644	0
118	10.7309	0.115381	0
119	10.751	0.115273	0
120	10.7637	0.115205	0
121	10.791	0.115059	0
122	10.803	0.114995	0
123	10.8451	0.114772	0
124	10.8678	0.114652	0
125	10.8866	0.114552	0
126	10.9285	0.114333	0
127	10.965	0.114142	0
128	10.9882	0.114022	0
129	11.0229	0.113842	0
130	11.0384	0.113762	0
131	11.0563	0.11367	0
132	11.0886	0.113504	0
133	11.0969	0.113462	0
134	11.1021	0.113435	0
135	11.1056	0.113417	0
136	11.1114	0.113388	0
137	11.1046	0.113423	0
138	11.1137	0.113376	0
139	11.0952	0.11347	0
140	11.0986	0.113453	0
141	11.1048	0.113421	0
142	11.0922	0.113486	0
143	11.0801	0.113548	0
144	11.0835	0.113531	0
145	11.0833	0.113532	0
146	11.0813	0.113542	0
147	11.0696	0.113602	0
148	11.0526	0.113689	0
149	11.033	0.11379	0
150	11.0064	0.113928	0
151	10.986	0.114033	0
152	10.943	0.114257	0
153	10.9223	0.114365	0
154	10.8973	0.114497	0
155	10.8882	0.114544	0
156	10.8885	0.114542	0
157	10.8996	0.114484	0
158	10.8718	0.11463	0
159	10.8782	0.114597	0
160	10.8572	0.114708	0
161	10.8747	0.114615	0
162	10.8538	0.114725	0
163	10.8394	0.114802	0
164	10.8045	0.114987	0
165	10.799	0.115016	0
166	10.7712	0.115165	0
167	10.7479	0.115289	0
168	10.6959	0.115569	0
169	10.6857	0.115624	0
170	10.6637	0.115744	0
171	10.6635	0.115745	0
172	10.6465	0.115837	0
173	10.6401	0.115872	0
174	10.6436	0.115853	0
175	10.6391	0.115877	0
176	10.6451	0.115845	0
177	10.646	0.11584	0
178	10.6416	0.115864	0
179	10.6474	0.115832	0
180	10.6318	0.115917	0
181	10.6272	0.115942	0
182	10.6382	0.115882	0
183	10.6305	0.115924	0
184	10.6192	0.115986	0
185	10.5778	0.116212	0
186	10.5223	0.116518	0
187	10.4948	0.116671	0
188	10.4639	0.116844	0
189	10.4528	0.116905	0
190	10.4437	0.116956	0
191	10.4553	0.116891	0
192	10.4968	0.11666	0
193	10.5451	0.116393	0
194	10.5621	0.116299	0
195	10.5943	0.116122	0
196	10.599	0.116096	0
197	10.6044	0.116067	0
198	10.6189	0.115987	0
199	10.6788	0.115662	0
200	10.6791	0.11566	0
201	10.6795	0.115658	0
202	10.6821	0.115644	0
203	10.6798	0.115656	0
204	10.686	0.115623	0
205	10.6821	0.115644	0
206	10.6171	0.115997	0
207	10.6283	0.115936	0
208	10.6373	0.115887	0
209	10.6361	0.115894	0
210	10.6578	0.115775	0
211	10.672	0.115699	0
212	10.668	0.11572	0
213	10.6896	0.115603	0
214	10.6936	0.115581	0
215	10.7238	0.115419	0
216	10.7638	0.115204	0
217	10.7684	0.11518	0
218	10.7846	0.115093	0
219	10.8134	0.11494	0
220	10.8182	0.114914	0
221	10.8435	0.11478	0
222	10.8678	0.114652	0
223	10.8841	0.114566	0
224	10.9169	0.114393	0
225	10.9244	0.114354	0
226	10.9331	0.114309	0
227	10.9981	0.11397	0
228	11.0176	0.11387	0
229	11.0259	0.113827	0
230	11.0511	0.113697	0
231	11.0791	0.113553	0
232	11.1345	0.11327	0
233	11.1602	0.11314	0
234	11.1594	0.113144	0
235	11.1893	0.112992	0
236	11.2198	0.112839	0
237	11.2478	0.112698	0
238	11.2799	0.112538	0
239	11.2909	0.112483	0
240	11.3151	0.112362	0
241	11.3443	0.112218	0
242	11.4232	0.11183	0
243	11.4603	0.111649	0
244	11.5131	0.111392	0
245	11.5512	0.111208	0
246	11.6036	0.110957	0
247	11.6475	0.110747	0
248	11.6936	0.110529	0
249	11.7091	0.110456	0
250	11.7559	0.110236	0
251	11.7943	0.110056	0
252	11.8487	0.109803	0
253	11.8875	0.109624	0
254	11.9126	0.109508	0
255	11.9471	0.10935	0
256	11.968	0.109255	0
257	11.9921	0.109145	0
258	12.0156	0.109038	0
259	12.031	0.108968	0
260	12.0406	0.108925	0
261	12.0464	0.108899	0
262	12.0578	0.108847	0
263	12.068	0.108801	0
264	12.0768	0.108761	0
