Input	../Output/Countries/UZB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	49
beta0	4.27175	error	0.0516358
beta1	-0.0113905	error	0.00184314

X	Y	Error	Weight
0	3.78419	0.194296	1
1	3.90629	0.191236	1
2	3.95124	0.190145	1
3	3.98633	0.189306	1
4	4.03802	0.18809	1
5	4.27069	0.182895	1
6	4.31367	0.181982	1
7	4.34751	0.181272	1
8	4.52334	0.177714	1
9	4.68345	0.17465	1
10	4.69657	0.174406	1
11	4.71466	0.174071	1
12	4.6375	0.175513	1
13	4.60517	0.176128	1
14	4.49822	0.178209	1
15	4.29437	0.18239	1
16	4.07996	0.187121	1
17	4.06781	0.1874	1
18	4.04305	0.187973	1
19	3.97299	0.189624	1
20	3.77113	0.194633	1
21	3.6781	0.197079	1
22	3.61862	0.198692	1
23	3.71008	0.196227	1
24	3.69245	0.196695	1
25	3.696	0.196601	1
26	3.59926	0.199225	1
27	3.68888	0.19679	1
28	3.70657	0.19632	1
29	3.64508	0.197969	1
30	3.49651	0.202131	1
31	3.61092	0.198903	1
32	3.53056	0.201154	1
33	3.49651	0.202131	1
34	3.64881	0.197868	1
35	3.74783	0.195236	1
36	3.79708	0.193966	1
37	3.99163	0.18918	1
38	3.90341	0.191306	1
39	3.94296	0.190344	1
40	4.01766	0.188566	1
41	3.86822	0.192174	1
42	3.77439	0.194548	1
43	3.8712	0.1921	1
44	3.84404	0.192778	1
45	3.81927	0.193402	1
46	3.8889	0.191663	1
47	3.98633	0.189306	1
48	4.07268	0.187288	1
49	4.04054	0.188032	1
50	4.12944	0.185997	0
51	4.11788	0.186258	0
52	4.22787	0.183819	0
53	4.14086	0.18574	0
54	4.12019	0.186205	0
55	4.18313	0.184799	0
56	4.29437	0.18239	0
57	4.20683	0.184278	0
58	4.21529	0.184093	0
59	4.25864	0.183154	0
60	4.3438	0.181349	0
61	4.36037	0.181004	0
62	4.61653	0.175911	0
63	4.65804	0.175126	0
64	4.6874	0.174576	0
65	4.71339	0.174094	0
66	4.7412	0.173583	0
67	4.81335	0.172277	0
68	4.82488	0.172071	0
69	4.67283	0.174848	0
70	4.76704	0.173112	0
71	4.93447	0.170149	0
72	5.01917	0.168708	0
73	4.98751	0.169242	0
74	5.03602	0.168425	0
75	5.13327	0.166822	0
