Input	../Output/Countries/VEN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	94
beta0	3.90277	error	0.0355796
beta1	0.0340377	error	0.000609977

X	Y	Error	Weight
0	3.84098	0.192855	1
1	4.04806	0.187857	1
2	4.11087	0.186416	1
3	4.23824	0.183594	1
4	4.28063	0.182683	1
5	4.41712	0.179838	1
6	4.38024	0.180594	1
7	4.18966	0.184655	1
8	4.09673	0.186738	1
9	4.14766	0.185588	1
10	4.10853	0.18647	1
11	4.16111	0.185288	1
12	4.01766	0.188566	1
13	4.23824	0.183594	1
14	4.46426	0.178886	1
15	4.61512	0.175938	1
16	4.69003	0.174527	1
17	4.70695	0.174213	1
18	4.80753	0.172381	1
19	4.81913	0.172174	1
20	4.75236	0.173379	1
21	4.75482	0.173334	1
22	4.72105	0.173953	1
23	4.64302	0.175409	1
24	4.6526	0.175228	1
25	4.43082	0.17956	1
26	4.45268	0.179118	1
27	4.43252	0.179525	1
28	4.30406	0.182185	1
29	4.52798	0.177623	1
30	4.55987	0.177001	1
31	4.62216	0.175804	1
32	4.83968	0.171808	1
33	4.89891	0.170766	1
34	4.94775	0.169921	1
35	4.99818	0.169062	1
36	4.94164	0.170026	1
37	5.03881	0.168379	1
38	5.13412	0.166809	1
39	5.25526	0.164875	1
40	5.28393	0.164427	1
41	5.35524	0.163328	1
42	5.45959	0.16176	1
43	5.49012	0.16131	1
44	5.49834	0.161189	1
45	5.52602	0.160785	1
46	5.44427	0.161987	1
47	5.58885	0.159878	1
48	5.59365	0.15981	1
49	5.58296	0.159963	1
50	5.62762	0.159327	1
51	5.70331	0.158266	1
52	5.77986	0.157214	1
53	5.84891	0.156284	1
54	5.79301	0.157036	1
55	5.79301	0.157036	1
56	5.80212	0.156913	1
57	5.84561	0.156328	1
58	5.87091	0.155991	1
59	5.8323	0.156506	1
60	5.79693	0.156983	1
61	5.84809	0.156295	1
62	5.92769	0.155242	1
63	5.97852	0.15458	1
64	5.96834	0.154712	1
65	5.97671	0.154604	1
66	6.08417	0.153232	1
67	6.19906	0.151806	1
68	6.23497	0.151368	1
69	6.25767	0.151093	1
70	6.29606	0.150632	1
71	6.34664	0.15003	1
72	6.40782	0.149312	1
73	6.42302	0.149136	1
74	6.46903	0.148604	1
75	6.51851	0.148039	1
76	6.52335	0.147984	1
77	6.54432	0.147747	1
78	6.59909	0.147133	1
79	6.65213	0.146545	1
80	6.68318	0.146204	1
81	6.66986	0.14635	1
82	6.68443	0.14619	1
83	6.76124	0.145358	1
84	6.83365	0.144585	1
85	6.87715	0.144127	1
86	6.92039	0.143676	1
87	6.93801	0.143494	1
88	6.99603	0.142898	1
89	7.03502	0.142501	1
90	7.04154	0.142435	1
91	7.0107	0.142748	1
92	7.0134	0.142721	1
93	6.93565	0.143518	1
94	6.88434	0.144052	1
95	6.8103	0.144833	0
96	6.72125	0.145789	0
97	6.67312	0.146314	0
98	6.65948	0.146464	0
99	6.5905	0.147228	0
100	6.63538	0.14673	0
101	6.69527	0.146072	0
102	6.75177	0.14546	0
103	6.80303	0.14491	0
104	6.81658	0.144766	0
105	6.84861	0.144427	0
106	6.89597	0.143931	0
107	6.90475	0.143839	0
108	6.9211	0.143669	0
