Input	../Output/Countries/VNM.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	34
beta0	3.91934	error	0.0752744
beta1	-0.0931253	error	0.00511112

X	Y	Error	Weight
0	3.45224	0.203423	1
1	3.47463	0.202767	1
2	3.60705	0.19901	1
3	3.5389	0.200917	1
4	3.49651	0.202131	1
5	3.45676	0.20329	1
6	3.44773	0.203556	1
7	3.32708	0.207214	1
8	3.32194	0.207374	1
9	3.16607	0.212418	1
10	3.13549	0.213451	1
11	3.00286	0.218114	1
12	2.98856	0.218635	1
13	2.86625	0.223251	1
14	2.96677	0.219437	1
15	2.86625	0.223251	1
16	2.76361	0.227359	1
17	2.61842	0.233578	1
18	2.42356	0.242786	1
19	2.19722	0.254984	1
20	2.00539	0.266902	1
21	1.71758	0.288399	1
22	1.74292	0.286294	1
23	1.74292	0.286294	1
24	1.42142	0.317022	1
25	1.42142	0.317022	1
26	1.31211	0.329964	1
27	1.23227	0.340485	1
28	1.14518	0.353195	1
29	0.762207	0.432927	1
30	0.53883	0.514903	1
31	0.356975	0.632604	1
32	0.451712	0.562367	1
33	0.251537	0.753616	1
34	0.251537	0.753616	1
