Input	../Output/Countries/YEM.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	102
beta0	3.70913	error	0.0435486
beta1	-0.0260496	error	0.000885122

X	Y	Error	Weight
0	3.46126	0.203158	1
1	3.55125	0.200567	1
2	3.90629	0.191236	1
3	3.94296	0.190344	1
4	3.8889	0.191663	1
5	3.81615	0.193481	1
6	3.71357	0.196135	1
7	3.43399	0.203963	1
8	3.4154	0.204517	1
9	2.86625	0.223251	1
10	2.72694	0.228883	1
11	2.78149	0.226627	1
12	3.17208	0.212216	1
13	3.1899	0.211623	1
14	3.25258	0.209574	1
15	3.23025	0.210297	1
16	3.13549	0.213451	1
17	3.16607	0.212418	1
18	3.21888	0.210668	1
19	3.03081	0.217106	1
20	3.07135	0.215668	1
21	3.03081	0.217106	1
22	3.04452	0.216616	1
23	3.10396	0.214532	1
24	2.98856	0.218635	1
25	2.90614	0.221714	1
26	2.95938	0.21971	1
27	2.99573	0.218373	1
28	3.00286	0.218114	1
29	3.35239	0.20643	1
30	3.42005	0.204378	1
31	3.44317	0.203691	1
32	3.39162	0.205233	1
33	3.33221	0.207055	1
34	3.33221	0.207055	1
35	3.3116	0.207698	1
36	3.00286	0.218114	1
37	2.8499	0.223891	1
38	2.78149	0.226627	1
39	2.79031	0.226269	1
40	2.67903	0.23092	1
41	2.63906	0.232663	1
42	2.58671	0.235005	1
43	2.37155	0.245434	1
44	2.33078	0.247571	1
45	2.35811	0.246132	1
46	2.31678	0.248318	1
47	2.33078	0.247571	1
48	2.04304	0.264431	1
49	2.07944	0.262106	1
50	2.02433	0.265651	1
51	1.81531	0.280527	1
52	2.09716	0.260997	1
53	2.00539	0.266902	1
54	1.79176	0.282365	1
55	2.27357	0.250667	1
56	2.25874	0.251488	1
57	2.30259	0.249082	1
58	2.63906	0.232663	1
59	2.31678	0.248318	1
60	2.41081	0.243427	1
61	2.42356	0.242786	1
62	2.18121	0.255919	1
63	2.16493	0.256879	1
64	2.22851	0.253188	1
65	1.96613	0.269553	1
66	2.11457	0.25992	1
67	1.98595	0.268205	1
68	2.00539	0.266902	1
69	1.92527	0.272399	1
70	1.94591	0.27095	1
71	1.79176	0.282365	1
72	1.58042	0.300652	1
73	1.60944	0.29793	1
74	1.69175	0.290591	1
75	1.58042	0.300652	1
76	1.66506	0.292911	1
77	1.71758	0.288399	1
78	1.79176	0.282365	1
79	1.79176	0.282365	1
80	1.69175	0.290591	1
81	1.88267	0.275464	1
82	1.88267	0.275464	1
83	1.74292	0.286294	1
84	1.66506	0.292911	1
85	1.58042	0.300652	1
86	1.48817	0.30983	1
87	1.51973	0.306597	1
88	1.18967	0.346527	1
89	1.23227	0.340485	1
90	1.23227	0.340485	1
91	1.31211	0.329964	1
92	1.23227	0.340485	1
93	1.23227	0.340485	1
94	1.14518	0.353195	1
95	1.04977	0.368896	1
96	0.998424	0.378263	1
97	0.88748	0.40121	1
98	0.88748	0.40121	1
99	0.762207	0.432927	1
100	0.762207	0.432927	1
101	0.53883	0.514903	1
102	0.356975	0.632604	1
